datetime,symbol,direction,offset,volume,price,value
2023-08-21 06:15:00,AXSUSDT.BINANCE,多,平,405.0,4.93,1997.0
2023-08-21 09:15:00,AAVEUSDT.BINANCE,空,平,17.6,57.32,1009.0
2023-08-21 13:00:00,LINKUSDT.BINANCE,多,平,483.04,6.188,2989.0
2023-08-21 14:10:00,AAVEUSDT.BINANCE,空,平,17.5,57.31,1003.0
2023-08-21 15:20:00,LINKUSDT.BINANCE,多,平,160.75,6.187,995.0
2023-08-21 16:25:00,AXSUSDT.BINANCE,多,平,202.0,4.898,989.0
2023-08-21 17:35:00,AAVEUSDT.BINANCE,空,平,17.6,57.06,1004.0
2023-08-21 20:30:00,AAVEUSDT.BINANCE,空,平,17.7,56.93,1008.0
2023-08-21 20:45:00,AXSUSDT.BINANCE,空,平,206.0,4.923,1014.0
2023-08-21 21:30:00,LINKUSDT.BINANCE,多,平,160.95,6.163,992.0
2023-08-21 21:35:00,AXSUSDT.BINANCE,多,平,203.0,4.889,992.0
2023-08-21 22:40:00,AAVEUSDT.BINANCE,空,平,17.7,56.68,1003.0
2023-08-21 23:35:00,LINKUSDT.BINANCE,多,平,161.47,6.154,994.0
2023-08-22 00:05:00,AAVEUSDT.BINANCE,多,平,17.6,55.66,980.0
2023-08-22 00:15:00,AXSUSDT.BINANCE,多,平,204.0,4.817,983.0
2023-08-22 05:30:00,AAVEUSDT.BINANCE,多,平,17.8,55.79,993.0
2023-08-22 10:05:00,LINKUSDT.BINANCE,多,平,485.86,6.156,2991.0
2023-08-22 22:05:00,LINKUSDT.BINANCE,多,平,322.09,6.169,1987.0
2023-08-22 22:20:00,AXSUSDT.BINANCE,多,平,613.0,4.869,2985.0
2023-08-23 04:10:00,LINKUSDT.BINANCE,多,平,164.66,6.035,994.0
2023-08-23 06:00:00,AXSUSDT.BINANCE,多,平,415.0,4.781,1984.0
2023-08-23 07:40:00,AAVEUSDT.BINANCE,空,平,146.4,54.84,8029.0
2023-08-23 09:40:00,AXSUSDT.BINANCE,多,平,204.0,4.892,998.0
2023-08-23 15:40:00,AXSUSDT.BINANCE,空,平,204.0,4.915,1003.0
2023-08-23 22:30:00,AXSUSDT.BINANCE,空,平,205.0,4.902,1005.0
2023-08-23 22:35:00,AAVEUSDT.BINANCE,空,平,36.1,55.65,2009.0
2023-08-24 08:15:00,AAVEUSDT.BINANCE,空,平,17.6,57.14,1006.0
2023-08-24 12:10:00,AAVEUSDT.BINANCE,空,平,17.6,57.73,1016.0
2023-08-24 23:15:00,LINKUSDT.BINANCE,多,平,1445.1399999999999,6.174,8922.0
2023-08-25 08:25:00,AAVEUSDT.BINANCE,空,平,121.89999999999999,57.54,7014.0
2023-08-25 09:20:00,LINKUSDT.BINANCE,多,平,164.85,6.037,995.0
2023-08-25 22:15:00,LINKUSDT.BINANCE,多,平,166.75,5.979,997.0
2023-08-26 03:20:00,AAVEUSDT.BINANCE,空,平,53.3,56.81,3028.0
2023-08-26 04:10:00,LINKUSDT.BINANCE,多,平,166.86,5.966,995.0
2023-08-26 04:20:00,AAVEUSDT.BINANCE,多,平,17.6,56.55,995.0
2023-08-26 17:20:00,AAVEUSDT.BINANCE,多,平,35.1,56.82,1994.0
2023-08-26 22:30:00,AAVEUSDT.BINANCE,多,平,17.5,56.74,993.0
2023-08-27 01:30:00,LINKUSDT.BINANCE,多,平,332.83000000000004,5.962,1984.0
2023-08-27 07:35:00,AAVEUSDT.BINANCE,多,平,17.6,56.61,996.0
2023-08-27 09:55:00,LINKUSDT.BINANCE,多,平,166.83,5.976,997.0
2023-08-27 20:10:00,LINKUSDT.BINANCE,多,平,166.89,5.968,996.0
2023-08-27 23:10:00,AXSUSDT.BINANCE,空,平,3083.0,4.884,15057.0
2023-08-28 02:20:00,LINKUSDT.BINANCE,多,平,166.0,5.989,994.0
2023-08-28 03:40:00,AXSUSDT.BINANCE,空,平,206.0,4.877,1005.0
2023-08-28 06:35:00,AXSUSDT.BINANCE,多,平,205.0,4.862,997.0
2023-08-28 09:30:00,LINKUSDT.BINANCE,多,平,166.0,5.937,986.0
2023-08-28 14:10:00,AAVEUSDT.BINANCE,多,平,104.2,57.05,5945.0
2023-08-28 20:55:00,AXSUSDT.BINANCE,空,平,839.0,4.806,4032.0
2023-08-29 02:20:00,LINKUSDT.BINANCE,多,平,166.94,5.972,997.0
2023-08-29 07:35:00,AXSUSDT.BINANCE,空,平,207.0,4.845,1003.0
2023-08-29 11:00:00,LINKUSDT.BINANCE,多,平,167.42,5.953,997.0
2023-08-29 11:50:00,AAVEUSDT.BINANCE,多,平,85.9,57.84,4968.0
2023-08-29 20:30:00,AAVEUSDT.BINANCE,多,平,17.5,56.88,995.0
2023-08-29 23:15:00,AXSUSDT.BINANCE,空,平,631.0,4.95,3123.0
2023-08-30 00:10:00,AAVEUSDT.BINANCE,多,平,16.7,59.31,990.0
2023-08-30 04:00:00,AXSUSDT.BINANCE,多,平,603.0,4.959,2990.0
2023-08-30 05:25:00,AAVEUSDT.BINANCE,多,平,33.5,58.99,1976.0
2023-08-30 07:45:00,AAVEUSDT.BINANCE,多,平,16.8,59.27,996.0
2023-08-30 09:35:00,AXSUSDT.BINANCE,多,平,200.0,4.947,989.0
2023-08-30 09:55:00,LINKUSDT.BINANCE,多,平,623.84,6.116,3815.0
2023-08-30 15:00:00,AAVEUSDT.BINANCE,多,平,17.0,58.71,998.0
2023-08-30 19:35:00,AXSUSDT.BINANCE,多,平,202.0,4.945,999.0
2023-08-31 02:35:00,LINKUSDT.BINANCE,多,平,168.18,5.923,996.0
2023-08-31 16:50:00,AAVEUSDT.BINANCE,多,平,17.4,57.45,1000.0
2023-08-31 21:40:00,AAVEUSDT.BINANCE,多,平,17.4,57.43,999.0
2023-08-31 21:55:00,AXSUSDT.BINANCE,多,平,206.0,4.84,997.0
2023-09-01 00:10:00,LINKUSDT.BINANCE,多,平,501.54999999999995,5.948,2983.0
2023-09-01 03:30:00,LINKUSDT.BINANCE,多,平,170.56,5.838,996.0
2023-09-01 05:15:00,AAVEUSDT.BINANCE,多,平,18.0,55.43,998.0
2023-09-01 06:15:00,AXSUSDT.BINANCE,多,平,214.0,4.654,996.0
2023-09-01 09:45:00,AAVEUSDT.BINANCE,多,平,18.0,55.48,999.0
2023-09-01 10:05:00,AXSUSDT.BINANCE,多,平,214.0,4.654,996.0
2023-09-01 21:55:00,AXSUSDT.BINANCE,多,平,214.0,4.645,994.0
2023-09-02 01:45:00,LINKUSDT.BINANCE,多,平,672.95,5.85,3937.0
2023-09-02 06:20:00,AXSUSDT.BINANCE,多,平,221.0,4.52,999.0
2023-09-02 15:05:00,AXSUSDT.BINANCE,多,平,443.0,4.483,1986.0
2023-09-03 02:25:00,AAVEUSDT.BINANCE,多,平,73.5,54.15,3980.0
2023-09-03 02:35:00,LINKUSDT.BINANCE,多,平,842.61,5.905,4976.0
2023-09-03 04:45:00,AAVEUSDT.BINANCE,多,平,18.2,54.8,997.0
2023-09-03 08:45:00,AAVEUSDT.BINANCE,多,平,18.2,54.91,999.0
2023-09-03 16:35:00,AXSUSDT.BINANCE,多,平,223.0,4.464,995.0
2023-09-03 23:30:00,AXSUSDT.BINANCE,多,平,223.0,4.468,996.0
2023-09-04 19:40:00,AAVEUSDT.BINANCE,多,平,72.7,54.87,3989.0
2023-09-04 20:25:00,AXSUSDT.BINANCE,多,平,888.0,4.48,3978.0
2023-09-04 23:25:00,AXSUSDT.BINANCE,多,平,222.0,4.472,993.0
2023-09-04 23:25:00,LINKUSDT.BINANCE,多,平,1657.7700000000002,6.012,9967.0
2023-09-05 03:40:00,LINKUSDT.BINANCE,多,平,165.65,6.008,995.0
2023-09-05 05:45:00,AXSUSDT.BINANCE,多,平,222.0,4.481,995.0
2023-09-05 09:25:00,AAVEUSDT.BINANCE,多,平,18.3,54.51,998.0
2023-09-05 09:25:00,AXSUSDT.BINANCE,多,平,222.0,4.482,995.0
2023-09-05 09:30:00,LINKUSDT.BINANCE,多,平,166.53,5.969,994.0
2023-09-06 04:50:00,AXSUSDT.BINANCE,多,平,881.0,4.525,3987.0
2023-09-06 12:30:00,AXSUSDT.BINANCE,多,平,437.0,4.562,1994.0
2023-09-06 21:35:00,AAVEUSDT.BINANCE,多,平,108.69999999999999,55.0,5978.0
2023-09-06 23:00:00,AXSUSDT.BINANCE,多,平,221.0,4.493,993.0
2023-09-07 03:15:00,AAVEUSDT.BINANCE,多,平,18.2,54.9,999.0
2023-09-07 05:00:00,AXSUSDT.BINANCE,多,平,221.0,4.504,995.0
