symbols,total_pnl,max_drawdown,over_drawdown,over_drawdown_count
BCHUSDT.BINANCE,496.95%,-27597.99,{'2023-01-14': -27597.99},1
BANDUSDT.BINANCE,1418.98%,-31334.68,"{'2022-01-22': -31334.68, '2022-11-04': -29897.52}",2
SNXUSDT.BINANCE,1271.32%,-317206.09,"{'2022-01-22': -62149.39, '2022-04-20': -55705.23, '2022-06-13': -20779.81, '2023-07-14': -317206.09}",4
SOLUSDT.BINANCE,1319.73%,-44020.22,"{'2022-01-22': -27851.62, '2022-05-12': -44020.22, '2022-11-10': -13737.84, '2023-01-04': -11521.79, '2023-03-10': -11509.68}",5
FILUSDT.BINANCE,753.8%,-181377.88,"{'2022-01-22': -29069.82, '2022-05-12': -19977.68, '2022-06-13': -181377.88, '2022-07-31': -15632.18, '2023-02-26': -17287.62}",5
ETHUSDT.BINANCE,288.6%,-17030.71,"{'2022-01-22': -11279.13, '2023-01-18': -17030.71}",2
DOTUSDT.BINANCE,440.88%,-12133.27,{'2022-02-27': -12133.27},1
DOGEUSDT.BINANCE,341.32%,-10666.51,{'2022-11-08': -10666.51},1
MKRUSDT.BINANCE,759.14%,-174464.83,"{'2022-02-02': -174464.83, '2022-05-12': -29904.42, '2022-06-20': -13232.97, '2023-03-17': -10237.79}",4
MATICUSDT.BINANCE,611.11%,-29714.81,"{'2022-06-12': -11091.87, '2022-06-21': -29714.81, '2023-03-10': -14908.44}",3
LTCUSDT.BINANCE,413.26%,-61878.66,"{'2022-01-22': -61878.66, '2023-03-14': -20272.27}",2
LINKUSDT.BINANCE,3518.9%,-1556623.49,"{'2022-01-23': -128165.5, '2022-05-10': -167070.8, '2022-06-13': -1556623.49, '2022-06-21': -15475.01}",4
BNBUSDT.BINANCE,175.79%,-5422.36,{},0
XLMUSDT.BINANCE,450.72%,-85114.69,"{'2022-01-23': -85114.69, '2022-05-10': -39695.87, '2023-06-28': -18633.79}",3
BTCUSDT.BINANCE,1492.99%,-94943.09,"{'2022-06-14': -94943.09, '2023-01-22': -26498.28, '2023-02-02': -83195.36, '2023-03-20': -67053.98}",4
XRPUSDT.BINANCE,425.06%,-19984.93,{'2022-02-08': -19984.93},1
COMPUSDT.BINANCE,738.61%,-58963.49,"{'2022-01-22': -11965.49, '2022-09-11': -10604.63, '2023-01-14': -58963.49}",3
OPUSDT.BINANCE,3747.5%,-322278.34,"{'2022-06-09': -322278.34, '2022-06-12': -14976.82, '2022-07-13': -36117.58, '2022-07-29': -30451.95, '2023-02-17': -16757.91, '2023-02-24': -20413.33}",6
APEUSDT.BINANCE,557.04%,-11002.25,{'2022-05-02': -11002.25},1
ADAUSDT.BINANCE,269.78%,-26100.5,"{'2022-01-23': -26100.5, '2022-03-25': -13967.43}",2
AVAXUSDT.BINANCE,3011.77%,-658851.3,"{'2022-01-23': -658851.3, '2022-05-09': -15060.8, '2022-05-12': -238903.8, '2022-11-10': -12727.59, '2022-11-14': -12670.81}",5
AAVEUSDT.BINANCE,2328.96%,-170310.68,"{'2022-01-22': -13330.04, '2022-03-18': -16859.86, '2022-03-30': -44932.3, '2022-05-31': -13982.25, '2023-01-15': -170310.68, '2023-06-25': -83568.92}",6
AXSUSDT.BINANCE,914.98%,-95194.49,"{'2022-02-22': -95194.49, '2022-05-11': -18134.16, '2022-07-30': -10704.09, '2022-12-06': -10248.67}",4
STORJUSDT.BINANCE,776.41%,-56237.33,"{'2022-01-23': -56237.33, '2023-07-05': -25631.46}",2
ETCUSDT.BINANCE,4551.7%,-3036471.91,"{'2022-07-18': -276421.32, '2022-07-29': -3036471.91}",2
EOSUSDT.BINANCE,271.48%,-11316.8,{'2023-01-16': -11316.8},1
KNCUSDT.BINANCE,931.58%,-59238.63,"{'2022-01-26': -14762.6, '2022-02-17': -11981.07, '2022-04-09': -11800.11, '2022-05-13': -59238.63, '2022-11-10': -56880.14}",5
UNIUSDT.BINANCE,385.5%,-23212.8,"{'2022-05-13': -11972.88, '2022-07-15': -10497.5, '2022-07-29': -23212.8}",3
TRXUSDT.BINANCE,131.52%,-9177.73,{},0
CHZUSDT.BINANCE,738.3%,-49638.66,"{'2022-01-23': -49638.66, '2022-03-29': -23620.45, '2022-08-25': -19143.13, '2022-09-18': -11535.27, '2023-06-16': -11603.16}",5
ANKRUSDT.BINANCE,681.61%,-35900.32,"{'2022-02-27': -17828.54, '2022-05-12': -28522.02, '2022-08-12': -35900.32, '2023-01-09': -14280.47}",4
XEMUSDT.BINANCE,146.03%,-71849.4,"{'2022-05-14': -71849.4, '2022-07-19': -21308.63}",2
STMXUSDT.BINANCE,795.61%,-27589.59,"{'2022-01-22': -27589.59, '2022-11-10': -16452.48, '2023-07-23': -13684.02}",3
OGNUSDT.BINANCE,90747.44%,-4032628.27,"{'2022-01-22': -2500403.76, '2022-03-15': -4032628.27, '2022-03-19': -19809.46, '2022-05-10': -280311.25, '2023-07-24': -39495.73}",5
1000SHIBUSDT.BINANCE,5408.32%,-729120.11,"{'2022-02-08': -19559.5, '2022-05-10': -729120.11}",2
