symbols,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
BCHUSDT.BINANCE,475.64%,680,-27597.99,{'2023-01-14': -27597.99},1
ADAUSDT.BINANCE,326.87%,748,-13357.86,"{'2022-01-18': -11568.46, '2022-03-25': -13357.86, '2023-06-10': -11292.45}",3
BANDUSDT.BINANCE,1321.68%,1050,-29333.27,"{'2022-08-21': -20983.63, '2022-11-04': -29333.27}",2
AVAXUSDT.BINANCE,443.38%,796,-12247.14,{'2023-01-12': -12247.14},1
AAVEUSDT.BINANCE,808.51%,947,-170310.68,"{'2022-02-08': -17885.77, '2022-03-18': -16859.86, '2022-03-30': -44932.3, '2022-05-31': -13982.25, '2022-06-12': -11086.56, '2023-01-15': -170310.68}",6
AXSUSDT.BINANCE,759.64%,855,-203014.46,"{'2022-02-07': -203014.46, '2022-02-10': -174003.66, '2022-03-25': -26234.19, '2022-07-30': -10689.54, '2022-12-06': -10248.67}",5
SNXUSDT.BINANCE,1483.81%,1129,-316587.11,"{'2022-04-20': -55695.76, '2022-06-20': -100611.06, '2023-07-14': -316587.11}",3
SOLUSDT.BINANCE,809.55%,861,-164008.69,"{'2022-05-10': -164008.69, '2022-05-17': -11240.1, '2022-11-10': -13737.84, '2023-01-04': -11517.49}",4
STORJUSDT.BINANCE,802.04%,897,-25631.46,"{'2022-02-27': -14939.89, '2023-01-16': -10953.99, '2023-07-05': -25631.46}",3
FILUSDT.BINANCE,8042.46%,845,-4490950.53,"{'2022-03-29': -52519.36, '2022-07-31': -15623.6, '2023-02-19': -4490950.53}",3
ETHUSDT.BINANCE,724.96%,571,-481868.55,"{'2022-01-22': -11274.48, '2022-07-20': -481868.55, '2023-01-18': -17030.71}",3
ETCUSDT.BINANCE,5988.3%,828,-3036471.91,"{'2022-02-08': -95569.61, '2022-03-21': -79812.58, '2022-07-18': -276421.32, '2022-07-29': -3036471.91}",4
EOSUSDT.BINANCE,256.76%,645,-11316.8,{'2023-01-16': -11316.8},1
DOTUSDT.BINANCE,468.5%,703,-101621.56,"{'2022-02-27': -12133.27, '2023-01-14': -101621.56}",2
DOGEUSDT.BINANCE,1239.33%,732,-85305.79,{'2022-10-30': -85305.79},1
MKRUSDT.BINANCE,-2144.81%,780,-306671.91,"{'2022-02-02': -174464.83, '2022-05-14': -40259.57, '2022-08-21': -10776.91, '2022-11-11': -11151.24, '2023-03-02': -18936.48, '2023-07-27': -174951.47, '2023-08-01': -306671.91}",7
