symbolList,totalPnl,max_drawdown,over_drawdown,over_drawdown_count
"['BCHUSDT.BINANCE', 'BANDUSDT.BINANCE', 'SNXUSDT.BINANCE']",4187.56%,-688114.07,"{'2023-03-09': -16475.17, '2023-03-10': -90859.77, '2023-07-14': -604259.42}",3
"['BCHUSDT.BINANCE', 'BANDUSDT.BINANCE', 'SOLUSDT.BINANCE']",524.41%,-25402.32,{'2023-06-10': -25402.32},1
"['BCHUSDT.BINANCE', 'BANDUSDT.BINANCE', 'FILUSDT.BINANCE']",6370.24%,-645870.17,"{'2023-02-19': -645870.17, '2023-02-20': -268918.29}",2
"['BCHUSDT.BINANCE', 'BANDUSDT.BINANCE', 'ETHUSDT.BINANCE']",499.98%,-23024.54,"{'2023-01-17': -18477.44, '2023-01-22': -23024.54}",2
"['BCHUSDT.BINANCE', 'BANDUSDT.BINANCE', 'DOTUSDT.BINANCE']",312.87%,-15486.95,{},0
"['BCHUSDT.BINANCE', 'BANDUSDT.BINANCE', 'DOGEUSDT.BINANCE']",364.55%,-15535.99,{},0
"['BCHUSDT.BINANCE', 'BANDUSDT.BINANCE', 'MKRUSDT.BINANCE']",350.49%,-16827.01,{'2023-07-01': -10673.75},1
"['BCHUSDT.BINANCE', 'BANDUSDT.BINANCE', 'MATICUSDT.BINANCE']",1829.15%,-157007.16,"{'2023-01-14': -14389.29, '2023-06-11': -10193.37, '2023-06-22': -123764.08}",3
"['BCHUSDT.BINANCE', 'BANDUSDT.BINANCE', 'LTCUSDT.BINANCE']",6879.79%,-1004661.41,"{'2023-03-15': -11799.5, '2023-06-24': -177197.16, '2023-06-30': -311200.44}",3
"['BCHUSDT.BINANCE', 'BANDUSDT.BINANCE', 'LINKUSDT.BINANCE']",317.48%,-15510.16,{},0
"['BCHUSDT.BINANCE', 'BANDUSDT.BINANCE', 'BNBUSDT.BINANCE']",265.89%,-15424.67,{},0
"['BCHUSDT.BINANCE', 'BANDUSDT.BINANCE', 'XLMUSDT.BINANCE']",301.25%,-15621.88,{},0
"['BCHUSDT.BINANCE', 'BANDUSDT.BINANCE', 'BTCUSDT.BINANCE']",376.54%,-59934.52,"{'2023-03-18': -11333.31, '2023-03-20': -27635.61, '2023-06-26': -59934.52, '2023-06-27': -29875.02}",4
"['BCHUSDT.BINANCE', 'BANDUSDT.BINANCE', 'XRPUSDT.BINANCE']",337.97%,-15417.09,{},0
"['BCHUSDT.BINANCE', 'BANDUSDT.BINANCE', 'COMPUSDT.BINANCE']",548.71%,-29213.94,{},0
"['BCHUSDT.BINANCE', 'BANDUSDT.BINANCE', 'OPUSDT.BINANCE']",695.26%,-21665.6,"{'2023-01-21': -17612.69, '2023-06-22': -10771.99}",2
"['BCHUSDT.BINANCE', 'BANDUSDT.BINANCE', 'APEUSDT.BINANCE']",374.1%,-16674.51,{},0
"['BCHUSDT.BINANCE', 'SNXUSDT.BINANCE', 'SOLUSDT.BINANCE']",4201.84%,-688178.49,"{'2023-03-09': -16593.52, '2023-03-10': -90871.76, '2023-07-14': -606725.42}",3
"['BCHUSDT.BINANCE', 'SNXUSDT.BINANCE', 'FILUSDT.BINANCE']",4319.37%,-690861.18,"{'2023-02-18': -24324.35, '2023-03-10': -90874.08, '2023-07-14': -603895.02}",3
