symbols,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count

BCHUSDT.BINANCE,258.08%,346,-18352.97,"{'2023-03-15': -11257.01, '2023-06-22': -18352.97, '2023-06-30': -13577.39}",3

ADAUSDT.BINANCE,96.1%,409,-6762.09,{},0

BANDUSDT.BINANCE,354.81%,510,-15300.55,{'2023-01-10': -15300.55},1

AVAXUSDT.BINANCE,216.54%,440,-5548.01,{},0

AAVEUSDT.BINANCE,211.15%,474,-4190.32,{},0

AXSUSDT.BINANCE,229.84%,465,-6549.17,{},0

SNXUSDT.BINANCE,787.05%,641,-319825.85,"{'2023-01-14': -51362.8, '2023-01-21': -14466.99, '2023-07-14': -319825.85}",3

SOLUSDT.BINANCE,319.95%,488,-72017.43,"{'2023-01-04': -72017.43, '2023-01-14': -10266.27}",2

STORJUSDT.BINANCE,1900.65%,493,-164223.99,"{'2023-01-28': -13876.41, '2023-07-05': -164223.99}",2

FILUSDT.BINANCE,371214.96%,475,-23349914.11,"{'2023-02-19': -23349914.11, '2023-06-10': -13075.74, '2023-07-04': -18260.21}",3

ETHUSDT.BINANCE,114.69%,250,-34901.86,{'2023-01-14': -34901.86},1

ETCUSDT.BINANCE,113.43%,415,-12371.9,"{'2023-06-10': -12371.9, '2023-06-24': -12259.92}",2

EOSUSDT.BINANCE,77.36%,406,-11560.72,{'2023-05-13': -11560.72},1

DOTUSDT.BINANCE,85.85%,379,-13507.53,{'2023-01-14': -13507.53},1

DOGEUSDT.BINANCE,102.36%,382,-2831.7,{},0

MKRUSDT.BINANCE,531.72%,425,-84493.5,"{'2023-01-10': -11981.7, '2023-03-02': -84493.5, '2023-06-22': -42193.72, '2023-07-04': -19396.42, '2023-07-21': -11951.74, '2023-07-27': -10190.17}",6

MATICUSDT.BINANCE,243.75%,432,-15288.03,{'2023-01-29': -15288.03},1

LTCUSDT.BINANCE,210.12%,365,-32219.92,{'2023-03-10': -32219.92},1

LINKUSDT.BINANCE,102.63%,406,-4307.69,{},0

KNCUSDT.BINANCE,280.16%,433,-12295.59,"{'2023-01-14': -10999.99, '2023-01-21': -12295.59}",2

BNBUSDT.BINANCE,55.35%,279,-1668.4,{},0

XLMUSDT.BINANCE,431.3%,396,-49772.27,"{'2023-01-16': -49772.27, '2023-06-28': -35788.31, '2023-07-14': -10865.8}",3

BTCUSDT.BINANCE,75.32%,214,-22883.16,{'2023-01-14': -22883.16},1

UNIUSDT.BINANCE,117.92%,362,-9841.22,{},0

XRPUSDT.BINANCE,444.47%,404,-198060.85,{'2023-03-29': -198060.85},1

TRXUSDT.BINANCE,137.57%,196,-25642.92,"{'2023-01-14': -18395.53, '2023-03-10': -14333.97, '2023-05-23': -10825.55, '2023-07-09': -12416.56, '2023-07-14': -25642.92}",5

COMPUSDT.BINANCE,350.67%,502,-67771.61,"{'2023-01-14': -67771.61, '2023-02-19': -16994.68}",2

CHZUSDT.BINANCE,184.66%,414,-23734.08,{'2023-01-14': -23734.08},1

ANKRUSDT.BINANCE,436.82%,570,-44881.13,"{'2023-01-25': -12742.54, '2023-04-01': -44881.13}",2

XEMUSDT.BINANCE,25.67%,415,-13328.92,"{'2023-02-27': -10973.39, '2023-07-12': -13328.92}",2

STMXUSDT.BINANCE,5711.37%,440,-3799099.87,"{'2023-01-16': -3799099.87, '2023-02-16': -24724.22, '2023-07-05': -12241.22, '2023-07-11': -37107.98, '2023-07-23': -192938.19, '2023-07-30': -167789.41}",6

OGNUSDT.BINANCE,190.79%,510,-89030.18,{'2023-07-24': -89030.18},1

1000SHIBUSDT.BINANCE,544.55%,428,-20426.54,{'2023-01-14': -20426.54},1

MASKUSDT.BINANCE,1014.72%,578,-95133.39,"{'2023-02-16': -44225.12, '2023-03-18': -95133.39, '2023-03-29': -15955.5, '2023-05-19': -43820.41}",4

DYDXUSDT.BINANCE,353.56%,553,-42310.14,"{'2023-01-21': -14695.35, '2023-01-26': -42310.14, '2023-02-17': -38154.74}",3

GALAUSDT.BINANCE,531.31%,590,-91186.43,"{'2023-01-07': -35799.49, '2023-03-15': -31997.5, '2023-05-09': -91186.43}",3

IMXUSDT.BINANCE,452.53%,633,-49282.72,"{'2023-01-14': -20512.23, '2023-02-03': -49282.72, '2023-02-08': -27473.71, '2023-02-16': -10598.4}",4

APEUSDT.BINANCE,396.87%,496,-20367.6,"{'2023-01-10': -20367.6, '2023-01-22': -18339.39}",2

OPUSDT.BINANCE,704.59%,618,-122216.36,"{'2023-01-14': -28045.71, '2023-01-21': -30206.49, '2023-02-17': -49961.03, '2023-02-25': -122216.36, '2023-06-22': -16083.89}",5

