symbols,total_pnl,max_drawdown,over_drawdown,over_drawdown_count

"BANDUSDT.BINANCE, BCHUSDT.BINANCE",1364.72%,-47151.68,"{'2023-01-14': -47151.68, '2023-03-14': -45485.34, '2023-06-24': -13399.46, '2023-06-30': -37273.9, '2023-07-05': -39646.09}",5

"BCHUSDT.BINANCE, SNXUSDT.BINANCE",21456.4%,-3135247.8,"{'2023-01-14': -51738.24, '2023-03-10': -3135247.8, '2023-07-14': -2974936.04}",3

"BCHUSDT.BINANCE, SOLUSDT.BINANCE",2448.67%,-393971.78,"{'2023-01-04': -81555.14, '2023-01-14': -393971.78, '2023-06-24': -372038.43}",3

"BCHUSDT.BINANCE, FILUSDT.BINANCE",1158.02%,-39552.08,"{'2023-01-13': -12765.06, '2023-02-17': -16053.63, '2023-03-10': -17337.04, '2023-03-14': -15708.13, '2023-06-10': -12843.08, '2023-06-24': -13821.57, '2023-06-30': -37064.11, '2023-07-04': -39552.08}",8

"BCHUSDT.BINANCE, ETHUSDT.BINANCE",2278.63%,-141057.16,"{'2023-01-14': -39732.12, '2023-01-18': -104380.33, '2023-01-22': -45556.45, '2023-06-24': -141057.16, '2023-06-30': -76404.67, '2023-07-05': -41791.74}",6

"BCHUSDT.BINANCE, DOTUSDT.BINANCE",726.45%,-41836.67,"{'2023-01-13': -10350.01, '2023-03-14': -26930.25, '2023-06-30': -35881.3, '2023-07-05': -41836.67}",4

"BCHUSDT.BINANCE, DOGEUSDT.BINANCE",950.34%,-41543.94,"{'2023-01-14': -14546.49, '2023-03-10': -27330.78, '2023-03-14': -18380.6, '2023-06-24': -23247.21, '2023-06-30': -40589.08, '2023-07-05': -41543.94}",6

"BCHUSDT.BINANCE, MKRUSDT.BINANCE",2250.53%,-219811.7,"{'2023-01-10': -26935.34, '2023-01-13': -18639.47, '2023-03-11': -10749.8, '2023-03-14': -11761.86, '2023-06-22': -15490.32, '2023-06-30': -187067.09, '2023-07-04': -219811.7}",7

"BCHUSDT.BINANCE, MATICUSDT.BINANCE",5846.38%,-558242.36,"{'2023-01-14': -24216.7, '2023-02-17': -38250.73, '2023-03-10': -22768.13, '2023-03-14': -12065.91, '2023-06-11': -558242.36, '2023-06-24': -526716.69}",6

"BCHUSDT.BINANCE, LTCUSDT.BINANCE",2564.64%,-297371.47,"{'2023-01-13': -10425.09, '2023-03-10': -64500.76, '2023-06-24': -297371.47, '2023-06-30': -120966.95}",4

"BCHUSDT.BINANCE, LINKUSDT.BINANCE",1725.59%,-140893.22,"{'2023-01-13': -21916.05, '2023-03-10': -13358.46, '2023-03-14': -14253.33, '2023-04-24': -16659.42, '2023-06-24': -140893.22, '2023-06-30': -76816.33, '2023-07-14': -42919.25}",7

"BCHUSDT.BINANCE, BNBUSDT.BINANCE",666.26%,-41820.9,"{'2023-01-14': -13126.34, '2023-03-14': -27137.8, '2023-06-24': -12421.3, '2023-06-30': -37210.08, '2023-07-05': -41820.9}",5

"BCHUSDT.BINANCE, XLMUSDT.BINANCE",1652.91%,-140996.47,"{'2023-03-10': -14483.12, '2023-03-14': -14874.25, '2023-06-24': -140996.47, '2023-06-30': -72483.33, '2023-07-05': -41330.0}",5

"BCHUSDT.BINANCE, BTCUSDT.BINANCE",645.83%,-41856.36,"{'2023-01-13': -10479.18, '2023-03-14': -17634.98, '2023-03-20': -32961.02, '2023-06-21': -27454.29, '2023-06-30': -39039.96, '2023-07-05': -41856.36}",6

"BCHUSDT.BINANCE, XRPUSDT.BINANCE",4611.96%,-538786.78,"{'2023-01-13': -10440.48, '2023-03-10': -15878.58, '2023-03-14': -23047.63, '2023-03-22': -20070.28, '2023-03-29': -28887.4, '2023-06-24': -24572.01, '2023-06-30': -474039.02, '2023-07-14': -538786.78}",8

"BCHUSDT.BINANCE, COMPUSDT.BINANCE",1880.77%,-154984.35,"{'2023-01-14': -57887.75, '2023-06-24': -154984.35, '2023-06-25': -43397.34}",3

"BCHUSDT.BINANCE, OPUSDT.BINANCE",1507.63%,-93724.57,"{'2023-01-14': -54946.33, '2023-01-21': -93724.57, '2023-02-17': -16778.07, '2023-03-14': -10818.97, '2023-03-17': -13663.61, '2023-06-22': -55960.86, '2023-06-30': -49856.64, '2023-07-05': -41594.21}",8

"APEUSDT.BINANCE, BCHUSDT.BINANCE",2956.23%,-329080.63,"{'2023-01-10': -12926.97, '2023-03-14': -27328.02, '2023-05-11': -11344.96, '2023-06-10': -233333.08, '2023-06-24': -329080.63, '2023-06-30': -121356.19}",6

"BANDUSDT.BINANCE, SNXUSDT.BINANCE",20449.87%,-3149258.39,"{'2023-01-14': -70292.98, '2023-03-10': -3149258.39, '2023-07-14': -3088888.2}",3

"BANDUSDT.BINANCE, SOLUSDT.BINANCE",1355.47%,-400359.78,"{'2023-01-04': -81531.13, '2023-01-14': -400359.78, '2023-03-10': -319142.7}",3

"BANDUSDT.BINANCE, FILUSDT.BINANCE",1234.46%,-52778.66,"{'2023-01-10': -43151.86, '2023-01-14': -20238.49, '2023-02-18': -52778.66, '2023-02-26': -32238.58, '2023-03-05': -12789.32, '2023-03-14': -10059.91, '2023-06-10': -12973.47}",7

"BANDUSDT.BINANCE, ETHUSDT.BINANCE",1054.72%,-104342.02,"{'2023-01-14': -39899.89, '2023-01-18': -104342.02, '2023-01-21': -44975.48}",3

"BANDUSDT.BINANCE, DOTUSDT.BINANCE",384.37%,-10187.12,{'2023-03-15': -10187.12},1

"BANDUSDT.BINANCE, DOGEUSDT.BINANCE",493.15%,-31911.12,{'2023-06-10': -31911.12},1

"BANDUSDT.BINANCE, MKRUSDT.BINANCE",805.53%,-36160.3,"{'2023-01-10': -26970.78, '2023-03-02': -36160.3, '2023-03-17': -19714.14}",3

"BANDUSDT.BINANCE, MATICUSDT.BINANCE",8492.63%,-715539.18,"{'2023-01-14': -336822.59, '2023-06-11': -715539.18}",2

"BANDUSDT.BINANCE, LTCUSDT.BINANCE",509.39%,-64379.42,"{'2023-03-10': -64379.42, '2023-03-15': -30499.19}",2

"BANDUSDT.BINANCE, LINKUSDT.BINANCE",411.5%,-12944.51,{'2023-06-11': -12944.51},1

"BANDUSDT.BINANCE, BNBUSDT.BINANCE",334.87%,-31588.22,"{'2023-01-14': -14353.49, '2023-06-10': -31588.22}",2

"BANDUSDT.BINANCE, XLMUSDT.BINANCE",729.85%,-28240.03,"{'2023-01-14': -28240.03, '2023-01-21': -18365.45, '2023-06-28': -13595.77}",3

"BANDUSDT.BINANCE, BTCUSDT.BINANCE",545.77%,-29927.72,"{'2023-03-14': -29927.72, '2023-04-22': -10255.12, '2023-06-24': -11152.48}",3

"BANDUSDT.BINANCE, XRPUSDT.BINANCE",532.54%,-46876.91,"{'2023-01-14': -12563.49, '2023-03-22': -16598.36, '2023-03-29': -15338.2, '2023-07-14': -46876.91}",4

"BANDUSDT.BINANCE, COMPUSDT.BINANCE",1025.07%,-57233.8,"{'2023-01-14': -57233.8, '2023-06-11': -53023.56, '2023-07-03': -10966.86, '2023-07-12': -14346.9}",4

"BANDUSDT.BINANCE, OPUSDT.BINANCE",963.18%,-93708.38,"{'2023-01-14': -27453.26, '2023-01-21': -93708.38, '2023-03-13': -22723.49, '2023-06-10': -32077.53, '2023-06-22': -55223.28, '2023-07-14': -26669.13}",6

"APEUSDT.BINANCE, BANDUSDT.BINANCE",910.63%,-385318.51,"{'2023-01-10': -13052.69, '2023-05-11': -11401.44, '2023-06-10': -385318.51, '2023-06-11': -68552.54}",4

"SNXUSDT.BINANCE, SOLUSDT.BINANCE",20278.81%,-3101060.92,"{'2023-01-04': -81623.45, '2023-01-14': -23695.74, '2023-03-10': -3101060.92, '2023-07-14': -3092038.85}",4

"FILUSDT.BINANCE, SNXUSDT.BINANCE",20681.77%,-3101016.02,"{'2023-01-10': -32446.29, '2023-01-14': -22963.51, '2023-02-18': -49340.37, '2023-03-10': -3101016.02, '2023-07-14': -3082022.23}",5

"ETHUSDT.BINANCE, SNXUSDT.BINANCE",20622.3%,-3105102.88,"{'2023-01-14': -39919.75, '2023-01-18': -104489.77, '2023-03-10': -3104297.06, '2023-07-14': -3105102.88}",4

"DOTUSDT.BINANCE, SNXUSDT.BINANCE",20047.07%,-3100950.33,"{'2023-01-14': -16432.72, '2023-03-10': -3100950.33, '2023-07-14': -3099950.24}",3

"DOGEUSDT.BINANCE, SNXUSDT.BINANCE",20074.2%,-3101097.84,"{'2023-03-10': -3101097.84, '2023-07-14': -3093772.49}",2

"MKRUSDT.BINANCE, SNXUSDT.BINANCE",20282.06%,-3101096.72,"{'2023-01-10': -26931.72, '2023-01-14': -20837.49, '2023-03-10': -3101096.72, '2023-07-14': -3085354.47}",4

"MATICUSDT.BINANCE, SNXUSDT.BINANCE",25686.84%,-3168479.35,"{'2023-01-14': -147409.12, '2023-03-10': -3168479.35, '2023-07-14': -2713102.66, '2023-07-20': -497759.85}",4

"LTCUSDT.BINANCE, SNXUSDT.BINANCE",10070.21%,-3101150.72,"{'2023-03-10': -3101150.72, '2023-03-13': -1849889.34}",2

"LINKUSDT.BINANCE, SNXUSDT.BINANCE",10726.5%,-3101055.31,"{'2023-03-10': -3101055.31, '2023-07-14': -1885216.33}",2

"BNBUSDT.BINANCE, SNXUSDT.BINANCE",10344.19%,-1329721.79,"{'2023-01-14': -13119.66, '2023-03-11': -10386.09, '2023-05-18': -10085.55, '2023-06-10': -15456.61, '2023-07-14': -1329721.79, '2023-07-15': -497790.86}",6

"SNXUSDT.BINANCE, XLMUSDT.BINANCE",19963.65%,-3101917.74,"{'2023-03-10': -3101026.64, '2023-07-14': -3101917.74}",2

"BTCUSDT.BINANCE, SNXUSDT.BINANCE",20000.56%,-3101072.33,"{'2023-03-10': -3101072.33, '2023-07-14': -3092408.98}",2

"SNXUSDT.BINANCE, XRPUSDT.BINANCE",20048.54%,-3100809.86,"{'2023-01-14': -11287.82, '2023-03-10': -3100809.86, '2023-07-14': -3093931.12}",3

"COMPUSDT.BINANCE, SNXUSDT.BINANCE",20780.27%,-3130280.8,"{'2023-01-14': -82393.25, '2023-03-10': -3130280.8, '2023-07-14': -3084857.27}",3

"OPUSDT.BINANCE, SNXUSDT.BINANCE",11844.8%,-1408804.05,"{'2023-01-14': -152370.53, '2023-02-03': -87460.68, '2023-03-10': -42687.96, '2023-03-13': -35958.25, '2023-06-10': -16018.56, '2023-06-22': -53403.82, '2023-07-14': -1408804.05, '2023-07-15': -527265.12}",8

"APEUSDT.BINANCE, SNXUSDT.BINANCE",20241.66%,-3101100.9,"{'2023-01-10': -12207.54, '2023-03-10': -3101100.9, '2023-07-14': -3088285.42}",3

"FILUSDT.BINANCE, SOLUSDT.BINANCE",6295.44%,-720029.76,"{'2023-01-04': -81616.48, '2023-01-14': -185008.83, '2023-03-10': -720029.76, '2023-03-14': -121971.93}",4

"ETHUSDT.BINANCE, SOLUSDT.BINANCE",1536.48%,-104306.68,"{'2023-01-04': -81568.12, '2023-01-18': -104306.68, '2023-03-10': -53912.94, '2023-06-10': -72115.65, '2023-07-14': -27948.7}",5

"DOTUSDT.BINANCE, SOLUSDT.BINANCE",1138.16%,-81589.6,"{'2023-01-04': -81589.6, '2023-01-14': -71169.54, '2023-02-20': -72830.58, '2023-03-10': -22265.95, '2023-06-10': -72356.11, '2023-07-15': -20630.18}",6

"DOGEUSDT.BINANCE, SOLUSDT.BINANCE",1076.11%,-81489.86,"{'2023-01-04': -81489.86, '2023-01-09': -19658.95, '2023-01-15': -12955.91, '2023-03-10': -36671.74, '2023-06-10': -72075.34, '2023-07-14': -28591.47}",6

"MKRUSDT.BINANCE, SOLUSDT.BINANCE",1222.61%,-185500.37,"{'2023-01-04': -81520.31, '2023-01-10': -37332.11, '2023-01-14': -185500.37, '2023-03-10': -159925.67}",4

"MATICUSDT.BINANCE, SOLUSDT.BINANCE",31266.84%,-4056531.86,"{'2023-01-04': -81583.56, '2023-01-14': -159565.15, '2023-06-11': -4056531.86, '2023-07-14': -2880583.03}",4

"LTCUSDT.BINANCE, SOLUSDT.BINANCE",880.36%,-81505.25,"{'2023-01-04': -81505.25, '2023-01-09': -19715.65, '2023-03-10': -64558.68, '2023-06-10': -73014.85, '2023-06-22': -20713.4}",5

"LINKUSDT.BINANCE, SOLUSDT.BINANCE",989.6%,-81551.41,"{'2023-01-04': -81551.41, '2023-01-15': -19841.51, '2023-03-10': -36772.69, '2023-04-24': -17046.53, '2023-06-11': -12899.15, '2023-06-25': -15026.62}",6

"BNBUSDT.BINANCE, SOLUSDT.BINANCE",829.42%,-81497.68,"{'2023-01-04': -81497.68, '2023-01-15': -28263.88, '2023-03-10': -28616.33, '2023-06-12': -10767.1, '2023-07-14': -22282.9}",5

"SOLUSDT.BINANCE, XLMUSDT.BINANCE",1002.01%,-81526.13,"{'2023-01-04': -81526.13, '2023-01-14': -71310.88, '2023-03-10': -73022.25, '2023-06-10': -72192.91, '2023-06-28': -25508.54}",5

"BTCUSDT.BINANCE, SOLUSDT.BINANCE",1167.01%,-81509.25,"{'2023-01-04': -81509.25, '2023-01-15': -27516.08, '2023-03-10': -41258.22, '2023-03-14': -16895.04, '2023-06-10': -72075.99, '2023-07-14': -26071.39}",6

"SOLUSDT.BINANCE, XRPUSDT.BINANCE",1083.07%,-81529.11,"{'2023-01-04': -81529.11, '2023-01-09': -19546.79, '2023-03-10': -36666.73, '2023-03-22': -20611.87, '2023-03-29': -15161.96, '2023-06-10': -73149.66, '2023-07-14': -28682.32}",7

"COMPUSDT.BINANCE, SOLUSDT.BINANCE",1709.3%,-92443.89,"{'2023-01-04': -81610.35, '2023-01-14': -92443.89, '2023-03-10': -67208.97, '2023-03-15': -25675.06, '2023-07-03': -13188.86, '2023-07-14': -19379.72}",6

"OPUSDT.BINANCE, SOLUSDT.BINANCE",2105.36%,-580822.5,"{'2023-01-04': -81628.06, '2023-01-14': -20888.09, '2023-01-21': -93728.1, '2023-03-10': -36711.08, '2023-03-14': -59219.7, '2023-06-10': -580822.5, '2023-06-22': -165264.3}",7

