symbols,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"1000SHIBUSDT.BINANCE, ADAUSDT.BINANCE, ETHUSDT.BINANCE",750.38%,1101,-53816.14,{'2023-01-14': -53816.14},1
"ADAUSDT.BINANCE, DOGEUSDT.BINANCE, EOSUSDT.BINANCE",277.7%,1213,-11210.17,{'2023-05-13': -11210.17},1
"ADAUSDT.BINANCE, BNBUSDT.BINANCE, EOSUSDT.BINANCE",230.9%,1107,-12241.7,{'2023-05-13': -12241.7},1
"ADAUSDT.BINANCE, DOGEUSDT.BINANCE, DOTUSDT.BINANCE",285.47%,1184,-14542.8,{'2023-01-14': -14542.8},1
"ADAUSDT.BINANCE, BNBUSDT.BINANCE, DOTUSDT.BINANCE",238.67%,1078,-14776.68,{'2023-01-14': -14776.68},1
"ADAUSDT.BINANCE, DOTUSDT.BINANCE, UNIUSDT.BINANCE",295.77%,1159,-20285.25,{'2023-01-14': -20285.25},1
"ADAUSDT.BINANCE, CHZUSDT.BINANCE, DOTUSDT.BINANCE",368.31%,1219,-36986.3,{'2023-01-14': -36986.3},1
"ADAUSDT.BINANCE, DOGEUSDT.BINANCE, MATICUSDT.BINANCE",443.27%,1241,-13206.49,{'2023-01-29': -13206.49},1
"ADAUSDT.BINANCE, DOGEUSDT.BINANCE, LTCUSDT.BINANCE",410.69%,1178,-32223.13,{'2023-03-10': -32223.13},1
"ADAUSDT.BINANCE, DOGEUSDT.BINANCE, UNIUSDT.BINANCE",311.98%,1165,-10432.14,{'2023-01-14': -10432.14},1
"ADAUSDT.BINANCE, DOGEUSDT.BINANCE, XRPUSDT.BINANCE",644.14%,1213,-198905.48,{'2023-03-29': -198905.48},1
"ADAUSDT.BINANCE, CHZUSDT.BINANCE, DOGEUSDT.BINANCE",384.52%,1225,-24588.15,{'2023-01-14': -24588.15},1
"ADAUSDT.BINANCE, DOGEUSDT.BINANCE, OGNUSDT.BINANCE",390.77%,1327,-88937.42,{'2023-07-24': -88937.42},1
"ADAUSDT.BINANCE, BNBUSDT.BINANCE, MATICUSDT.BINANCE",396.47%,1135,-11997.26,{'2023-01-29': -11997.26},1
"ADAUSDT.BINANCE, BNBUSDT.BINANCE, LTCUSDT.BINANCE",363.89%,1072,-32205.64,{'2023-03-10': -32205.64},1
"ADAUSDT.BINANCE, LTCUSDT.BINANCE, UNIUSDT.BINANCE",420.99%,1153,-32214.21,{'2023-03-10': -32214.21},1
"ADAUSDT.BINANCE, BNBUSDT.BINANCE, UNIUSDT.BINANCE",265.18%,1059,-10934.44,{'2023-01-14': -10934.44},1
"ADAUSDT.BINANCE, BNBUSDT.BINANCE, XRPUSDT.BINANCE",597.34%,1107,-198675.35,{'2023-03-29': -198675.35},1
"ADAUSDT.BINANCE, BNBUSDT.BINANCE, CHZUSDT.BINANCE",337.72%,1119,-24855.28,{'2023-01-14': -24855.28},1
"ADAUSDT.BINANCE, BNBUSDT.BINANCE, OGNUSDT.BINANCE",343.97%,1221,-89017.66,{'2023-07-24': -89017.66},1
"1000SHIBUSDT.BINANCE, ADAUSDT.BINANCE, BNBUSDT.BINANCE",691.34%,1129,-20980.33,{'2023-01-14': -20980.33},1
"ADAUSDT.BINANCE, UNIUSDT.BINANCE, XRPUSDT.BINANCE",654.44%,1188,-199064.16,{'2023-03-29': -199064.16},1
"ADAUSDT.BINANCE, CHZUSDT.BINANCE, UNIUSDT.BINANCE",394.82%,1200,-30443.1,{'2023-01-14': -30443.1},1
"1000SHIBUSDT.BINANCE, ADAUSDT.BINANCE, UNIUSDT.BINANCE",748.44%,1210,-26217.66,{'2023-01-14': -26217.66},1
"BANDUSDT.BINANCE, BNBUSDT.BINANCE, DOGEUSDT.BINANCE",514.73%,1188,-15490.25,{'2023-01-10': -15490.25},1
"BNBUSDT.BINANCE, DOGEUSDT.BINANCE, EOSUSDT.BINANCE",238.7%,1086,-12034.44,{'2023-05-13': -12034.44},1
"BNBUSDT.BINANCE, DOGEUSDT.BINANCE, DOTUSDT.BINANCE",246.69%,1058,-16035.32,{'2023-01-14': -16035.32},1
