symbols,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"AAVEUSDT.BINANCE, AXSUSDT.BINANCE, LINKUSDT.BINANCE",546.37%,1373,-7758.67,{},0
"AAVEUSDT.BINANCE, AXSUSDT.BINANCE, DOGEUSDT.BINANCE",545.26%,1347,-8964.99,{},0
"AAVEUSDT.BINANCE, ADAUSDT.BINANCE, AXSUSDT.BINANCE",537.08%,1348,-8285.22,{},0
"AAVEUSDT.BINANCE, AXSUSDT.BINANCE, BNBUSDT.BINANCE",498.46%,1241,-9028.91,{},0
"AXSUSDT.BINANCE, DOGEUSDT.BINANCE, LINKUSDT.BINANCE",436.91%,1276,-6792.59,{},0
"ADAUSDT.BINANCE, AXSUSDT.BINANCE, LINKUSDT.BINANCE",430.56%,1302,-7770.76,{},0
"ADAUSDT.BINANCE, AXSUSDT.BINANCE, DOGEUSDT.BINANCE",429.44%,1276,-8354.44,{},0
"AAVEUSDT.BINANCE, DOGEUSDT.BINANCE, LINKUSDT.BINANCE",418.61%,1287,-5595.93,{},0
"AAVEUSDT.BINANCE, ADAUSDT.BINANCE, LINKUSDT.BINANCE",412.25%,1313,-8010.05,{},0
"AAVEUSDT.BINANCE, ADAUSDT.BINANCE, DOGEUSDT.BINANCE",409.6%,1265,-8240.96,{},0
"AXSUSDT.BINANCE, BNBUSDT.BINANCE, LINKUSDT.BINANCE",390.12%,1170,-7993.01,{},0
"AXSUSDT.BINANCE, BNBUSDT.BINANCE, DOGEUSDT.BINANCE",389.0%,1144,-8059.84,{},0
"ADAUSDT.BINANCE, AXSUSDT.BINANCE, BNBUSDT.BINANCE",382.64%,1170,-7995.24,{},0
"AAVEUSDT.BINANCE, BNBUSDT.BINANCE, LINKUSDT.BINANCE",371.81%,1181,-5124.69,{},0
"AAVEUSDT.BINANCE, BNBUSDT.BINANCE, DOGEUSDT.BINANCE",370.7%,1155,-6092.25,{},0
"AAVEUSDT.BINANCE, ADAUSDT.BINANCE, BNBUSDT.BINANCE",364.34%,1181,-7466.61,{},0
"ADAUSDT.BINANCE, LINKUSDT.BINANCE, UNIUSDT.BINANCE",313.09%,1191,-9555.81,{},0
"ADAUSDT.BINANCE, DOGEUSDT.BINANCE, LINKUSDT.BINANCE",302.79%,1216,-7932.92,{},0
"BNBUSDT.BINANCE, DOGEUSDT.BINANCE, LINKUSDT.BINANCE",264.25%,1093,-4331.42,{},0
"ADAUSDT.BINANCE, BNBUSDT.BINANCE, LINKUSDT.BINANCE",256.0%,1110,-7168.36,{},0
"ADAUSDT.BINANCE, BNBUSDT.BINANCE, DOGEUSDT.BINANCE",254.88%,1084,-7480.31,{},0
