params,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.01",2257.83%,954,-175279.58,{'2023-01-14': -175279.58},1
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.02",488.65%,929,-36619.15,"{'2023-01-14': -36619.15, '2023-03-15': -13435.09}",2
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.01",1192.8%,946,-86951.91,{'2023-01-14': -86951.91},1
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.02",359.56%,924,-19088.94,{'2023-01-14': -19088.94},1
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.01",1149.66%,935,-86870.31,{'2023-01-14': -86870.31},1
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.02",307.58%,919,-19447.87,{'2023-01-14': -19447.87},1
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.01",311.53%,934,-35803.91,{'2023-01-14': -35803.91},1
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.02",217.41%,918,-12037.96,{'2023-01-14': -12037.96},1
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.01",2858.74%,916,-236286.08,{'2023-01-14': -236286.08},1
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.02",370.52%,903,-85677.69,{'2023-01-14': -85677.69},1
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.01",871.9%,881,-56622.11,{'2023-01-14': -56622.11},1
