params,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.01",168.0%,606,-21258.14,{'2023-03-19': -21258.14},1
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.02",1027.54%,562,-87691.2,"{'2023-03-14': -87691.2, '2023-03-20': -14231.06}",2
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.01",133.72%,584,-10292.41,{'2023-03-19': -10292.41},1
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.02",686.42%,557,-56012.09,"{'2023-03-14': -56012.09, '2023-03-20': -12503.17}",2
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.01",80.09%,565,-16149.42,{'2023-03-20': -16149.42},1
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.02",642.21%,521,-34452.59,"{'2023-03-14': -34452.59, '2023-03-23': -12273.3}",2
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.01",77.32%,538,-5580.66,{},0
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.02",484.28%,521,-36738.78,{'2023-03-14': -36738.78},1
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.01",77.45%,538,-5583.84,{},0
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.02",486.8%,521,-36946.61,{'2023-03-14': -36946.61},1
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.01",707.8%,508,-73372.31,"{'2023-01-14': -73372.31, '2023-03-19': -14072.08}",2
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.02",579.04%,449,-46065.23,"{'2023-01-14': -30602.83, '2023-03-14': -46065.23, '2023-06-24': -19531.35}",3
