params,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.01",738.81%,1946,-19759.06,"{'2022-02-05': -16482.99, '2022-03-19': -10084.75, '2022-07-28': -18472.28, '2023-02-14': -19759.06}",4
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.02",698.16%,1869,-502386.39,"{'2022-05-10': -502386.39, '2022-07-20': -91197.69, '2022-08-21': -13631.4, '2023-01-14': -22970.98, '2023-02-14': -11322.84}",5
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.01",4308.54%,1896,-745559.49,"{'2022-02-08': -37357.76, '2022-05-10': -745559.49, '2023-03-15': -13516.11}",3
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.02",563.45%,1831,-179564.25,"{'2022-02-08': -13991.65, '2022-05-10': -179564.25, '2022-07-20': -81945.57, '2022-08-21': -10035.71, '2023-01-14': -15782.48}",5
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.01",780.92%,1870,-492298.69,"{'2022-02-08': -11163.23, '2022-05-10': -492298.69, '2022-10-26': -84834.74, '2023-03-15': -11988.77}",4
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.02",1140.09%,1815,-123823.45,"{'2022-05-10': -123823.45, '2022-07-20': -83166.81, '2022-08-21': -11386.93, '2022-10-26': -29894.25, '2023-01-14': -15882.87}",5
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.01",2121.13%,1813,-427029.9,"{'2022-05-10': -427029.9, '2022-10-26': -37249.54}",2
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.02",1348.97%,1749,-102555.12,"{'2022-05-10': -102555.12, '2022-07-20': -52158.35, '2022-10-26': -29899.57, '2023-01-14': -17565.75}",4
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.01",790.65%,1786,-111864.27,"{'2022-05-10': -111864.27, '2022-10-26': -37549.05, '2023-01-14': -11645.81}",3
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.02",914.7%,1755,-57770.95,"{'2022-05-10': -57770.95, '2022-07-20': -53576.74, '2022-10-27': -21043.73}",3
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.01",686.41%,1895,-34873.88,"{'2022-02-05': -15472.66, '2022-06-13': -34873.88, '2022-07-28': -14654.61, '2022-08-13': -14716.2}",4
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.02",490.94%,1768,-228718.36,"{'2022-02-08': -19594.67, '2022-05-10': -228718.36, '2022-06-13': -10343.91, '2022-07-20': -70117.52, '2023-01-14': -17115.33}",5
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.01",897.16%,1818,-433046.26,"{'2022-02-08': -33723.16, '2022-05-10': -433046.26, '2022-06-13': -34993.73}",3
