params,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.02",139.99%,879,-6576.94,{},0
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.01",166.86%,870,-9724.39,{},0
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.02",140.4%,867,-6727.69,{},0
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.01",108.25%,854,-4890.11,{},0
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.02",101.33%,841,-3502.8,{},0
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.02",126.45%,837,-4122.39,{},0
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.01",110.78%,834,-7638.97,{},0
"continuous_increase_rate_0.004, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.01",82.65%,795,-3597.69,{},0
"continuous_increase_rate_0.004, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.01",113.08%,792,-9511.42,{},0
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.02",114.88%,781,-6818.94,{},0
"continuous_increase_rate_0.004, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.02",95.69%,776,-5689.77,{},0
"continuous_increase_rate_0.004, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.01",95.45%,773,-4304.02,{},0
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.02",98.15%,755,-5736.21,{},0
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.01",106.05%,753,-4976.88,{},0
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.01",112.82%,751,-9763.25,{},0
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.01",99.26%,748,-8116.45,{},0
