symbols,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
BCHUSDT.BINANCE,586.94%,1150,-28118.73,"{'2022-09-09': -10959.16, '2023-01-13': -28118.73, '2023-03-15': -11257.01, '2023-06-22': -18352.97, '2023-06-30': -13577.39}",5
ADAUSDT.BINANCE,873.18%,1247,-150135.21,"{'2022-01-17': -13254.39, '2022-03-25': -150135.21, '2022-05-31': -54390.6, '2022-08-21': -11989.18, '2023-01-09': -73720.75}",5
BANDUSDT.BINANCE,1116.25%,1665,-25724.18,"{'2022-05-31': -18057.76, '2022-06-10': -24826.21, '2022-11-03': -25724.18, '2022-11-10': -12925.17, '2023-01-10': -15300.55}",5
AVAXUSDT.BINANCE,2785.7%,1426,-107877.13,"{'2022-01-22': -107877.13, '2022-01-27': -18188.17, '2022-07-29': -11551.44, '2022-10-30': -39203.27, '2022-11-08': -15830.67}",5
AAVEUSDT.BINANCE,1325.6%,1533,-92836.05,"{'2022-03-18': -90329.68, '2022-03-30': -30283.62, '2022-04-21': -11475.91, '2022-05-31': -92836.05, '2022-06-21': -48093.76}",5
AXSUSDT.BINANCE,3286.46%,1510,-258426.85,"{'2022-02-07': -258426.85, '2022-03-25': -10295.85, '2022-05-31': -22394.82, '2022-06-25': -18875.99, '2022-07-20': -23100.04, '2022-11-05': -12211.42}",6
SNXUSDT.BINANCE,2979.46%,1803,-454908.88,"{'2022-01-04': -32097.4, '2022-01-27': -48956.42, '2022-03-10': -20558.92, '2022-03-31': -10239.18, '2022-05-31': -24332.56, '2022-06-20': -454908.88, '2022-07-29': -15367.14, '2023-01-14': -51362.8, '2023-01-21': -14466.99, '2023-07-14': -319825.85}",10
SOLUSDT.BINANCE,5268.75%,1518,-2402413.42,"{'2022-05-16': -17311.62, '2022-07-29': -12288.64, '2022-11-10': -25898.62, '2023-01-04': -2402413.42, '2023-01-14': -10266.27}",5
STORJUSDT.BINANCE,2609.97%,1543,-164223.99,"{'2022-02-27': -39151.68, '2023-01-28': -13876.41, '2023-07-05': -164223.99}",3
FILUSDT.BINANCE,371562.78%,1520,-23349914.11,"{'2023-02-19': -23349914.11, '2023-06-10': -13075.74, '2023-07-04': -18260.21}",3
ETHUSDT.BINANCE,786.21%,1044,-59246.52,"{'2022-05-10': -59246.52, '2022-06-14': -34202.5, '2023-01-14': -35404.31}",3
ETCUSDT.BINANCE,28856.99%,1425,-29406415.65,"{'2022-02-08': -46722.02, '2022-03-21': -435061.02, '2022-07-18': -3296345.68, '2022-07-29': -29406415.65, '2023-06-10': -12371.9, '2023-06-24': -12259.92}",6
