symbols,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"AAVEUSDT.BINANCE, ADAUSDT.BINANCE, BANDUSDT.BINANCE",662.05%,1393,-17682.43,{'2023-01-10': -17682.43},1
"AAVEUSDT.BINANCE, ADAUSDT.BINANCE, EOSUSDT.BINANCE",384.6%,1289,-11371.08,{'2023-05-13': -11371.08},1
"AAVEUSDT.BINANCE, ADAUSDT.BINANCE, DOTUSDT.BINANCE",393.09%,1262,-16063.01,{'2023-01-14': -16063.01},1
"AAVEUSDT.BINANCE, ADAUSDT.BINANCE, LTCUSDT.BINANCE",517.36%,1248,-32218.45,{'2023-03-10': -32218.45},1
"AAVEUSDT.BINANCE, ADAUSDT.BINANCE, UNIUSDT.BINANCE",421.44%,1262,-12549.44,{'2023-01-14': -12549.44},1
"AAVEUSDT.BINANCE, ADAUSDT.BINANCE, CHZUSDT.BINANCE",493.98%,1322,-26321.47,{'2023-01-14': -26321.47},1
"AAVEUSDT.BINANCE, ADAUSDT.BINANCE, OGNUSDT.BINANCE",500.23%,1424,-89019.42,{'2023-07-24': -89019.42},1
"ADAUSDT.BINANCE, AXSUSDT.BINANCE, EOSUSDT.BINANCE",405.46%,1299,-11992.47,{'2023-05-13': -11992.47},1
"ADAUSDT.BINANCE, AXSUSDT.BINANCE, DOTUSDT.BINANCE",413.23%,1270,-16674.53,{'2023-01-14': -16674.53},1
"ADAUSDT.BINANCE, AXSUSDT.BINANCE, LTCUSDT.BINANCE",538.45%,1264,-32230.4,{'2023-03-10': -32230.4},1
"ADAUSDT.BINANCE, AXSUSDT.BINANCE, UNIUSDT.BINANCE",439.74%,1251,-11899.46,{'2023-01-14': -11899.46},1
"ADAUSDT.BINANCE, AXSUSDT.BINANCE, XRPUSDT.BINANCE",771.9%,1299,-199050.76,{'2023-03-29': -199050.76},1
"ADAUSDT.BINANCE, AXSUSDT.BINANCE, CHZUSDT.BINANCE",512.28%,1311,-26672.43,{'2023-01-14': -26672.43},1
"ADAUSDT.BINANCE, AXSUSDT.BINANCE, OGNUSDT.BINANCE",518.53%,1413,-88978.18,{'2023-07-24': -88978.18},1
"1000SHIBUSDT.BINANCE, ADAUSDT.BINANCE, ETHUSDT.BINANCE",750.38%,1101,-53816.14,{'2023-01-14': -53816.14},1
"ADAUSDT.BINANCE, DOGEUSDT.BINANCE, EOSUSDT.BINANCE",277.7%,1213,-11210.17,{'2023-05-13': -11210.17},1
"ADAUSDT.BINANCE, BNBUSDT.BINANCE, EOSUSDT.BINANCE",230.9%,1107,-12241.7,{'2023-05-13': -12241.7},1
"ADAUSDT.BINANCE, DOGEUSDT.BINANCE, DOTUSDT.BINANCE",285.47%,1184,-14542.8,{'2023-01-14': -14542.8},1
"ADAUSDT.BINANCE, BNBUSDT.BINANCE, DOTUSDT.BINANCE",238.67%,1078,-14776.68,{'2023-01-14': -14776.68},1
"ADAUSDT.BINANCE, DOTUSDT.BINANCE, UNIUSDT.BINANCE",295.77%,1159,-20285.25,{'2023-01-14': -20285.25},1
"ADAUSDT.BINANCE, CHZUSDT.BINANCE, DOTUSDT.BINANCE",368.31%,1219,-36986.3,{'2023-01-14': -36986.3},1
"ADAUSDT.BINANCE, DOGEUSDT.BINANCE, MATICUSDT.BINANCE",443.27%,1241,-13206.49,{'2023-01-29': -13206.49},1
"ADAUSDT.BINANCE, DOGEUSDT.BINANCE, LTCUSDT.BINANCE",410.69%,1178,-32223.13,{'2023-03-10': -32223.13},1
