symbol,priceTick,variableCommission,slippage,min_volume,start_dt
BTCUSDT.BYBIT,0.10,0.0001,1,0.001,2020-03-25 18:36:00
LTCUSDT.BYBIT,0.01,0.0001,1,0.1,2020-10-21 17:27:00
LINKUSDT.BYBIT,0.001,0.0001,1,0.1,2020-10-21 17:29:00
XTZUSDT.BYBIT,0.001,0.0001,1,0.1,2020-10-21 17:30:00
BCHUSDT.BYBIT,0.05,0.0001,1,0.01,2020-12-14 14:51:00
ETHUSDT.BYBIT,0.01,0.0001,1,0.01,2021-03-15 08:00:00
ADAUSDT.BYBIT,0.0001,0.0001,1,1.0,2021-03-18 15:53:00
DOTUSDT.BYBIT,0.001,0.0001,1,0.1,2021-03-18 17:34:00
AAVEUSDT.BYBIT,0.01,0.0001,1,0.01,2021-05-13 17:21:00
XRPUSDT.BYBIT,0.0001,0.0001,1,1.0,2021-05-13 17:34:00
