symbol,priceTick,variableCommission,slippage,min_volume,start_dt
BCHUSDT.BINANCE,0.01,0.0004,1,0.001,2020-01-02 00:00:00
ADAUSDT.BINANCE,0.00010,0.0004,1,1,2020-01-31 16:01:00
ATOMUSDT.BINANCE,0.001,0.0004,1,0.01,2020-02-07 20:11:00
BATUSDT.BINANCE,0.0001,0.0004,1,0.1,2020-02-13 16:05:00
ALGOUSDT.BINANCE,0.0001,0.0004,1,0.1,2020-06-16 17:01:00
BANDUSDT.BINANCE,0.0001,0.0004,1,0.1,2020-07-29 15:00:00
BALUSDT.BINANCE,0.001,0.0004,1,0.1,2020-09-01 15:01:00
AVAXUSDT.BINANCE,0.0010,0.0004,1,1,2020-09-23 15:00:00
AAVEUSDT.BINANCE,0.010,0.0004,1,0.1,2020-10-16 15:00:00
BELUSDT.BINANCE,0.00010,0.0004,1,1,2020-11-18 15:00:00
AXSUSDT.BINANCE,0.00100,0.0004,1,1,2020-11-20 15:04:00
ALPHAUSDT.BINANCE,0.00001,0.0004,1,1,2020-11-23 15:00:00
1INCHUSDT.BINANCE,0.0001,0.0004,1,1,2020-12-25 18:00:00
ANKRUSDT.BINANCE,0.000010,0.0004,1,1,2021-01-26 15:00:00
ALICEUSDT.BINANCE,0.001,0.0004,1,0.1,2021-03-16 11:00:00
1000SHIBUSDT.BINANCE,0.000001,0.0004,1,1,2021-05-11 01:37:00
BAKEUSDT.BINANCE,0.0001,0.0004,1,1,2021-05-19 15:00:00
AUDIOUSDT.BINANCE,0.0001,0.0004,1,1,2021-08-19 11:30:00
ATAUSDT.BINANCE,0.0001,0.0004,1,1,2021-08-31 11:30:00
1000XECUSDT.BINANCE,0.00001,0.0004,1,1,2021-09-17 11:30:00
ARUSDT.BINANCE,0.001,0.0004,1,0.1,2021-09-28 11:30:00
ARPAUSDT.BINANCE,0.00001,0.0004,1,1,2021-10-19 11:30:00
BTSUSDT.BINANCE,0.00001,0.0004,1,1,2021-12-01 00:00:00
BTCUSDT.BINANCE,0.10,0.0004,1,0.001,2021-12-01 00:00:00
BTCDOMUSDT.BINANCE,0.1,0.0004,1,0.001,2021-12-01 00:00:00
BNBUSDT.BINANCE,0.010,0.0004,1,0.01,2021-12-01 00:00:00
BLZUSDT.BINANCE,0.00001,0.0004,1,1,2021-12-01 00:00:00
CELOUSDT.BINANCE,0.001,0.0004,1,0.1,2021-12-01 00:00:00
CHRUSDT.BINANCE,0.0001,0.0004,1,1,2021-12-01 00:00:00
C98USDT.BINANCE,0.0001,0.0004,1,1,2021-12-01 00:00:00
CHZUSDT.BINANCE,0.00001,0.0004,1,1,2021-12-01 00:00:00
CELRUSDT.BINANCE,0.00001,0.0004,1,1,2021-12-01 00:00:00
ANTUSDT.BINANCE,0.001,0.0004,1,0.1,2021-12-27 12:01:00
API3USDT.BINANCE,0.0010,0.0004,1,0.1,2022-02-22 11:31:00
APEUSDT.BINANCE,0.0010,0.0004,1,1,2022-03-17 23:00:00
1000LUNCUSDT.BINANCE,0.0000100,0.0004,1,1,2022-09-09 21:00:00
APTUSDT.BINANCE,0.00100,0.0004,1,0.1,2022-10-19 10:00:00
BLUEBIRDUSDT.BINANCE,0.00100,0.0004,1,0.1,2022-11-02 20:00:00
ASTRUSDT.BINANCE,0.0000100,0.0004,1,1,2023-02-14 10:30:00
AGIXUSDT.BINANCE,0.0001000,0.0004,1,1,2023-02-16 22:15:00
CFXUSDT.BINANCE,0.0001000,0.0004,1,1,2023-02-20 22:30:00
ACHUSDT.BINANCE,0.0000100,0.0004,1,1,2023-02-22 22:30:00
BNXUSDT.BINANCE,0.000100,0.0004,1,0.1,2023-02-22 22:45:00
CKBUSDT.BINANCE,0.0000010,0.0004,1,1,2023-02-28 20:00:00
ARBUSDT.BINANCE,0.000100,0.0004,1,0.1,2023-03-23 23:01:00
AMBUSDT.BINANCE,0.0000100,0.0004,1,1,2023-03-30 20:00:00
BLURUSDT.BINANCE,0.0001000,0.0004,1,1,2023-04-28 20:00:00
1000PEPEUSDT.BINANCE,0.0000001,0.0004,1,1,2023-05-06 00:30:00
1000FLOKIUSDT.BINANCE,0.0000100,0.0004,1,1,2023-05-07 00:30:00
