symbol,priceTick,variableCommission,slippage,min_volume,start_dt
ZILUSDT.BINANCE,0.00001,0.0004,1,1,2021-12-02 00:00:00
ATAUSDT.BINANCE,0.0001,0.0004,1,1,2021-08-31 11:30:00
CTSIUSDT.BINANCE,0.0001,0.0004,1,1,2021-12-01 00:00:00
EGLDUSDT.BINANCE,0.010,0.0004,1,0.1,2021-12-01 00:00:00
DYDXUSDT.BINANCE,0.001,0.0004,1,0.1,2021-12-01 00:00:00
AUDIOUSDT.BINANCE,0.0001,0.0004,1,1,2021-08-19 11:30:00
1000SHIBUSDT.BINANCE,0.000001,0.0004,1,1,2021-05-11 01:37:00
LINAUSDT.BINANCE,0.00001,0.0004,1,1,2021-12-01 00:00:00
OMGUSDT.BINANCE,0.0001,0.0004,1,0.1,2021-12-01 00:00:00
WAVESUSDT.BINANCE,0.0001,0.0004,1,0.1,2021-12-02 00:00:00
ARUSDT.BINANCE,0.001,0.0004,1,0.1,2021-09-28 11:30:00
ALPHAUSDT.BINANCE,0.00001,0.0004,1,1,2020-11-23 15:00:00
ZENUSDT.BINANCE,0.001,0.0004,1,0.1,2021-12-02 00:00:00
PEOPLEUSDT.BINANCE,0.00001,0.0004,1,1,2021-12-24 12:00:00
KAVAUSDT.BINANCE,0.0001,0.0004,1,0.1,2021-12-01 00:00:00
FTMUSDT.BINANCE,0.000100,0.0004,1,1,2021-12-01 00:00:00
DOGEUSDT.BINANCE,0.000010,0.0004,1,1,2021-12-01 00:00:00
STORJUSDT.BINANCE,0.0001,0.0004,1,1,2021-12-02 00:00:00
UNFIUSDT.BINANCE,0.001,0.0004,1,0.1,2021-12-02 00:00:00
BATUSDT.BINANCE,0.0001,0.0004,1,0.1,2020-02-13 16:05:00
SXPUSDT.BINANCE,0.0001,0.0004,1,0.1,2021-12-02 00:00:00
CHRUSDT.BINANCE,0.0001,0.0004,1,1,2021-12-01 00:00:00
ARPAUSDT.BINANCE,0.00001,0.0004,1,1,2021-10-19 11:30:00
BAKEUSDT.BINANCE,0.0001,0.0004,1,1,2021-05-19 15:00:00
RSRUSDT.BINANCE,0.000001,0.0004,1,1,2021-12-01 00:00:00
AXSUSDT.BINANCE,0.00100,0.0004,1,1,2020-11-20 15:04:00
ETCUSDT.BINANCE,0.001,0.0004,1,0.01,2021-12-01 00:00:00
SFPUSDT.BINANCE,0.0001,0.0004,1,1,2021-12-01 00:00:00
BCHUSDT.BINANCE,0.01,0.0004,1,0.001,2020-01-02 00:00:00
ETHUSDT.BINANCE,0.01,0.0004,1,0.001,2021-12-01 00:00:00
YFIUSDT.BINANCE,1,0.0004,1,0.001,2021-12-02 00:00:00
LRCUSDT.BINANCE,0.00010,0.0004,1,1,2021-12-01 00:00:00
RENUSDT.BINANCE,0.00001,0.0004,1,1,2021-12-01 00:00:00
AVAXUSDT.BINANCE,0.0010,0.0004,1,1,2020-09-23 15:00:00
ATOMUSDT.BINANCE,0.001,0.0004,1,0.01,2020-02-07 20:11:00
GALAUSDT.BINANCE,0.00001,0.0004,1,1,2021-12-01 00:00:00
KNCUSDT.BINANCE,0.00010,0.0004,1,1,2021-12-01 00:00:00
AAVEUSDT.BINANCE,0.010,0.0004,1,0.1,2020-10-16 15:00:00
SUSHIUSDT.BINANCE,0.0001,0.0004,1,1,2021-12-02 00:00:00
CRVUSDT.BINANCE,0.001,0.0004,1,0.1,2021-12-01 00:00:00
OGNUSDT.BINANCE,0.0001,0.0004,1,1,2021-12-01 00:00:00
ADAUSDT.BINANCE,0.00010,0.0004,1,1,2020-01-31 16:01:00
DASHUSDT.BINANCE,0.01,0.0004,1,0.001,2021-12-01 00:00:00
SOLUSDT.BINANCE,0.0010,0.0004,1,1,2021-12-01 00:00:00
SKLUSDT.BINANCE,0.00001,0.0004,1,1,2021-12-01 00:00:00
MASKUSDT.BINANCE,0.0010,0.0004,1,1,2021-12-01 00:00:00
ALGOUSDT.BINANCE,0.0001,0.0004,1,0.1,2020-06-16 17:01:00
BELUSDT.BINANCE,0.00010,0.0004,1,1,2020-11-18 15:00:00
C98USDT.BINANCE,0.0001,0.0004,1,1,2021-12-01 00:00:00
ANKRUSDT.BINANCE,0.000010,0.0004,1,1,2021-01-26 15:00:00
ZRXUSDT.BINANCE,0.0001,0.0004,1,0.1,2021-12-02 00:00:00
RLCUSDT.BINANCE,0.0001,0.0004,1,0.1,2021-12-01 00:00:00
ENJUSDT.BINANCE,0.00010,0.0004,1,1,2021-12-01 00:00:00
MKRUSDT.BINANCE,0.10,0.0004,1,0.001,2021-12-01 00:00:00
