symbol,priceTick,variableCommission,slippage,min_volume,start_dt
SUSHI-USDT-SWAP.OKX,0.0001,0.0004,1,1.0,2020-12-01 00:00:00
BAT-USDT-SWAP.OKX,0.0001,0.0004,1,10.0,2020-12-01 00:00:00
ADA-USDT-SWAP.OKX,1e-05,0.0004,1,100.0,2020-12-01 00:00:00
BAND-USDT-SWAP.OKX,0.001,0.0004,1,1.0,2020-12-01 00:00:00
BAL-USDT-SWAP.OKX,0.001,0.0004,1,0.1,2020-12-01 00:00:00
ALGO-USDT-SWAP.OKX,0.0001,0.0004,1,10.0,2020-12-01 00:00:00
AVAX-USDT-SWAP.OKX,0.01,0.0004,1,1.0,2020-12-01 00:00:00
ANT-USDT-SWAP.OKX,0.001,0.0004,1,1.0,2020-12-01 00:00:00
ATOM-USDT-SWAP.OKX,0.001,0.0004,1,1.0,2020-12-01 00:00:00
EOS-USDT-SWAP.OKX,0.0001,0.0004,1,10.0,2020-12-01 00:00:00
1INCH-USDT-SWAP.OKX,0.0001,0.0004,1,1.0,2021-01-29 18:41:00
AAVE-USDT-SWAP.OKX,0.01,0.0004,1,0.1,2021-01-29 18:41:00
BADGER-USDT-SWAP.OKX,0.001,0.0004,1,0.1,2021-01-29 21:11:00
ALPHA-USDT-SWAP.OKX,0.0001,0.0004,1,1.0,2021-03-18 17:00:00
AXS-USDT-SWAP.OKX,0.001,0.0004,1,0.1,2021-07-28 16:59:00
AGLD-USDT-SWAP.OKX,0.0001,0.0004,1,1.0,2021-09-07 17:58:00
DYDX-USDT-SWAP.OKX,0.001,0.0004,1,1.0,2021-09-09 00:14:00
ENS-USDT-SWAP.OKX,0.001,0.0004,1,0.1,2021-11-11 17:46:00
