datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,7.43,55.45,7.43,55.45,412.0
2022-12-21 19:05:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.11,56.26,7.32,56.26,412.0
2022-12-22 15:15:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,14.95,55.12,22.27,55.49,1236.0
2022-12-27 19:00:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,15.05,57.03,7.22,57.03,412.0
2022-12-27 20:40:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.07,57.66,7.15,57.66,412.0
2022-12-28 11:20:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,14.6,56.41,21.75,56.82,1236.0
2022-12-29 00:10:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,30.22,54.54,51.97,55.49,2884.0
2023-01-04 22:20:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,44.72,56.81,7.25,56.81,412.0
2023-01-05 19:05:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,14.83,55.57,22.08,55.98,1236.0
2023-01-07 07:30:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,14.8,56.57,7.28,56.57,412.0
2023-01-08 16:45:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.17,57.97,7.11,57.97,412.0
2023-01-09 06:50:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.09,58.71,7.02,58.71,412.0
2023-01-09 08:15:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.07,59.3,6.95,59.3,412.0
2023-01-09 09:30:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.09,60.02,6.86,60.02,412.0
2023-01-09 10:45:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,60.94,6.76,60.94,412.0
2023-01-09 18:20:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.14,62.27,6.62,62.27,412.0
2023-01-10 11:00:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,13.56,60.74,20.18,61.24,1236.0
2023-01-10 19:15:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,13.52,61.87,6.66,61.87,412.0
2023-01-11 03:15:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.07,62.49,6.59,62.49,412.0
2023-01-11 11:30:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,13.48,61.12,20.07,61.57,1236.0
2023-01-12 08:10:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,13.64,64.03,6.43,64.03,412.0
2023-01-12 10:45:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.06,64.7,6.37,64.7,412.0
2023-01-12 15:35:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.24,67.17,6.13,67.17,412.0
2023-01-12 17:45:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,12.52,65.82,18.65,66.26,1236.0
2023-01-12 22:20:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,12.5,66.96,6.15,66.96,412.0
2023-01-13 02:20:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.08,67.91,6.07,67.91,412.0
2023-01-13 16:15:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.07,68.63,6.0,68.63,412.0
2023-01-13 21:45:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,12.27,67.19,18.27,67.66,1236.0
2023-01-14 01:30:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,12.26,68.58,6.01,68.58,412.0
2023-01-14 04:20:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,69.77,5.91,69.77,412.0
2023-01-14 05:10:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,70.9,5.81,70.9,412.0
2023-01-14 06:05:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.11,72.26,5.7,72.26,412.0
2023-01-14 09:20:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.14,74.1,5.56,74.1,412.0
2023-01-14 15:30:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.32,78.61,5.24,78.61,412.0
2023-01-14 17:00:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.07,79.7,5.17,79.7,412.0
2023-01-14 17:50:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,10.8,76.26,15.97,77.37,1236.0
2023-01-14 20:05:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,10.7,78.23,5.27,78.23,412.0
2023-01-14 23:40:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,10.78,76.42,16.05,77.01,1236.0
2023-01-15 17:15:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,22.47,73.34,38.52,74.87,2884.0
2023-01-15 23:35:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,33.43,80.89,5.09,80.89,412.0
2023-01-16 06:45:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,10.4,79.26,15.49,79.8,1236.0
2023-01-16 10:20:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,10.4,80.99,5.09,80.99,412.0
2023-01-16 14:05:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.06,81.94,5.03,81.94,412.0
2023-01-16 17:00:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,10.5,78.47,15.53,79.59,1236.0
2023-01-17 03:25:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,10.42,80.66,5.11,80.66,412.0
2023-01-17 13:15:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.13,82.74,4.98,82.74,412.0
2023-01-17 20:45:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.07,83.86,4.91,83.86,412.0
2023-01-17 23:00:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.32,89.77,4.59,89.77,412.0
2023-01-18 00:40:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,9.44,87.31,14.03,88.11,1236.0
2023-01-18 08:45:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,19.49,84.53,33.52,86.03,2884.0
2023-01-18 23:15:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,28.83,87.77,4.69,87.77,412.0
2023-01-19 00:55:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,10.42,79.15,15.11,81.83,1236.0
2023-01-19 01:45:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,10.13,82.72,4.98,82.72,412.0
2023-01-19 04:30:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.08,84.11,4.9,84.11,412.0
2023-01-19 08:20:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,10.06,81.88,14.96,82.61,1236.0
2023-01-19 21:25:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,20.82,79.17,35.78,80.61,2884.0
2023-01-20 10:40:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,30.73,81.58,5.05,81.58,412.0
2023-01-21 01:25:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,83.18,4.95,83.18,412.0
2023-01-21 05:10:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.22,87.07,4.73,87.07,412.0
2023-01-21 15:15:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.05,88.06,4.68,88.06,412.0
2023-01-21 19:25:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,9.57,86.07,14.25,86.72,1236.0
2023-01-22 22:35:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9.55,87.66,4.7,87.66,412.0
2023-01-22 23:20:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.06,88.79,4.64,88.79,412.0
2023-01-23 05:20:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.OPEN,9.71,84.89,14.35,86.15,1236.0
