datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,7.43,55.45,-7.43,55.45,-412.0
2022-12-21 11:40:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.08,54.83,-7.51,54.83,-412.0
2022-12-21 19:05:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,14.65,56.26,-22.16,55.78,-1236.0
2022-12-22 15:10:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,14.69,55.14,-7.47,55.14,-412.0
2022-12-22 23:10:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.12,54.29,-7.59,54.29,-412.0
2022-12-23 06:40:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,14.85,55.48,-22.44,55.08,-1236.0
2022-12-24 05:35:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,14.86,54.37,-7.58,54.37,-412.0
2022-12-26 13:40:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,14.84,55.52,-22.42,55.13,-1236.0
2022-12-27 20:40:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,28.58,57.66,-51.0,56.55,-2884.0
2022-12-28 15:00:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,43.63,55.93,-7.37,55.93,-412.0
2022-12-28 18:20:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,55.17,-7.47,55.17,-412.0
2022-12-29 00:10:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.08,54.54,-7.55,54.54,-412.0
2022-12-29 06:30:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.16,53.46,-7.71,53.46,-412.0
2022-12-29 19:15:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,15.1,54.56,-22.81,54.19,-1236.0
2022-12-30 15:50:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,15.13,53.62,-7.68,53.62,-412.0
2022-12-30 21:05:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.13,52.76,-7.81,52.76,-412.0
2022-12-30 22:05:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.11,52.02,-7.92,52.02,-412.0
2022-12-31 22:00:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,15.51,53.14,-23.43,52.76,-1236.0
2023-01-01 02:45:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,15.54,52.21,-7.89,52.21,-412.0
2023-01-01 13:15:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.15,51.27,-8.04,51.27,-412.0
2023-01-02 05:00:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,15.74,52.34,-23.78,51.98,-1236.0
2023-01-04 11:40:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,30.08,54.78,-53.86,53.54,-2884.0
2023-01-08 16:45:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,56.86,57.97,-110.72,55.82,-6180.0
2023-01-09 10:05:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,109.25,60.34,-219.97,58.06,-12772.0
2023-01-10 01:25:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,210.0,62.78,-429.97,60.37,-25956.0
2023-01-12 15:35:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,392.56,67.17,-822.53,63.61,-52324.0
2023-01-13 16:30:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,766.29,68.82,-1588.82,66.12,-105060.0
2023-01-14 06:05:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1459.61,72.26,-3048.43,69.06,-210532.0
2023-01-14 15:30:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2683.43,78.61,-5731.86,73.53,-421476.0
2023-01-14 17:00:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,5293.45,79.7,-11025.31,76.49,-843364.0
2023-01-15 02:40:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,5512.66,75.41,-5512.65,76.49,-421682.0
2023-01-15 12:05:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,3858.85,74.96,-1653.8,76.49,-126505.0
2023-01-15 17:15:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,1648.18,73.34,-5.62,73.34,-412.0
2023-01-15 21:25:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,10.97,75.08,-16.59,74.49,-1236.0
2023-01-15 23:35:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,20.38,80.89,-36.97,78.02,-2884.0
2023-01-17 23:00:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,36.71,89.77,-73.68,83.87,-6180.0
2023-01-19 00:55:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,68.47,79.15,-5.21,79.15,-412.0
2023-01-19 01:40:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.99,82.46,-15.2,81.33,-1236.0
2023-01-19 10:15:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,10.07,80.29,-5.13,80.29,-412.0
2023-01-19 12:45:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.96,82.72,-15.09,81.89,-1236.0
2023-01-19 18:55:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,10.0,80.94,-5.09,80.94,-412.0
2023-01-19 21:25:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.11,79.17,-5.2,79.17,-412.0
2023-01-20 02:15:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.07,78.19,-5.27,78.19,-412.0
2023-01-20 04:30:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,10.17,81.01,-15.44,80.05,-1236.0
2023-01-21 01:35:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,19.79,83.26,-35.23,81.85,-2884.0
2023-01-21 18:25:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,37.25,88.5,-72.48,85.27,-6180.0
2023-01-22 11:05:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,67.59,84.27,-4.89,84.27,-412.0
2023-01-22 21:15:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.5,86.69,-14.39,85.87,-1236.0
2023-01-23 02:10:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,18.43,89.44,-32.82,87.87,-2884.0
2023-01-23 05:20:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,27.97,84.89,-4.85,84.89,-412.0
2023-01-23 09:40:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.41,87.59,-14.26,86.67,-1236.0
2023-01-24 18:10:00,AAVEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,9.45,85.63,-4.81,85.63,-412.0
2023-01-25 01:20:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,83.99,-4.91,83.99,-412.0
2023-01-25 07:25:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.24,80.0,-5.15,80.0,-412.0
2023-01-25 09:45:00,AAVEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.05,79.17,-5.2,79.17,-412.0
