datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,1593.0,0.2586,1593.0,0.2586,412.0
2022-12-21 13:25:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,3296.0,0.25,4889.0,0.2528,1236.0
2022-12-23 06:35:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,3282.0,0.2564,1607.0,0.2564,412.0
2022-12-23 10:35:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,24.0,0.2602,1583.0,0.2602,412.0
2022-12-27 05:45:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,21.0,0.2637,1562.0,0.2637,412.0
2022-12-28 02:15:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,3200.0,0.2575,4762.0,0.2595,1236.0
2022-12-29 06:05:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,6638.0,0.2483,11400.0,0.253,2884.0
2023-01-04 12:00:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9842.0,0.2645,1558.0,0.2645,412.0
2023-01-05 00:40:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,21.0,0.2681,1537.0,0.2681,412.0
2023-01-06 09:10:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,32.0,0.2738,1505.0,0.2738,412.0
2023-01-07 07:35:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,21.0,0.2777,1484.0,0.2777,412.0
2023-01-08 18:10:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,25.0,0.2823,1459.0,0.2823,412.0
2023-01-08 19:50:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,14.0,0.2852,1445.0,0.2852,412.0
2023-01-09 01:40:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,23.0,0.2898,1422.0,0.2898,412.0
2023-01-09 07:45:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,17.0,0.2932,1405.0,0.2932,412.0
2023-01-09 08:40:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,20.0,0.2975,1385.0,0.2975,412.0
2023-01-09 10:20:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,144.0,0.3321,1241.0,0.3321,412.0
2023-01-09 16:45:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,2539.0,0.3245,3780.0,0.327,1236.0
2023-01-10 05:05:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,5272.0,0.3126,9052.0,0.3186,2884.0
2023-01-11 03:20:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,7774.0,0.3223,1278.0,0.3223,412.0
2023-01-11 11:30:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,2612.0,0.3155,3890.0,0.3177,1236.0
2023-01-12 08:10:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2610.0,0.3219,1280.0,0.3219,412.0
2023-01-12 09:15:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,14.0,0.3254,1266.0,0.3254,412.0
2023-01-13 02:20:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,16.0,0.3296,1250.0,0.3296,412.0
2023-01-13 18:00:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,14.0,0.3332,1236.0,0.3332,412.0
2023-01-14 06:15:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,47.0,0.3464,1189.0,0.3464,412.0
2023-01-14 08:55:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,19.0,0.352,1170.0,0.352,412.0
2023-01-14 10:15:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,20.0,0.3584,1150.0,0.3584,412.0
2023-01-14 15:05:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,23.0,0.3655,1127.0,0.3655,412.0
2023-01-14 17:55:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,2371.0,0.3476,3498.0,0.3534,1236.0
2023-01-16 10:35:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2349.0,0.3585,1149.0,0.3585,412.0
2023-01-16 13:50:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11.0,0.3621,1138.0,0.3621,412.0
2023-01-16 16:50:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,2365.0,0.3484,3503.0,0.3529,1236.0
2023-01-19 00:55:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,4997.0,0.3298,8500.0,0.3393,2884.0
2023-01-21 01:25:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,7304.0,0.3446,1196.0,0.3446,412.0
2023-01-21 04:50:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,46.0,0.3582,1150.0,0.3582,412.0
2023-01-21 08:10:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,15.0,0.3631,1135.0,0.3631,412.0
2023-01-21 18:25:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,21.0,0.3698,1114.0,0.3698,412.0
2023-01-21 19:20:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,2282.0,0.3611,3396.0,0.364,1236.0
2023-01-21 22:10:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2282.0,0.3697,1114.0,0.3697,412.0
2023-01-22 00:20:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11.0,0.3736,1103.0,0.3736,412.0
2023-01-22 01:25:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11.0,0.3774,1092.0,0.3774,412.0
2023-01-22 07:45:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,2230.0,0.3694,3322.0,0.372,1236.0
2023-01-22 17:10:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2237.0,0.3798,1085.0,0.3798,412.0
2023-01-23 12:05:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,2217.0,0.3716,3302.0,0.3743,1236.0
2023-01-23 19:00:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2214.0,0.3787,1088.0,0.3787,412.0
2023-01-25 07:30:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,2289.0,0.36,3377.0,0.366,1236.0
2023-01-25 09:35:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,4699.0,0.3507,8076.0,0.3571,2884.0
2023-01-26 05:05:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,6948.0,0.3654,1128.0,0.3654,412.0
2023-01-26 06:15:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,28.0,0.3744,1100.0,0.3744,412.0
2023-01-26 09:15:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,17.0,0.3806,1083.0,0.3806,412.0
2023-01-27 10:10:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,2217.0,0.3716,3300.0,0.3746,1236.0
2023-01-27 16:10:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2214.0,0.3793,1086.0,0.3793,412.0
2023-01-28 02:50:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11.0,0.3833,1075.0,0.3833,412.0
2023-01-28 07:35:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,12.0,0.3875,1063.0,0.3875,412.0
2023-01-28 09:10:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,23.0,0.3962,1040.0,0.3962,412.0
2023-01-28 16:55:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,2134.0,0.3861,3174.0,0.3894,1236.0
2023-01-30 03:50:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2134.0,0.3962,1040.0,0.3962,412.0
2023-01-30 18:05:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,2185.0,0.3771,3225.0,0.3833,1236.0
2023-02-01 00:15:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2173.0,0.3916,1052.0,0.3916,412.0
2023-02-01 15:20:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,2153.0,0.3827,3205.0,0.3856,1236.0
2023-02-02 04:45:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2150.0,0.3905,1055.0,0.3905,412.0
2023-02-02 05:40:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11.0,0.3948,1044.0,0.3948,412.0
2023-02-02 09:05:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,18.0,0.4017,1026.0,0.4017,412.0
2023-02-02 10:15:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,12.0,0.4063,1014.0,0.4063,412.0
2023-02-03 03:00:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,12.0,0.4113,1002.0,0.4113,412.0
2023-02-03 06:15:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,2065.0,0.3989,3067.0,0.403,1236.0
2023-02-06 02:20:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,4261.0,0.3868,7328.0,0.3936,2884.0
2023-02-06 09:00:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,6296.0,0.3991,1032.0,0.3991,412.0
2023-02-06 13:50:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,2113.0,0.39,3145.0,0.393,1236.0
2023-02-08 07:15:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2111.0,0.3983,1034.0,0.3983,412.0
2023-02-09 00:40:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,2116.0,0.3895,3150.0,0.3924,1236.0
2023-02-10 04:00:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,4435.0,0.3716,7585.0,0.3802,2884.0
2023-02-14 01:30:00,ADAUSDT.BYBIT,Direction.LONG,Offset.OPEN,9460.0,0.3484,17045.0,0.3626,6180.0
2023-02-14 23:40:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,15941.0,0.3732,1104.0,0.3732,412.0
2023-02-15 00:25:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,14.0,0.3779,1090.0,0.3779,412.0
2023-02-15 03:50:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,31.0,0.3892,1059.0,0.3892,412.0
