datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1593.0,0.2586,-1593.0,0.2586,-412.0
2022-12-21 13:25:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.OPEN,55.0,0.25,-1648.0,0.25,-412.0
2022-12-23 06:35:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.OPEN,3214.0,0.2564,-4862.0,0.2542,-1236.0
2022-12-27 08:15:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.OPEN,6219.0,0.265,-11081.0,0.2603,-2884.0
2022-12-28 02:15:00,ADAUSDT.BYBIT,Direction.LONG,Offset.CLOSE,9481.0,0.2575,-1600.0,0.2575,-412.0
2022-12-28 14:20:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.OPEN,39.0,0.2514,-1639.0,0.2514,-412.0
2022-12-29 06:05:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.OPEN,20.0,0.2483,-1659.0,0.2483,-412.0
2022-12-29 09:50:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.OPEN,18.0,0.2457,-1677.0,0.2457,-412.0
2022-12-30 04:50:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.OPEN,24.0,0.2422,-1701.0,0.2422,-412.0
2022-12-31 22:05:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.OPEN,3331.0,0.2474,-5032.0,0.2456,-1236.0
2023-01-04 12:00:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.OPEN,6230.0,0.2645,-11262.0,0.2561,-2884.0
2023-01-07 07:35:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.OPEN,11869.0,0.2777,-23131.0,0.2672,-6180.0
2023-01-09 01:40:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.OPEN,22747.0,0.2898,-45878.0,0.2784,-12772.0
2023-01-09 10:20:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.OPEN,39699.0,0.3321,-85577.0,0.3033,-25956.0
2023-01-09 10:25:00,ADAUSDT.BYBIT,Direction.SHORT,Offset.OPEN,79136.0,0.3332,-164713.0,0.3177,-52324.0
