datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,APEUSDT.BYBIT,Direction.LONG,Offset.OPEN,117.0,3.522,117.0,3.522,412.0
2022-12-21 18:50:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.2,3.559,115.8,3.559,412.0
2022-12-22 12:45:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2.1,3.623,113.7,3.623,412.0
2022-12-23 02:15:00,APEUSDT.BYBIT,Direction.LONG,Offset.OPEN,235.0,3.507,348.7,3.545,1236.0
2022-12-23 08:00:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,234.0,3.593,114.7,3.593,412.0
2022-12-23 11:30:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2.0,3.655,112.7,3.655,412.0
2022-12-24 02:35:00,APEUSDT.BYBIT,Direction.LONG,Offset.OPEN,230.5,3.575,343.2,3.601,1236.0
2022-12-28 08:25:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,230.1,3.644,113.1,3.644,412.0
2022-12-28 14:05:00,APEUSDT.BYBIT,Direction.LONG,Offset.OPEN,231.3,3.562,344.4,3.589,1236.0
2022-12-28 22:50:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,230.8,3.628,113.6,3.628,412.0
2023-01-02 01:20:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2.8,3.717,110.8,3.717,412.0
2023-01-02 04:55:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,3.9,3.854,106.9,3.854,412.0
2023-01-03 00:45:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.9,3.923,105.0,3.923,412.0
2023-01-03 06:25:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.1,3.964,103.9,3.964,412.0
2023-01-03 10:00:00,APEUSDT.BYBIT,Direction.LONG,Offset.OPEN,212.2,3.884,316.1,3.91,1236.0
2023-01-03 14:45:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,212.5,3.978,103.6,3.978,412.0
2023-01-04 10:10:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2.7,4.084,100.9,4.084,412.0
2023-01-04 10:45:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.1,4.13,99.8,4.13,412.0
2023-01-05 04:10:00,APEUSDT.BYBIT,Direction.LONG,Offset.OPEN,203.7,4.045,303.5,4.073,1236.0
2023-01-06 19:40:00,APEUSDT.BYBIT,Direction.LONG,Offset.OPEN,421.6,3.909,725.1,3.978,2884.0
2023-01-07 04:00:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,622.6,4.02,102.5,4.02,412.0
2023-01-07 10:10:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.3,4.073,101.2,4.073,412.0
2023-01-07 23:40:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,3.1,4.198,98.1,4.198,412.0
2023-01-08 09:45:00,APEUSDT.BYBIT,Direction.LONG,Offset.OPEN,200.9,4.103,299.0,4.134,1236.0
2023-01-08 19:40:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,200.4,4.178,98.6,4.178,412.0
2023-01-09 04:50:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,3.8,4.347,94.8,4.347,412.0
2023-01-09 07:35:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.2,4.401,93.6,4.401,412.0
2023-01-09 10:45:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,6.6,4.734,87.0,4.734,412.0
2023-01-09 16:35:00,APEUSDT.BYBIT,Direction.LONG,Offset.OPEN,177.7,4.638,264.7,4.67,1236.0
2023-01-09 21:45:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,177.6,4.729,87.1,4.729,412.0
2023-01-09 23:15:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.3,4.801,85.8,4.801,412.0
2023-01-10 01:00:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.5,4.89,84.3,4.89,412.0
2023-01-10 03:10:00,APEUSDT.BYBIT,Direction.LONG,Offset.OPEN,175.1,4.704,259.4,4.764,1236.0
2023-01-10 04:55:00,APEUSDT.BYBIT,Direction.LONG,Offset.OPEN,363.2,4.538,622.6,4.632,2884.0
2023-01-10 14:00:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,538.0,4.869,84.6,4.869,412.0
2023-01-10 19:15:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.9,4.922,83.7,4.922,412.0
2023-01-10 21:05:00,APEUSDT.BYBIT,Direction.LONG,Offset.OPEN,171.1,4.815,254.8,4.85,1236.0
2023-01-10 22:15:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,171.1,4.924,83.7,4.924,412.0
2023-01-11 00:55:00,APEUSDT.BYBIT,Direction.LONG,Offset.OPEN,171.4,4.806,255.1,4.845,1236.0
2023-01-11 04:00:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,171.1,4.907,84.0,4.907,412.0
2023-01-11 10:45:00,APEUSDT.BYBIT,Direction.LONG,Offset.OPEN,171.4,4.805,255.4,4.839,1236.0
2023-01-11 23:20:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,171.1,4.89,84.3,4.89,412.0
2023-01-12 04:15:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2.1,5.012,82.2,5.012,412.0
2023-01-12 06:35:00,APEUSDT.BYBIT,Direction.LONG,Offset.OPEN,168.3,4.895,250.5,4.933,1236.0
2023-01-12 08:15:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,167.9,4.986,82.6,4.986,412.0
2023-01-12 14:15:00,APEUSDT.BYBIT,Direction.LONG,Offset.OPEN,170.6,4.832,253.2,4.882,1236.0
2023-01-12 18:25:00,APEUSDT.BYBIT,Direction.LONG,Offset.OPEN,353.5,4.661,606.7,4.753,2884.0
2023-01-13 03:45:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,520.9,4.802,85.8,4.802,412.0
2023-01-13 07:20:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.9,4.852,84.9,4.852,412.0
2023-01-13 10:15:00,APEUSDT.BYBIT,Direction.LONG,Offset.OPEN,174.0,4.735,258.9,4.773,1236.0
2023-01-13 17:05:00,APEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,173.7,4.838,85.2,4.838,412.0
2023-01-13 21:20:00,APEUSDT.BYBIT,Direction.LONG,Offset.OPEN,174.1,4.732,259.3,4.767,1236.0
