datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,117.0,3.522,-117.0,3.522,-412.0
2022-12-21 12:35:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.2,3.485,-118.2,3.485,-412.0
2022-12-21 18:50:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,231.5,3.559,-349.7,3.534,-1236.0
2023-01-02 01:20:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,443.4,3.717,-793.1,3.636,-2884.0
2023-01-03 01:30:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,838.3,3.932,-1631.4,3.788,-6180.0
2023-01-04 10:45:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1596.1,4.13,-3227.5,3.957,-12772.0
2023-01-06 19:40:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,3122.1,3.909,-105.4,3.909,-412.0
2023-01-07 02:55:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,205.4,4.012,-310.8,3.977,-1236.0
2023-01-07 23:40:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,392.6,4.198,-703.4,4.1,-2884.0
2023-01-09 10:45:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,696.2,4.734,-1399.6,4.416,-6180.0
2023-01-09 23:15:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1373.0,4.801,-2772.6,4.606,-12772.0
2023-01-10 04:55:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,2681.8,4.538,-90.8,4.538,-412.0
2023-01-10 08:45:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,177.3,4.648,-268.1,4.611,-1236.0
2023-01-10 11:10:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,177.4,4.542,-90.7,4.542,-412.0
2023-01-10 12:30:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,177.1,4.654,-267.8,4.616,-1236.0
2023-01-10 14:00:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,338.4,4.869,-606.2,4.757,-2884.0
2023-01-12 17:25:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,518.7,4.709,-87.5,4.709,-412.0
2023-01-12 18:25:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.9,4.661,-88.4,4.661,-412.0
2023-01-12 23:00:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.0,4.611,-89.4,4.611,-412.0
2023-01-13 02:10:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,173.5,4.748,-262.9,4.701,-1236.0
2023-01-14 06:15:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,332.1,4.962,-595.0,4.847,-2884.0
2023-01-14 15:25:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,616.7,5.345,-1211.7,5.1,-6180.0
2023-01-15 11:15:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,1130.0,5.04,-81.7,5.04,-412.0
2023-01-15 17:20:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.5,4.95,-83.2,4.95,-412.0
2023-01-15 21:40:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,163.1,5.052,-246.3,5.018,-1236.0
2023-01-16 01:05:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,315.3,5.228,-561.6,5.136,-2884.0
2023-01-16 16:45:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,479.4,5.013,-82.2,5.013,-412.0
2023-01-16 22:20:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.5,4.925,-83.7,4.925,-412.0
2023-01-17 20:00:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,163.9,5.026,-247.6,4.992,-1236.0
2023-01-18 01:40:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,164.0,4.928,-83.6,4.928,-412.0
2023-01-18 09:35:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.5,4.844,-85.1,4.844,-412.0
2023-01-18 17:45:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.9,4.791,-86.0,4.791,-412.0
2023-01-18 22:20:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,168.4,4.892,-254.4,4.858,-1236.0
2023-01-19 00:55:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,163.9,4.554,-90.5,4.554,-412.0
2023-01-19 01:45:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,177.2,4.65,-267.7,4.618,-1236.0
2023-01-19 05:05:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,177.5,4.569,-90.2,4.569,-412.0
2023-01-19 08:25:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.9,4.522,-91.1,4.522,-412.0
2023-01-19 18:20:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,178.5,4.617,-269.6,4.585,-1236.0
2023-01-19 21:25:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,178.8,4.538,-90.8,4.538,-412.0
2023-01-20 01:40:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,175.6,4.691,-266.4,4.639,-1236.0
2023-01-20 09:00:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,338.0,4.877,-604.4,4.772,-2884.0
2023-01-21 05:40:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,639.0,5.158,-1243.4,4.97,-6180.0
2023-01-22 01:50:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1128.0,5.844,-2371.4,5.386,-12772.0
2023-01-22 02:00:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2245.2,5.872,-4616.6,5.622,-25956.0
2023-01-22 08:05:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,4542.2,5.537,-74.4,5.537,-412.0
2023-01-22 11:00:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.4,5.435,-75.8,5.435,-412.0
2023-01-22 13:25:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,147.4,5.59,-223.2,5.537,-1236.0
2023-01-23 05:20:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,147.3,5.428,-75.9,5.428,-412.0
2023-01-23 08:15:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,148.7,5.542,-224.6,5.503,-1236.0
2023-01-23 13:25:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,286.8,5.746,-511.4,5.639,-2884.0
2023-01-25 07:00:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,435.5,5.429,-75.9,5.429,-412.0
2023-01-25 09:45:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.0,5.358,-76.9,5.358,-412.0
2023-01-25 15:25:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,149.7,5.505,-226.6,5.455,-1236.0
2023-01-25 21:45:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,283.1,5.821,-509.7,5.658,-2884.0
2023-01-26 12:50:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,527.2,6.252,-1036.9,5.96,-6180.0
2023-01-31 03:50:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,965.6,5.778,-71.3,5.778,-412.0
2023-01-31 04:50:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.8,5.715,-72.1,5.715,-412.0
2023-01-31 10:30:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,140.3,5.872,-212.4,5.819,-1236.0
2023-01-31 19:05:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,140.8,5.758,-71.6,5.758,-412.0
2023-01-31 23:05:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,140.2,5.874,-211.8,5.835,-1236.0
2023-02-02 01:15:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,138.2,5.598,-73.6,5.598,-412.0
2023-02-02 02:15:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.8,5.541,-74.4,5.541,-412.0
2023-02-02 03:30:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,145.5,5.663,-219.9,5.622,-1236.0
2023-02-02 04:35:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,275.7,5.977,-495.6,5.819,-2884.0
2023-02-05 21:25:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,423.2,5.691,-72.4,5.691,-412.0
2023-02-06 02:50:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.8,5.63,-73.2,5.63,-412.0
2023-02-06 08:05:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,143.2,5.754,-216.4,5.712,-1236.0
2023-02-06 13:50:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,143.3,5.636,-73.1,5.636,-412.0
2023-02-08 06:00:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,139.2,5.919,-212.3,5.822,-1236.0
2023-02-08 09:05:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,271.2,6.077,-483.5,5.965,-2884.0
2023-02-08 17:05:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,413.7,5.904,-69.8,5.904,-412.0
2023-02-09 00:40:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2.1,5.729,-71.9,5.729,-412.0
2023-02-09 11:40:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2.8,5.512,-74.7,5.512,-412.0
2023-02-09 16:35:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,146.5,5.625,-221.2,5.587,-1236.0
2023-02-10 01:00:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,146.5,5.519,-74.7,5.519,-412.0
2023-02-10 03:55:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,3.2,5.286,-77.9,5.286,-412.0
2023-02-10 04:25:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.9,5.23,-78.8,5.23,-412.0
2023-02-10 06:10:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.8,5.173,-79.6,5.173,-412.0
2023-02-10 07:15:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.9,5.057,-81.5,5.057,-412.0
2023-02-11 00:35:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.4,4.967,-82.9,4.967,-412.0
2023-02-11 04:10:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,162.3,5.079,-245.2,5.041,-1236.0
2023-02-11 22:30:00,APEUSDT.BYBIT,Direction.SHORT,Offset.OPEN,312.8,5.268,-558.0,5.168,-2884.0
2023-02-13 17:05:00,APEUSDT.BYBIT,Direction.LONG,Offset.CLOSE,477.2,5.097,-80.8,5.097,-412.0
