datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.OPEN,46.2,8.915,46.2,8.915,412.0
2022-12-21 10:05:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.5,9.018,45.7,9.018,412.0
2022-12-22 07:10:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.OPEN,93.8,8.785,139.5,8.861,1236.0
2022-12-22 18:20:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,93.5,8.954,46.0,8.954,412.0
2022-12-23 00:00:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.OPEN,94.2,8.749,140.2,8.816,1236.0
2022-12-23 05:00:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,94.1,8.935,46.1,8.935,412.0
2022-12-23 11:20:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.4,9.024,45.7,9.024,412.0
2022-12-27 05:30:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.5,9.116,45.2,9.116,412.0
2022-12-27 18:30:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.2,9.357,44.0,9.357,412.0
2022-12-28 08:50:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.OPEN,89.9,9.169,133.9,9.231,1236.0
2022-12-29 20:35:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,89.8,9.347,44.1,9.347,412.0
2023-01-02 03:45:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.5,9.451,43.6,9.451,412.0
2023-01-02 12:20:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.6,9.582,43.0,9.582,412.0
2023-01-02 15:55:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.3,9.879,41.7,9.879,412.0
2023-01-03 18:20:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.3,10.191,40.4,10.191,412.0
2023-01-04 11:20:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.6,10.344,39.8,10.344,412.0
2023-01-05 05:00:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.OPEN,81.7,10.092,121.5,10.175,1236.0
2023-01-07 09:15:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,81.5,10.294,40.0,10.294,412.0
2023-01-08 09:10:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.OPEN,81.7,10.086,121.7,10.154,1236.0
2023-01-09 00:15:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,81.9,10.339,39.8,10.339,411.0
2023-01-09 04:55:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.4,10.468,39.4,10.468,412.0
2023-01-09 09:10:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.7,10.926,37.7,10.926,412.0
2023-01-09 10:00:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.5,11.063,37.2,11.063,412.0
2023-01-09 15:50:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.8,11.322,36.4,11.322,412.0
2023-01-10 04:20:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.OPEN,74.4,11.077,110.8,11.157,1236.0
2023-01-11 04:25:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,74.3,11.274,36.5,11.274,412.0
2023-01-11 19:20:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.4,11.399,36.1,11.399,412.0
2023-01-11 22:25:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.OPEN,73.9,11.164,110.0,11.241,1237.0
2023-01-12 08:15:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,75.1,11.815,34.9,11.815,412.0
2023-01-13 02:25:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.6,12.007,34.3,12.007,412.0
2023-01-13 04:55:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.3,12.133,34.0,12.133,413.0
2023-01-13 07:40:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.5,12.291,33.5,12.291,412.0
2023-01-13 21:20:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.OPEN,68.9,11.968,102.4,12.074,1236.0
2023-01-14 06:15:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,69.2,12.427,33.2,12.427,413.0
2023-01-14 09:25:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.9,12.743,32.3,12.743,412.0
2023-01-14 10:15:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.3,12.878,32.0,12.878,412.0
2023-01-14 15:05:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.8,13.188,31.2,13.188,411.0
2023-01-14 17:55:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.OPEN,66.1,12.483,97.3,12.709,1237.0
2023-01-15 07:35:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,65.3,12.868,32.0,12.868,412.0
2023-01-15 09:15:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.OPEN,65.4,12.603,97.4,12.69,1236.0
2023-01-15 23:05:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,65.4,12.873,32.0,12.873,412.0
2023-01-16 17:00:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.OPEN,66.0,12.495,98.0,12.618,1237.0
2023-01-18 19:25:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.OPEN,136.1,12.107,234.1,12.321,2884.0
2023-01-18 23:20:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,201.0,12.448,33.1,12.448,412.0
2023-01-19 00:55:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.OPEN,71.3,11.554,104.4,11.837,1236.0
2023-01-20 04:25:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,70.2,12.03,34.2,12.03,411.0
2023-01-20 10:15:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.3,12.156,33.9,12.156,412.0
2023-01-20 20:35:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.5,12.341,33.4,12.341,412.0
