datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,46.2,8.915,-46.2,8.915,-412.0
2022-12-22 07:10:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.7,8.785,-46.9,8.785,-412.0
2022-12-23 06:30:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,91.8,8.973,-138.7,8.909,-1236.0
2022-12-27 18:30:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,176.2,9.357,-314.9,9.16,-2884.0
2022-12-28 11:50:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.CLOSE,269.3,9.037,-45.6,9.037,-412.0
2022-12-29 15:30:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,89.4,9.22,-135.0,9.158,-1236.0
2023-01-02 12:20:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,172.0,9.582,-307.0,9.396,-2884.0
2023-01-03 18:20:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,323.4,10.191,-630.4,9.804,-6180.0
2023-01-09 09:10:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,603.3,10.926,-1233.7,10.353,-12772.0
2023-01-09 15:50:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1164.5,11.322,-2398.2,10.823,-25956.0
2023-01-12 08:15:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2231.7,11.815,-4629.9,11.301,-52324.0
2023-01-13 06:05:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4313.8,12.225,-8943.7,11.747,-105060.0
2023-01-14 09:25:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,8276.9,12.743,-17220.6,12.226,-210533.0
2023-01-14 17:00:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,15973.3,13.206,-33193.9,12.697,-421476.0
2023-01-14 17:55:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.CLOSE,16597.0,12.483,-16596.9,12.697,-210737.0
2023-01-14 18:35:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,11617.9,12.389,-28214.8,12.697,-358254.0
2023-01-16 23:20:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.CLOSE,28181.3,12.283,-33.5,12.283,-411.0
2023-01-17 01:05:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.5,12.118,-34.0,12.118,-412.0
2023-01-17 04:20:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,66.6,12.363,-100.6,12.28,-1235.0
2023-01-17 09:55:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.CLOSE,66.7,12.143,-33.9,12.143,-412.0
2023-01-17 11:45:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,66.3,12.431,-100.2,12.334,-1236.0
2023-01-18 08:00:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.CLOSE,66.4,12.199,-33.8,12.199,-412.0
2023-01-18 23:20:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,66.2,12.448,-100.0,12.364,-1236.0
2023-01-19 00:55:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.CLOSE,64.3,11.554,-35.7,11.554,-412.0
2023-01-19 12:45:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,69.8,11.791,-105.5,11.711,-1235.0
2023-01-20 10:35:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,135.3,12.187,-240.8,11.978,-2884.0
2023-01-21 05:10:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,251.1,13.123,-491.9,12.563,-6180.0
2023-01-23 02:10:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,485.6,13.575,-977.5,13.066,-12772.0
2023-01-24 01:40:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.CLOSE,945.6,12.929,-31.9,12.929,-412.0
2023-01-24 10:35:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,62.1,13.265,-94.0,13.151,-1236.0
2023-01-24 22:15:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.CLOSE,62.3,13.017,-31.7,13.017,-413.0
2023-01-25 07:00:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.2,12.508,-32.9,12.508,-412.0
2023-01-25 08:35:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.4,12.364,-33.3,12.364,-412.0
2023-01-25 12:55:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,64.6,12.765,-97.9,12.629,-1236.0
2023-01-26 04:35:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,124.4,13.244,-222.3,12.973,-2884.0
2023-01-27 10:05:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.CLOSE,190.1,12.814,-32.2,12.814,-413.0
2023-01-27 23:30:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,62.8,13.118,-95.0,13.015,-1236.0
2023-01-28 08:20:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,121.2,13.59,-216.2,13.337,-2884.0
2023-01-28 23:05:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.CLOSE,185.0,13.193,-31.2,13.193,-412.0
2023-01-29 18:45:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,61.0,13.514,-92.2,13.405,-1236.0
2023-01-30 18:10:00,ATOMUSDT.BYBIT,Direction.LONG,Offset.CLOSE,61.1,13.257,-31.1,13.257,-412.0
2023-01-31 03:45:00,ATOMUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.7,12.971,-31.8,12.971,-412.0
