datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-01-01 00:45:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,3.8,107.505,-3.8,107.505,-409.0
2022-01-01 04:00:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.2,103.715,-4.0,103.715,-415.0
2022-01-01 04:45:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,7.7,106.56,-11.7,105.585,-1235.0
2022-01-01 06:40:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,15.0,109.945,-26.7,108.035,-2885.0
2022-01-02 12:25:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,28.2,116.725,-54.9,112.5,-6176.0
2022-01-03 18:45:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,51.2,111.275,-3.7,111.275,-412.0
2022-01-04 00:40:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,109.38,-3.8,109.38,-416.0
2022-01-04 10:20:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,105.84,-3.9,105.84,-413.0
2022-01-04 23:20:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,7.6,108.65,-11.5,107.695,-1239.0
2022-01-05 03:10:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,7.6,105.65,-3.9,105.65,-412.0
2022-01-05 04:10:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,104.0,-4.0,104.0,-416.0
2022-01-05 17:20:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,7.7,106.2,-11.7,105.45,-1234.0
2022-01-06 02:20:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,7.7,102.53,-4.0,102.53,-410.0
2022-01-06 04:20:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.2,98.81,-4.2,98.81,-415.0
2022-01-06 06:35:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.2,94.245,-4.4,94.245,-415.0
2022-01-06 07:50:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,8.4,97.77,-12.8,96.56,-1236.0
2022-01-06 10:25:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,8.5,95.52,-4.3,95.52,-411.0
2022-01-06 11:35:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,94.32,-4.4,94.32,-415.0
2022-01-06 18:05:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,92.355,-4.5,92.355,-416.0
2022-01-07 00:20:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,8.7,94.315,-13.2,93.645,-1236.0
2022-01-07 12:45:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,8.4,86.415,-4.8,86.415,-415.0
2022-01-07 13:35:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.3,88.41,-14.1,87.73,-1237.0
2022-01-07 15:20:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,9.3,86.455,-4.8,86.455,-415.0
2022-01-07 16:45:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.2,89.325,-14.0,88.34,-1237.0
2022-01-08 00:25:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,9.3,86.98,-4.7,86.98,-409.0
2022-01-08 01:20:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.3,88.77,-14.0,88.17,-1234.0
2022-01-08 07:30:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,9.2,86.31,-4.8,86.31,-414.0
2022-01-08 09:25:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.3,88.205,-14.1,87.56,-1235.0
2022-01-08 21:00:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,9.3,86.545,-4.8,86.545,-415.0
2022-01-09 00:05:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,83.285,-4.9,83.285,-408.0
2022-01-09 02:15:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.2,80.42,-5.1,80.42,-410.0
2022-01-09 06:55:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.7,84.735,-14.8,83.25,-1232.0
2022-01-10 00:35:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,19.0,87.04,-33.8,85.38,-2886.0
2022-01-10 21:40:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,28.9,84.26,-4.9,84.26,-413.0
2022-01-10 22:40:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,81.88,-5.0,81.88,-409.0
2022-01-11 01:00:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.7,84.835,-14.7,83.83,-1232.0
2022-01-11 01:55:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,9.7,82.885,-5.0,82.885,-414.0
2022-01-11 11:00:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.6,85.87,-14.6,84.85,-1239.0
2022-01-12 01:20:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,18.3,89.95,-32.9,87.685,-2885.0
2022-01-12 20:50:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,34.5,95.375,-67.4,91.62,-6175.0
2022-01-14 07:25:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,62.8,90.02,-4.6,90.02,-414.0
2022-01-14 19:35:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,87.945,-4.7,87.945,-413.0
2022-01-14 23:30:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.1,90.265,-13.8,89.475,-1235.0
2022-01-16 03:15:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,17.7,93.19,-31.5,91.56,-2884.0
2022-01-17 12:15:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,26.9,90.025,-4.6,90.025,-414.0
2022-01-18 00:45:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,87.525,-4.7,87.525,-411.0
2022-01-18 02:30:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,86.645,-4.8,86.645,-416.0
2022-01-18 22:40:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,84.295,-4.9,84.295,-413.0
2022-01-19 06:10:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.6,86.02,-14.5,85.435,-1239.0
2022-01-19 12:20:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,9.6,84.515,-4.9,84.515,-414.0
2022-01-19 16:10:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,81.7,-5.0,81.7,-409.0
2022-01-19 20:45:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.9,83.38,-14.9,82.815,-1234.0
2022-01-20 23:15:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,19.0,86.955,-33.9,85.135,-2886.0
2022-01-21 06:50:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,28.8,81.01,-5.1,81.01,-413.0
2022-01-21 08:15:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,79.365,-5.2,79.365,-413.0
2022-01-21 10:20:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.2,76.585,-5.4,76.585,-414.0
2022-01-21 12:00:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,75.015,-5.5,75.015,-413.0
2022-01-21 16:45:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,10.8,76.58,-16.3,76.05,-1240.0
2022-01-21 21:00:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,10.7,73.06,-5.6,73.06,-409.0
2022-01-22 04:35:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,71.68,-5.7,71.68,-409.0
2022-01-22 06:25:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.5,66.81,-6.2,66.81,-414.0
2022-01-22 07:00:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,65.785,-6.3,65.785,-414.0
2022-01-22 14:40:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.3,62.42,-6.6,62.42,-412.0
2022-01-22 16:00:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.3,59.91,-6.9,59.91,-413.0
2022-01-22 18:20:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.6,55.21,-7.5,55.21,-414.0
2022-01-22 19:15:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,14.1,58.425,-21.6,57.31,-1238.0
2022-01-22 21:30:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,26.8,61.515,-48.4,59.64,-2886.0
2022-01-22 23:35:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,41.3,58.085,-7.1,58.085,-412.0
2022-01-23 01:00:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,13.9,59.395,-21.0,58.95,-1238.0
2022-01-23 01:50:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,13.9,58.26,-7.1,58.26,-414.0
2022-01-23 04:55:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,14.0,59.095,-21.1,58.6,-1236.0
2022-01-23 09:10:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,26.9,61.36,-48.0,60.145,-2887.0
2022-01-23 18:15:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,49.9,66.01,-97.9,63.135,-6181.0
2022-01-24 03:25:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,91.2,61.4,-6.7,61.4,-411.0
2022-01-24 07:55:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,12.8,64.635,-19.5,63.525,-1239.0
2022-01-24 09:00:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,12.9,62.665,-6.6,62.665,-414.0
2022-01-24 10:30:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,61.805,-6.7,61.805,-414.0
2022-01-24 13:15:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,60.91,-6.8,60.91,-414.0
2022-01-24 16:10:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,59.6,-6.9,59.6,-411.0
2022-01-24 18:50:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.3,57.33,-7.2,57.33,-413.0
2022-01-24 21:00:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,56.105,-7.3,56.105,-410.0
2022-01-25 00:05:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,14.3,57.67,-21.6,57.14,-1234.0
2022-01-25 03:10:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,26.7,61.895,-48.3,59.77,-2887.0
2022-01-25 22:50:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,50.0,65.83,-98.3,62.85,-6178.0
2022-01-26 02:45:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,95.7,68.925,-194.0,65.85,-12774.0
2022-01-26 22:35:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,185.2,71.17,-379.2,68.445,-25955.0
2022-01-27 02:40:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,373.1,67.39,-6.1,67.39,-411.0
2022-01-27 03:15:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,12.0,68.905,-18.1,68.395,-1238.0
2022-01-27 04:45:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,12.0,67.545,-6.1,67.545,-412.0
2022-01-27 06:20:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.2,64.96,-6.3,64.96,-409.0
2022-01-27 08:55:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,12.5,66.265,-18.8,65.83,-1238.0
2022-01-27 10:40:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,12.2,62.57,-6.6,62.57,-413.0
2022-01-27 12:20:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,61.935,-6.7,61.935,-415.0
2022-01-27 17:55:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,12.8,64.31,-19.5,63.495,-1238.0
2022-01-27 22:55:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,24.5,67.1,-44.0,65.5,-2882.0
2022-01-28 02:40:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,37.6,64.64,-6.4,64.64,-414.0
2022-01-28 05:25:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.3,61.86,-6.7,61.86,-414.0
2022-01-28 07:25:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,12.8,64.06,-19.5,63.305,-1234.0
2022-01-28 19:45:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,12.9,62.615,-6.6,62.615,-413.0
2022-01-28 22:30:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,12.8,64.085,-19.4,63.585,-1234.0
2022-01-29 05:50:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,24.7,66.95,-44.1,65.47,-2887.0
2022-01-29 22:15:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,46.3,71.12,-90.4,68.365,-6180.0
2022-01-31 03:45:00,AVAXUSDT.BYBIT,Direction.LONG,Offset.CLOSE,84.3,67.62,-6.1,67.62,-412.0
2022-01-31 09:30:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.2,65.74,-6.3,65.74,-414.0
2022-01-31 12:35:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,64.82,-6.4,64.82,-415.0
2022-01-31 18:10:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,12.4,66.13,-18.8,65.685,-1235.0
2022-01-31 23:45:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,24.1,68.465,-42.9,67.245,-2885.0
2022-02-02 08:05:00,AVAXUSDT.BYBIT,Direction.SHORT,Offset.OPEN,45.0,73.205,-87.9,70.295,-6179.0
