datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,BCHUSDT.BYBIT,Direction.LONG,Offset.OPEN,4.09,100.7,4.09,100.7,412.0
2022-12-21 07:35:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.05,102.1,4.04,102.1,412.0
2022-12-22 05:55:00,BCHUSDT.BYBIT,Direction.LONG,Offset.OPEN,8.23,100.05,12.27,100.7,1236.0
2022-12-23 11:30:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,8.22,101.75,4.05,101.75,412.0
2022-12-27 02:45:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.05,103.0,4.0,103.0,412.0
2022-12-28 14:15:00,BCHUSDT.BYBIT,Direction.LONG,Offset.OPEN,8.24,100.0,12.24,101.0,1236.0
2022-12-30 14:40:00,BCHUSDT.BYBIT,Direction.LONG,Offset.OPEN,17.0,96.95,29.24,98.65,2884.0
2023-01-03 00:25:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,25.12,100.1,4.12,100.1,412.0
2023-01-04 12:10:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.08,102.0,4.04,102.0,412.0
2023-01-05 13:00:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.04,103.1,4.0,103.1,412.0
2023-01-06 07:45:00,BCHUSDT.BYBIT,Direction.LONG,Offset.OPEN,8.15,101.0,12.15,101.7,1236.0
2023-01-09 07:35:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,8.15,103.05,4.0,103.05,412.0
2023-01-09 09:05:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.08,105.05,3.92,105.05,412.0
2023-01-09 13:40:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.04,106.1,3.88,106.1,412.0
2023-01-10 01:35:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.04,107.25,3.84,107.25,412.0
2023-01-10 19:20:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.04,108.4,3.8,108.4,412.0
2023-01-12 00:20:00,BCHUSDT.BYBIT,Direction.LONG,Offset.OPEN,7.77,106.0,11.57,106.8,1236.0
2023-01-12 03:55:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,7.75,107.9,3.82,107.9,412.0
2023-01-12 08:20:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.07,109.8,3.75,109.8,412.0
2023-01-12 22:20:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.04,111.1,3.71,111.1,412.0
2023-01-13 00:05:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.13,115.1,3.58,115.1,412.0
2023-01-13 01:10:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.21,122.2,3.37,122.2,412.0
2023-01-13 02:05:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.03,123.45,3.34,123.45,412.0
2023-01-13 06:40:00,BCHUSDT.BYBIT,Direction.LONG,Offset.OPEN,6.88,119.7,10.22,120.95,1236.0
2023-01-14 00:10:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,6.88,123.45,3.34,123.45,412.0
2023-01-14 06:15:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.04,124.8,3.3,124.8,412.0
2023-01-14 09:20:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.06,127.0,3.24,127.0,411.0
2023-01-14 10:20:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.04,128.75,3.2,128.75,412.0
2023-01-14 17:00:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.04,130.45,3.16,130.45,412.0
2023-01-14 18:10:00,BCHUSDT.BYBIT,Direction.LONG,Offset.OPEN,6.65,123.8,9.81,125.95,1235.0
2023-01-19 00:55:00,BCHUSDT.BYBIT,Direction.LONG,Offset.OPEN,13.95,118.15,23.76,121.35,2884.0
2023-01-21 01:25:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,20.4,122.7,3.36,122.7,412.0
2023-01-21 04:55:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.07,125.4,3.29,125.4,413.0
2023-01-21 06:50:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.04,126.7,3.25,126.7,412.0
2023-01-21 09:45:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.03,128.0,3.22,128.0,412.0
2023-01-21 23:50:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.03,129.35,3.19,129.35,413.0
2023-01-22 00:55:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.08,132.5,3.11,132.5,412.0
2023-01-22 08:05:00,BCHUSDT.BYBIT,Direction.LONG,Offset.OPEN,6.42,128.4,9.53,129.75,1236.0
2023-01-23 01:45:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,6.4,131.5,3.13,131.5,412.0
2023-01-23 05:25:00,BCHUSDT.BYBIT,Direction.LONG,Offset.OPEN,6.44,127.95,9.57,129.1,1236.0
2023-01-23 09:40:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,6.41,130.45,3.16,130.45,412.0
2023-01-23 11:55:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.04,131.95,3.12,131.95,412.0
2023-01-23 17:10:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.07,135.1,3.05,135.1,412.0
2023-01-24 12:35:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.03,136.45,3.02,136.45,412.0
2023-01-24 22:15:00,BCHUSDT.BYBIT,Direction.LONG,Offset.OPEN,6.16,133.7,9.18,134.6,1236.0
2023-01-25 06:45:00,BCHUSDT.BYBIT,Direction.LONG,Offset.OPEN,12.82,128.55,22.0,131.1,2884.0
2023-01-26 06:15:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,18.89,132.45,3.11,132.45,412.0
2023-01-27 05:00:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.03,133.9,3.08,133.9,412.0
2023-01-28 01:30:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.04,135.5,3.04,135.5,412.0
2023-01-28 21:45:00,BCHUSDT.BYBIT,Direction.LONG,Offset.OPEN,6.23,132.25,9.27,133.3,1236.0
2023-01-29 09:20:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,6.24,135.85,3.03,135.85,412.0
2023-01-30 00:25:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.03,137.35,3.0,137.35,412.0
2023-01-30 18:20:00,BCHUSDT.BYBIT,Direction.LONG,Offset.OPEN,6.26,131.7,9.26,133.55,1236.0
2023-01-31 22:35:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,6.21,134.95,3.05,134.95,412.0
2023-02-01 17:05:00,BCHUSDT.BYBIT,Direction.LONG,Offset.OPEN,6.3,130.9,9.35,132.2,1236.0
2023-02-02 04:20:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,6.27,133.65,3.08,133.65,412.0
2023-02-02 05:40:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.05,135.9,3.03,135.9,412.0
2023-02-02 09:10:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.03,137.3,3.0,137.3,412.0
