datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.09,100.7,-4.09,100.7,-412.0
2022-12-23 02:15:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.05,99.5,-4.14,99.5,-412.0
2022-12-23 11:30:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.OPEN,8.1,101.75,-12.24,101.0,-1236.0
2022-12-26 02:25:00,BCHUSDT.BYBIT,Direction.LONG,Offset.CLOSE,8.12,99.95,-4.12,99.95,-412.0
2022-12-26 20:45:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.OPEN,8.06,102.3,-12.18,101.5,-1236.0
2022-12-28 14:15:00,BCHUSDT.BYBIT,Direction.LONG,Offset.CLOSE,8.06,100.0,-4.12,100.0,-412.0
2022-12-29 06:50:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.05,98.85,-4.17,98.85,-412.0
2022-12-30 05:10:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.04,97.85,-4.21,97.85,-412.0
2022-12-30 15:55:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.09,95.9,-4.3,95.9,-412.0
2022-12-31 18:35:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.OPEN,8.42,97.85,-12.72,97.2,-1236.0
2023-01-01 13:10:00,BCHUSDT.BYBIT,Direction.LONG,Offset.CLOSE,8.44,96.2,-4.28,96.2,-412.0
2023-01-02 17:10:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.OPEN,8.35,98.75,-12.63,97.9,-1236.0
2023-01-04 12:10:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.OPEN,16.15,102.0,-28.78,100.2,-2884.0
2023-01-06 20:10:00,BCHUSDT.BYBIT,Direction.LONG,Offset.CLOSE,24.59,98.4,-4.19,98.4,-412.0
2023-01-07 02:50:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.OPEN,8.12,101.4,-12.31,100.4,-1236.0
2023-01-09 09:05:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.OPEN,15.69,105.05,-28.0,103.0,-2884.0
2023-01-12 22:25:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.OPEN,29.59,111.4,-57.59,107.3,-6180.0
2023-01-13 01:10:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.OPEN,53.94,122.2,-111.53,114.5,-12772.0
2023-01-14 00:15:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.OPEN,106.5,123.8,-218.03,119.05,-25956.0
2023-01-14 10:20:00,BCHUSDT.BYBIT,Direction.SHORT,Offset.OPEN,204.8,128.75,-422.83,123.75,-52324.0
