datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,CRVUSDT.BYBIT,Direction.LONG,Offset.OPEN,786.3,0.524,786.3,0.524,412.0
2022-12-21 18:50:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,8.9,0.53,777.4,0.53,412.0
2022-12-22 05:25:00,CRVUSDT.BYBIT,Direction.LONG,Offset.OPEN,1596.9,0.516,2374.3,0.521,1236.0
2022-12-23 11:30:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1591.0,0.526,783.3,0.526,412.0
2022-12-27 01:05:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,8.9,0.532,774.4,0.532,412.0
2022-12-28 00:20:00,CRVUSDT.BYBIT,Direction.LONG,Offset.OPEN,1581.6,0.521,2356.0,0.525,1236.0
2022-12-30 14:30:00,CRVUSDT.BYBIT,Direction.LONG,Offset.OPEN,3296.0,0.5,5652.0,0.51,2884.0
2022-12-31 03:15:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,4853.6,0.516,798.4,0.516,412.0
2022-12-31 05:35:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,16.6,0.527,781.8,0.527,412.0
2023-01-02 17:15:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,14.6,0.537,767.2,0.537,412.0
2023-01-02 23:50:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,12.6,0.546,754.6,0.546,412.0
2023-01-03 07:05:00,CRVUSDT.BYBIT,Direction.LONG,Offset.OPEN,1540.2,0.535,2294.8,0.539,1236.0
2023-01-04 12:05:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1553.8,0.556,741.0,0.556,412.0
2023-01-05 21:45:00,CRVUSDT.BYBIT,Direction.LONG,Offset.OPEN,1514.7,0.544,2255.7,0.548,1236.0
2023-01-06 20:50:00,CRVUSDT.BYBIT,Direction.LONG,Offset.OPEN,3139.1,0.525,5394.8,0.535,2884.0
2023-01-07 02:50:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,4631.8,0.54,763.0,0.54,412.0
2023-01-07 08:25:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,8.4,0.546,754.6,0.546,412.0
2023-01-07 18:20:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,8.2,0.552,746.4,0.552,412.0
