datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.OPEN,786.3,0.524,-786.3,0.524,-412.0
2022-12-21 13:10:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.1,0.518,-795.4,0.518,-412.0
2022-12-21 17:25:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1557.6,0.529,-2353.0,0.525,-1236.0
2022-12-22 05:25:00,CRVUSDT.BYBIT,Direction.LONG,Offset.CLOSE,1554.6,0.516,-798.4,0.516,-412.0
2022-12-22 07:05:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.4,0.51,-807.8,0.51,-412.0
2022-12-23 06:20:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1572.6,0.524,-2380.4,0.519,-1236.0
2022-12-29 06:35:00,CRVUSDT.BYBIT,Direction.LONG,Offset.CLOSE,1571.0,0.509,-809.4,0.509,-412.0
2022-12-29 18:00:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1587.7,0.519,-2397.1,0.516,-1236.0
2022-12-30 04:55:00,CRVUSDT.BYBIT,Direction.LONG,Offset.CLOSE,1589.3,0.51,-807.8,0.51,-412.0
2022-12-30 10:35:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.OPEN,8.0,0.505,-815.8,0.505,-412.0
2022-12-30 16:00:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.OPEN,21.6,0.492,-837.4,0.492,-412.0
2022-12-30 20:05:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1641.4,0.502,-2478.8,0.499,-1236.0
2022-12-31 05:35:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.OPEN,3127.2,0.527,-5606.0,0.514,-2884.0
2023-01-04 12:05:00,CRVUSDT.BYBIT,Direction.SHORT,Offset.OPEN,5928.0,0.556,-11534.0,0.536,-6180.0
2023-01-06 16:00:00,CRVUSDT.BYBIT,Direction.LONG,Offset.CLOSE,10756.6,0.53,-777.4,0.53,-412.0
