datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,5560.0,0.0741,5560.0,0.0741,412.0
2022-12-21 07:35:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,56.0,0.07485,5504.0,0.07485,412.0
2022-12-21 11:40:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,11279.0,0.07306,16783.0,0.07365,1236.0
2022-12-22 20:40:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11395.0,0.07646,5388.0,0.07646,412.0
2022-12-22 23:45:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,11055.0,0.07454,16443.0,0.07517,1236.0
2022-12-23 05:05:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11059.0,0.07653,5384.0,0.07653,412.0
2022-12-23 10:00:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,55.0,0.07732,5329.0,0.07732,412.0
2022-12-23 13:30:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,59.0,0.07818,5270.0,0.07818,412.0
2022-12-25 19:25:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,10758.0,0.07659,16028.0,0.07711,1236.0
2022-12-28 00:55:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,22274.0,0.07399,38302.0,0.0753,2884.0
2022-12-30 16:00:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,48485.0,0.06798,86787.0,0.07121,6180.0
2023-01-02 16:30:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,81068.0,0.07204,5719.0,0.07204,412.0
2023-01-04 01:30:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,11782.0,0.06994,17501.0,0.07063,1236.0
2023-01-04 10:10:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11727.0,0.07136,5774.0,0.07136,412.0
2023-01-04 11:50:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,62.0,0.07213,5712.0,0.07213,412.0
2023-01-05 08:10:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,66.0,0.07297,5646.0,0.07297,412.0
2023-01-05 13:25:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,63.0,0.0738,5583.0,0.0738,412.0
2023-01-06 00:40:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,11403.0,0.07226,16986.0,0.07277,1236.0
2023-01-09 09:10:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11416.0,0.07397,5570.0,0.07397,412.0
2023-01-09 10:30:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,63.0,0.07481,5507.0,0.07481,412.0
2023-01-09 18:50:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,145.0,0.07683,5362.0,0.07683,412.0
2023-01-09 19:55:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,74.0,0.07791,5288.0,0.07791,412.0
2023-01-10 01:25:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,60.0,0.07881,5228.0,0.07881,412.0
2023-01-10 05:05:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,10872.0,0.07579,16100.0,0.07677,1236.0
2023-01-12 08:10:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,10823.0,0.07808,5277.0,0.07808,412.0
2023-01-12 09:25:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,54.0,0.07888,5223.0,0.07888,412.0
2023-01-12 11:45:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,85.0,0.08018,5138.0,0.08018,412.0
2023-01-12 18:20:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,10504.0,0.07845,15642.0,0.07902,1236.0
2023-01-13 03:00:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,10480.0,0.07981,5162.0,0.07981,412.0
2023-01-13 12:45:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,81.0,0.08109,5081.0,0.08109,412.0
2023-01-13 21:20:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,10372.0,0.07944,15453.0,0.07998,1236.0
2023-01-14 06:20:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,10475.0,0.08276,4978.0,0.08276,412.0
2023-01-14 07:20:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,73.0,0.084,4905.0,0.084,412.0
2023-01-14 08:45:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,68.0,0.08518,4837.0,0.08518,412.0
2023-01-14 10:05:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,209.0,0.08902,4628.0,0.08902,412.0
2023-01-14 17:05:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,91.0,0.09081,4537.0,0.09081,412.0
2023-01-14 17:55:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,9580.0,0.08601,14117.0,0.08755,1236.0
2023-01-15 17:15:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,19763.0,0.08339,33880.0,0.08512,2884.0
2023-01-16 07:15:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,29093.0,0.08607,4787.0,0.08607,412.0
2023-01-16 09:55:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,50.0,0.08697,4737.0,0.08697,412.0
2023-01-16 16:50:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,9783.0,0.08423,14520.0,0.08512,1236.0
2023-01-18 10:30:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9743.0,0.08624,4777.0,0.08624,412.0
2023-01-18 11:25:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,75.0,0.08763,4702.0,0.08763,412.0
2023-01-18 19:00:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,9594.0,0.08588,14296.0,0.08646,1236.0
2023-01-18 23:15:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9586.0,0.08748,4710.0,0.08748,412.0
2023-01-19 00:55:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,10166.0,0.08105,14876.0,0.08309,1236.0
2023-01-21 04:45:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,10036.0,0.08513,4840.0,0.08513,412.0
2023-01-21 06:50:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,53.0,0.08607,4787.0,0.08607,412.0
2023-01-21 14:55:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,70.0,0.08734,4717.0,0.08734,412.0
2023-01-21 18:25:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,47.0,0.08823,4670.0,0.08823,412.0
2023-01-21 19:20:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,9561.0,0.08618,14231.0,0.08685,1236.0
2023-01-22 05:30:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9535.0,0.08773,4696.0,0.08773,412.0
2023-01-22 08:00:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,9685.0,0.08508,14381.0,0.08595,1236.0
2023-01-22 23:20:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9674.0,0.08752,4707.0,0.08752,412.0
2023-01-23 01:30:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,232.0,0.09206,4475.0,0.09206,412.0
2023-01-23 03:50:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,9156.0,0.09,13631.0,0.09068,1236.0
2023-01-23 05:20:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,18934.0,0.08704,32565.0,0.08856,2884.0
2023-01-23 09:55:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,27962.0,0.0895,4603.0,0.0895,412.0
2023-01-23 11:15:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,61.0,0.0907,4542.0,0.0907,412.0
2023-01-23 22:20:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,9340.0,0.08823,13882.0,0.08904,1236.0
2023-01-24 10:55:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9303.0,0.08997,4579.0,0.08997,412.0
2023-01-25 01:15:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,9355.0,0.08808,13934.0,0.0887,1236.0
2023-01-25 07:00:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,19490.0,0.08456,33424.0,0.08629,2884.0
2023-01-26 06:25:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,28700.0,0.08722,4724.0,0.08722,412.0
2023-01-27 10:10:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,9738.0,0.08461,14462.0,0.08546,1236.0
2023-01-28 01:30:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9700.0,0.08652,4762.0,0.08652,412.0
2023-01-28 09:00:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,84.0,0.08808,4678.0,0.08808,412.0
2023-01-28 13:40:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,160.0,0.09119,4518.0,0.09119,412.0
2023-01-28 21:30:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,9382.0,0.08783,13900.0,0.08892,1236.0
2023-01-29 21:30:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9317.0,0.0899,4583.0,0.0899,412.0
2023-01-30 18:05:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,9624.0,0.08562,14207.0,0.087,1236.0
2023-01-31 01:45:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9573.0,0.0889,4634.0,0.0889,412.0
2023-01-31 03:45:00,DOGEUSDT.BYBIT,Direction.LONG,Offset.OPEN,9511.0,0.08664,14145.0,0.08738,1236.0
2023-01-31 08:35:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9512.0,0.08892,4633.0,0.08892,412.0
2023-01-31 09:30:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,53.0,0.08996,4580.0,0.08996,412.0
2023-01-31 10:00:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,50.0,0.09094,4530.0,0.09094,412.0
2023-01-31 10:35:00,DOGEUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,80.0,0.09258,4450.0,0.09258,412.0
