datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,DOTUSDT.BYBIT,Direction.LONG,Offset.OPEN,89.7,4.595,89.7,4.595,412.0
2022-12-21 13:35:00,DOTUSDT.BYBIT,Direction.LONG,Offset.OPEN,183.0,4.502,272.7,4.533,1236.0
2022-12-28 14:35:00,DOTUSDT.BYBIT,Direction.LONG,Offset.OPEN,380.9,4.326,653.6,4.412,2884.0
2023-01-02 15:55:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,561.5,4.474,92.1,4.474,412.0
2023-01-03 14:35:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.0,4.523,91.1,4.523,412.0
2023-01-04 10:10:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.8,4.616,89.3,4.616,412.0
2023-01-04 12:05:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.0,4.665,88.3,4.665,412.0
2023-01-05 16:50:00,DOTUSDT.BYBIT,Direction.LONG,Offset.OPEN,180.2,4.572,268.5,4.603,1236.0
2023-01-06 09:05:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,179.9,4.652,88.6,4.652,412.0
2023-01-07 10:40:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.9,4.699,87.7,4.699,412.0
2023-01-09 04:50:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.0,4.752,86.7,4.752,412.0
2023-01-09 08:20:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.9,4.801,85.8,4.801,412.0
2023-01-09 09:35:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.1,4.866,84.7,4.866,412.0
2023-01-09 12:50:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.2,4.936,83.5,4.936,412.0
2023-01-09 19:05:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.9,4.989,82.6,4.989,412.0
