datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.OPEN,89.7,4.595,-89.7,4.595,-412.0
2022-12-21 11:40:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.3,4.529,-91.0,4.529,-412.0
2022-12-21 22:30:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.0,4.479,-92.0,4.479,-412.0
2022-12-22 15:45:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.0,4.429,-93.0,4.429,-412.0
2022-12-23 08:20:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.OPEN,182.2,4.522,-275.2,4.491,-1236.0
2022-12-24 17:45:00,DOTUSDT.BYBIT,Direction.LONG,Offset.CLOSE,182.4,4.438,-92.8,4.438,-412.0
2022-12-27 04:00:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.OPEN,182.0,4.528,-274.8,4.498,-1236.0
2022-12-28 11:35:00,DOTUSDT.BYBIT,Direction.LONG,Offset.CLOSE,182.0,4.438,-92.8,4.438,-412.0
2022-12-28 14:35:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2.4,4.326,-95.2,4.326,-412.0
2022-12-29 06:05:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.2,4.272,-96.4,4.272,-412.0
2022-12-31 22:40:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.OPEN,188.9,4.363,-285.3,4.332,-1236.0
2023-01-01 09:20:00,DOTUSDT.BYBIT,Direction.LONG,Offset.CLOSE,189.1,4.284,-96.2,4.284,-412.0
2023-01-02 06:05:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.OPEN,188.3,4.376,-284.5,4.345,-1236.0
2023-01-03 14:35:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.OPEN,364.3,4.523,-648.8,4.445,-2884.0
2023-01-09 08:20:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.OPEN,686.6,4.801,-1335.4,4.628,-6180.0
2023-01-09 19:15:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1318.1,5.001,-2653.5,4.813,-12772.0
2023-01-13 04:35:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2534.4,5.202,-5187.9,5.003,-25956.0
2023-01-14 08:50:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4824.0,5.466,-10011.9,5.226,-52324.0
2023-01-14 10:20:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9327.2,5.654,-19339.1,5.433,-105060.0
2023-01-14 16:50:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.OPEN,16696.5,6.317,-36035.6,5.842,-210532.0
2023-01-14 16:55:00,DOTUSDT.BYBIT,Direction.SHORT,Offset.OPEN,33361.4,6.323,-69397.0,6.073,-421476.0
