datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,EOSUSDT.BYBIT,Direction.LONG,Offset.OPEN,465.5,0.885,465.5,0.885,412.0
2022-12-23 02:05:00,EOSUSDT.BYBIT,Direction.LONG,Offset.OPEN,957.1,0.861,1422.6,0.869,1236.0
2022-12-23 05:05:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,953.4,0.878,469.2,0.878,412.0
2022-12-23 10:40:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,5.2,0.888,464.0,0.888,412.0
2022-12-25 22:55:00,EOSUSDT.BYBIT,Direction.LONG,Offset.OPEN,952.6,0.865,1416.6,0.873,1236.0
2022-12-27 08:15:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,951.6,0.886,465.0,0.886,412.0
2022-12-27 18:55:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,7.2,0.9,457.8,0.9,412.0
2022-12-28 11:45:00,EOSUSDT.BYBIT,Direction.LONG,Offset.OPEN,934.2,0.882,1392.0,0.888,1236.0
2023-01-04 12:10:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,934.7,0.901,457.3,0.901,412.0
2023-01-05 02:55:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,6.0,0.913,451.3,0.913,412.0
2023-01-05 22:15:00,EOSUSDT.BYBIT,Direction.LONG,Offset.OPEN,921.7,0.894,1373.0,0.9,1236.0
2023-01-09 08:15:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,920.3,0.91,452.7,0.91,412.0
2023-01-09 09:55:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11.1,0.933,441.6,0.933,412.0
2023-01-09 21:45:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,4.7,0.943,436.9,0.943,412.0
2023-01-12 03:50:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,12.2,0.97,424.7,0.97,412.0
2023-01-12 23:25:00,EOSUSDT.BYBIT,Direction.LONG,Offset.OPEN,867.4,0.95,1292.1,0.957,1236.0
2023-01-13 01:30:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,871.3,0.979,420.8,0.979,412.0
