datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,465.5,0.885,-465.5,0.885,-412.0
2022-12-23 02:05:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,13.0,0.861,-478.5,0.861,-412.0
2022-12-23 05:20:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,937.4,0.879,-1415.9,0.873,-1236.0
2022-12-29 10:40:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,937.9,0.862,-478.0,0.862,-412.0
2022-12-30 05:55:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,5.0,0.853,-483.0,0.853,-412.0
2023-01-02 03:55:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,936.4,0.88,-1419.4,0.871,-1236.0
2023-01-05 02:00:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1819.0,0.906,-3238.4,0.891,-2884.0
2023-01-06 17:55:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,2767.5,0.875,-470.9,0.875,-412.0
2023-01-07 04:20:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,921.7,0.894,-1392.6,0.888,-1236.0
2023-01-09 09:55:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1766.3,0.933,-3158.9,0.913,-2884.0
2023-01-13 04:45:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,3329.3,0.99,-6488.2,0.952,-6180.0
2023-01-14 09:20:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,6272.1,1.051,-12760.3,1.001,-12772.0
2023-01-14 17:00:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,12196.1,1.081,-24956.4,1.04,-25956.0
2023-01-16 16:50:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,24556.0,1.029,-400.4,1.029,-412.0
2023-01-18 19:05:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.7,1.017,-405.1,1.017,-412.0
2023-01-19 00:55:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,22.3,0.964,-427.4,0.964,-412.0
2023-01-21 01:25:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,831.5,0.991,-1258.9,0.982,-1236.0
2023-01-21 05:15:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1593.8,1.034,-2852.7,1.011,-2884.0
2023-01-23 00:35:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2996.3,1.1,-5849.0,1.057,-6180.0
2023-01-25 07:10:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,5452.8,1.04,-396.2,1.04,-412.0
2023-01-25 09:35:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,6.1,1.024,-402.3,1.024,-412.0
2023-01-25 13:40:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,788.6,1.045,-1190.9,1.038,-1236.0
2023-01-26 04:15:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1510.5,1.091,-2701.4,1.068,-2884.0
2023-01-31 03:50:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,2307.1,1.045,-394.3,1.045,-412.0
2023-01-31 22:55:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,772.2,1.067,-1166.5,1.06,-1236.0
2023-02-01 17:10:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,770.3,1.04,-396.2,1.04,-412.0
2023-02-01 18:40:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,6.9,1.022,-403.1,1.022,-412.0
2023-02-02 04:50:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,779.6,1.057,-1182.7,1.045,-1236.0
2023-02-02 09:15:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1511.9,1.09,-2694.6,1.07,-2884.0
2023-02-07 07:40:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,2305.6,1.059,-389.0,1.059,-412.0
2023-02-07 18:40:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,762.3,1.081,-1151.3,1.074,-1236.0
2023-02-08 09:00:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1475.4,1.117,-2626.7,1.098,-2884.0
2023-02-09 00:40:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,2245.6,1.081,-381.1,1.081,-412.0
2023-02-09 11:45:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.4,1.055,-390.5,1.055,-412.0
2023-02-09 23:00:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,739.0,1.115,-1129.5,1.094,-1236.0
2023-02-10 04:45:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,747.0,1.077,-382.5,1.077,-412.0
2023-02-10 05:45:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.0,1.066,-386.5,1.066,-412.0
2023-02-10 07:20:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,7.0,1.047,-393.5,1.047,-412.0
2023-02-13 09:45:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.2,1.036,-397.7,1.036,-412.0
2023-02-13 17:40:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.0,1.013,-406.7,1.013,-412.0
2023-02-14 23:30:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,792.3,1.04,-1199.0,1.031,-1236.0
2023-02-16 04:05:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1537.3,1.072,-2736.3,1.054,-2884.0
2023-02-18 02:45:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2746.7,1.2,-5483.0,1.127,-6180.0
2023-02-18 09:45:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,5412.1,1.218,-10895.1,1.172,-12772.0
2023-02-19 19:40:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,10236.1,1.288,-21131.2,1.228,-25956.0
2023-02-21 22:15:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,20791.5,1.213,-339.7,1.213,-412.0
2023-02-22 10:35:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,5.6,1.193,-345.3,1.193,-412.0
2023-02-23 11:25:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,676.6,1.218,-1021.9,1.21,-1236.0
2023-02-23 20:10:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,674.8,1.187,-347.1,1.187,-412.0
2023-02-24 03:05:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.4,1.172,-351.5,1.172,-412.0
2023-02-24 22:20:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.6,1.157,-356.1,1.157,-412.0
2023-02-25 00:35:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,7.2,1.134,-363.3,1.134,-412.0
2023-02-25 02:15:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.6,1.12,-367.9,1.12,-412.0
2023-02-25 07:00:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,3.6,1.109,-371.5,1.109,-412.0
2023-02-26 04:00:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,3.7,1.098,-375.2,1.098,-412.0
2023-02-26 05:00:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.2,1.086,-379.4,1.086,-412.0
2023-02-26 10:25:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,743.7,1.108,-1123.1,1.101,-1236.0
2023-02-28 13:55:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1415.8,1.164,-2538.9,1.136,-2884.0
2023-03-03 04:50:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2679.6,1.23,-5218.5,1.184,-6180.0
2023-03-03 10:15:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,4861.2,1.153,-357.3,1.153,-412.0
2023-03-03 13:05:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,698.3,1.18,-1055.6,1.171,-1236.0
2023-03-03 19:20:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1305.9,1.262,-2361.5,1.221,-2884.0
2023-03-04 09:00:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2498.9,1.319,-4860.4,1.272,-6180.0
2023-03-05 01:35:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,4531.3,1.252,-329.1,1.252,-412.0
2023-03-05 04:55:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.0,1.237,-333.1,1.237,-412.0
2023-03-05 06:10:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,7.7,1.209,-340.8,1.209,-412.0
2023-03-05 09:50:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,666.1,1.237,-1006.9,1.228,-1236.0
2023-03-05 17:10:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,665.8,1.208,-341.1,1.208,-412.0
2023-03-06 03:45:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,667.2,1.235,-1008.3,1.226,-1236.0
2023-03-06 13:35:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,666.1,1.204,-342.2,1.204,-412.0
2023-03-07 18:05:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.0,1.19,-346.2,1.19,-412.0
2023-03-07 20:10:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.4,1.175,-350.6,1.175,-412.0
2023-03-08 14:10:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,7.0,1.152,-357.6,1.152,-412.0
2023-03-08 22:30:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.8,1.137,-362.4,1.137,-412.0
2023-03-09 07:10:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,5.8,1.119,-368.2,1.119,-412.0
2023-03-09 13:15:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,721.5,1.142,-1089.7,1.134,-1236.0
2023-03-10 05:20:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,701.0,1.06,-388.7,1.06,-412.0
2023-03-10 06:05:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.8,1.047,-393.5,1.047,-412.0
2023-03-10 17:00:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,5.7,1.032,-399.2,1.032,-412.0
2023-03-10 18:45:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,7.1,1.014,-406.3,1.014,-412.0
2023-03-10 22:05:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,792.3,1.04,-1198.6,1.031,-1236.0
2023-03-11 16:20:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,776.5,0.976,-422.1,0.976,-412.0
2023-03-12 00:35:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,5.3,0.964,-427.4,0.964,-412.0
2023-03-12 05:15:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,831.5,0.991,-1258.9,0.982,-1236.0
2023-03-12 22:55:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,834.2,0.97,-424.7,0.97,-412.0
2023-03-13 03:15:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,822.4,1.002,-1247.1,0.991,-1236.0
2023-03-13 06:50:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1598.4,1.031,-2845.5,1.014,-2884.0
2023-03-14 21:15:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2993.7,1.101,-5839.2,1.058,-6180.0
2023-03-16 00:15:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,5445.7,1.047,-393.5,1.047,-412.0
2023-03-16 01:05:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,5.3,1.033,-398.8,1.033,-412.0
2023-03-16 15:40:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,779.6,1.057,-1178.4,1.049,-1236.0
2023-03-17 10:40:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1495.5,1.102,-2673.9,1.079,-2884.0
2023-03-19 23:10:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2829.2,1.165,-5503.1,1.123,-6180.0
2023-03-20 18:10:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,5421.0,1.216,-10924.1,1.169,-12772.0
2023-03-21 14:45:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,10568.0,1.157,-356.1,1.157,-412.0
2023-03-21 15:45:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,6.3,1.137,-362.4,1.137,-412.0
2023-03-21 21:45:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,698.3,1.18,-1060.7,1.165,-1236.0
2023-03-22 17:25:00,EOSUSDT.BYBIT,Direction.LONG,Offset.CLOSE,703.7,1.154,-357.0,1.154,-412.0
2023-03-23 00:50:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,3.8,1.142,-360.8,1.142,-412.0
2023-03-23 01:50:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.1,1.129,-364.9,1.129,-412.0
2023-03-23 04:15:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,15.2,1.084,-380.1,1.084,-412.0
2023-03-23 12:50:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,739.7,1.114,-1119.8,1.104,-1236.0
2023-03-24 00:00:00,EOSUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1425.6,1.156,-2545.4,1.133,-2884.0
