datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,26.1,15.79,26.1,15.79,412.0
2022-12-21 07:35:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.3,15.955,25.8,15.955,412.0
2022-12-21 12:50:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,52.8,15.625,78.6,15.735,1237.0
2022-12-21 17:20:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,53.6,16.485,25.0,16.485,412.0
2022-12-22 23:25:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,51.2,16.085,76.2,16.215,1236.0
2022-12-23 08:00:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,51.1,16.43,25.1,16.43,412.0
2022-12-25 22:55:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,51.2,16.085,76.3,16.2,1236.0
2022-12-28 14:15:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,107.7,15.3,184.0,15.675,2884.0
2022-12-29 23:45:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,158.2,15.96,25.8,15.96,412.0
2022-12-30 05:50:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,52.9,15.59,78.7,15.71,1236.0
2022-12-31 23:05:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,52.7,15.87,26.0,15.87,413.0
2023-01-02 10:00:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,53.0,15.545,79.0,15.65,1237.0
2023-01-02 16:20:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,53.4,16.07,25.6,16.07,411.0
2023-01-04 02:25:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,52.5,15.7,78.1,15.82,1236.0
2023-01-04 10:05:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,53.1,16.51,25.0,16.51,413.0
2023-01-04 12:10:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.5,17.52,23.5,17.52,412.0
2023-01-04 15:55:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.3,17.735,23.2,17.735,411.0
2023-01-04 17:30:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.3,17.975,22.9,17.975,412.0
2023-01-04 21:50:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.2,18.165,22.7,18.165,412.0
2023-01-05 00:20:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.5,18.585,22.2,18.585,413.0
2023-01-05 02:55:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.1,19.48,21.1,19.48,411.0
2023-01-05 03:50:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,43.3,19.07,64.4,19.205,1237.0
2023-01-05 21:30:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,89.4,18.43,153.8,18.755,2884.0
2023-01-07 02:55:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,132.9,19.68,20.9,19.68,411.0
2023-01-07 07:30:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.7,20.435,20.2,20.435,413.0
2023-01-08 05:00:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,41.3,19.95,61.5,20.11,1237.0
2023-01-09 09:35:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,42.0,21.105,19.5,21.105,412.0
2023-01-09 10:45:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.3,21.41,19.2,21.41,411.0
2023-01-09 22:20:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,39.5,20.88,58.7,21.055,1236.0
2023-01-10 04:40:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,81.6,20.2,140.3,20.555,2884.0
2023-01-12 09:15:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,120.6,20.89,19.7,20.89,412.0
2023-01-12 14:40:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,40.3,20.46,60.0,20.6,1236.0
2023-01-13 05:00:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,40.2,20.825,19.8,20.825,412.0
2023-01-13 08:35:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.5,21.3,19.3,21.3,411.0
2023-01-13 21:15:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,39.7,20.76,59.0,20.935,1235.0
2023-01-14 06:15:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,40.0,21.675,19.0,21.675,412.0
2023-01-14 09:25:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.8,22.625,18.2,22.625,412.0
2023-01-14 10:40:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.6,23.45,17.6,23.45,413.0
2023-01-14 17:55:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,37.0,22.25,54.6,22.635,1236.0
2023-01-15 17:15:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,76.2,21.615,130.8,22.04,2883.0
2023-01-16 00:15:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,112.3,22.265,18.5,22.265,412.0
2023-01-16 05:20:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.3,22.585,18.2,22.585,411.0
2023-01-16 16:50:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,37.9,21.765,56.1,22.03,1236.0
2023-01-17 09:10:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,37.6,22.275,18.5,22.275,412.0
2023-01-18 17:20:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,37.9,21.73,56.4,21.91,1236.0
2023-01-19 00:55:00,ETCUSDT.BYBIT,Direction.LONG,Offset.OPEN,80.2,20.555,136.6,21.115,2884.0
