datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,26.1,15.79,-26.1,15.79,-412.0
2022-12-21 12:50:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.3,15.625,-26.4,15.625,-413.0
2022-12-21 17:20:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,50.0,16.485,-76.4,16.19,-1237.0
2022-12-23 02:05:00,ETCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,50.5,15.895,-25.9,15.895,-412.0
2022-12-23 06:25:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,50.7,16.26,-76.6,16.135,-1236.0
2022-12-26 02:20:00,ETCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,50.7,15.925,-25.9,15.925,-412.0
2022-12-26 11:10:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,50.6,16.265,-76.5,16.15,-1235.0
2022-12-27 23:10:00,ETCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,50.6,15.89,-25.9,15.89,-412.0
2022-12-28 02:20:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.3,15.705,-26.2,15.705,-411.0
2022-12-28 14:15:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.7,15.3,-26.9,15.3,-412.0
2022-12-29 06:35:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.5,15.015,-27.4,15.015,-411.0
2022-12-29 13:20:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,53.5,15.42,-80.9,15.285,-1236.0
2022-12-29 23:45:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,103.2,15.96,-184.1,15.66,-2883.0
2022-12-30 15:45:00,ETCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,157.4,15.425,-26.7,15.425,-412.0
2022-12-31 18:00:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,52.4,15.735,-79.1,15.63,-1236.0
2023-01-04 10:05:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,99.8,16.51,-178.9,16.12,-2884.0
2023-01-04 12:10:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,188.1,17.52,-367.0,16.84,-6180.0
2023-01-05 00:20:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,354.7,18.585,-721.7,17.695,-12772.0
2023-01-05 02:55:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,676.8,19.48,-1398.5,18.56,-25956.0
2023-01-06 07:25:00,ETCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,1375.9,18.215,-22.6,18.215,-412.0
2023-01-07 01:15:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,44.4,18.585,-67.0,18.46,-1237.0
2023-01-07 02:55:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,83.7,19.68,-150.7,19.14,-2884.0
2023-01-09 09:35:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,156.2,21.105,-306.9,20.14,-6181.0
2023-01-10 11:05:00,ETCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,286.2,19.935,-20.7,19.935,-413.0
2023-01-11 12:05:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.2,19.72,-20.9,19.72,-412.0
2023-01-12 07:20:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,40.9,20.125,-61.8,19.99,-1235.0
2023-01-12 09:15:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,78.9,20.89,-140.7,20.495,-2883.0
2023-01-12 21:45:00,ETCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,120.4,20.27,-20.3,20.27,-411.0
2023-01-12 23:10:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.3,20.005,-20.6,20.005,-412.0
2023-01-13 02:25:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,39.9,20.655,-60.5,20.435,-1236.0
2023-01-13 08:35:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,77.4,21.3,-137.9,20.92,-2885.0
2023-01-14 09:25:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,145.6,22.625,-283.5,21.795,-6179.0
2023-01-14 16:50:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,280.0,23.545,-563.5,22.665,-12772.0
2023-01-14 17:55:00,ETCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,545.0,22.25,-18.5,22.25,-412.0
2023-01-15 09:15:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.2,22.025,-18.7,22.025,-412.0
2023-01-15 16:45:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.2,21.755,-18.9,21.755,-411.0
2023-01-16 00:15:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,37.0,22.265,-55.9,22.095,-1235.0
2023-01-16 16:50:00,ETCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,37.0,21.765,-18.9,21.765,-411.0
2023-01-17 09:05:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,37.1,22.25,-56.0,22.085,-1237.0
2023-01-18 17:20:00,ETCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,37.0,21.73,-19.0,21.73,-413.0
2023-01-19 00:55:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.0,20.555,-20.0,20.555,-411.0
2023-01-21 01:20:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,39.1,21.1,-59.1,20.915,-1236.0
2023-01-21 05:10:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,74.3,22.18,-133.4,21.62,-2884.0
2023-01-25 07:10:00,ETCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,114.0,21.245,-19.4,21.245,-412.0
2023-01-25 09:40:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.3,20.9,-19.7,20.9,-412.0
2023-01-25 15:20:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,38.6,21.35,-58.3,21.2,-1236.0
2023-01-26 06:30:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,74.7,22.06,-133.0,21.68,-2884.0
2023-01-27 10:25:00,ETCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,113.7,21.4,-19.3,21.4,-413.0
2023-01-28 01:35:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,37.6,21.86,-56.9,21.705,-1235.0
2023-01-29 09:50:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,73.0,22.58,-129.9,22.195,-2883.0
2023-01-30 18:05:00,ETCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,111.0,21.815,-18.9,21.815,-412.0
2023-01-31 03:50:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.6,21.16,-19.5,21.16,-413.0
2023-01-31 22:15:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,38.1,21.62,-57.6,21.465,-1236.0
2023-02-02 00:20:00,ETCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,38.2,21.205,-19.4,21.205,-411.0
2023-02-02 04:50:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,37.3,22.085,-56.7,21.785,-1235.0
2023-02-02 09:20:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,72.7,22.685,-129.4,22.29,-2884.0
2023-02-04 21:45:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,134.8,24.45,-264.2,23.39,-6180.0
2023-02-05 21:25:00,ETCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,246.2,22.94,-18.0,22.94,-413.0
2023-02-06 03:35:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,22.705,-18.1,22.705,-411.0
2023-02-06 13:55:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.3,22.445,-18.4,22.445,-413.0
2023-02-07 07:40:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.2,22.135,-18.6,22.135,-412.0
2023-02-07 18:35:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,36.4,22.62,-55.0,22.455,-1235.0
2023-02-09 11:40:00,ETCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,36.2,21.87,-18.8,21.87,-411.0
2023-02-09 22:30:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,36.8,22.405,-55.6,22.225,-1236.0
2023-02-10 04:35:00,ETCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,36.1,21.175,-19.5,21.175,-413.0
2023-02-10 07:20:00,ETCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.3,20.825,-19.8,20.825,-412.0
