datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,135.1,3.05,-135.1,3.05,-412.0
2022-12-21 02:30:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2.1,3.003,-137.2,3.003,-412.0
2022-12-21 04:40:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.6,2.968,-138.8,2.968,-412.0
2022-12-21 05:30:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.5,2.937,-140.3,2.937,-412.0
2022-12-21 21:50:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.4,2.907,-141.7,2.907,-412.0
2022-12-22 05:40:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,277.5,2.97,-419.2,2.949,-1236.0
2022-12-22 23:15:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,277.9,2.916,-141.3,2.916,-412.0
2022-12-23 06:20:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,276.3,2.982,-417.6,2.96,-1236.0
2022-12-25 07:10:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,276.4,2.918,-141.2,2.918,-412.0
2022-12-26 10:20:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,276.7,2.978,-417.9,2.958,-1236.0
2022-12-27 18:45:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,510.4,3.229,-928.3,3.107,-2884.0
2022-12-28 02:10:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,793.7,3.062,-134.6,3.062,-412.0
2022-12-28 05:20:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.3,3.031,-135.9,3.031,-412.0
2022-12-28 14:10:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,3.6,2.954,-139.5,2.954,-412.0
2022-12-29 03:30:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,273.5,3.013,-413.0,2.993,-1236.0
2022-12-30 05:10:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,273.2,2.948,-139.8,2.948,-412.0
2022-12-31 22:35:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,273.6,3.011,-413.4,2.99,-1236.0
2023-01-02 04:15:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,526.5,3.13,-939.9,3.068,-2884.0
2023-01-04 03:45:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,804.2,3.036,-135.7,3.036,-412.0
2023-01-04 08:50:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,266.0,3.098,-401.7,3.077,-1236.0
2023-01-04 11:50:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,514.8,3.201,-916.5,3.147,-2884.0
2023-01-08 14:00:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,967.7,3.406,-1884.2,3.28,-6180.0
2023-01-09 10:15:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1855.9,3.552,-3740.1,3.415,-12772.0
2023-01-09 19:00:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,3557.5,3.706,-7297.6,3.557,-25956.0
2023-01-09 23:10:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,6838.1,3.856,-14135.7,3.702,-52324.0
2023-01-11 22:30:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,9895.0,3.631,-4240.7,3.702,-15697.0
2023-01-12 00:20:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,4125.3,3.57,-115.4,3.57,-412.0
2023-01-12 08:15:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,221.6,3.718,-337.0,3.667,-1236.0
2023-01-13 02:20:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,431.9,3.816,-768.9,3.751,-2884.0
2023-01-14 09:25:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,765.8,4.304,-1534.7,4.027,-6180.0
2023-01-14 10:15:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1495.1,4.409,-3029.8,4.215,-12772.0
2023-01-14 17:55:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,2931.0,4.171,-98.8,4.171,-412.0
2023-01-14 23:45:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,193.3,4.263,-292.1,4.232,-1236.0
2023-01-15 07:50:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,345.6,4.768,-637.7,4.522,-2884.0
2023-01-15 23:50:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,669.5,4.923,-1307.2,4.728,-6180.0
2023-01-16 16:45:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,1217.8,4.609,-89.4,4.609,-412.0
2023-01-16 23:20:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.4,4.537,-90.8,4.537,-412.0
2023-01-17 03:35:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,178.1,4.628,-268.9,4.597,-1236.0
2023-01-17 10:00:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,177.5,4.506,-91.4,4.506,-412.0
2023-01-17 15:30:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,175.5,4.696,-266.9,4.631,-1236.0
2023-01-19 00:50:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,173.2,4.399,-93.7,4.399,-412.0
2023-01-19 05:05:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.0,4.349,-94.7,4.349,-412.0
2023-01-19 06:35:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.0,4.304,-95.7,4.304,-412.0
2023-01-19 12:55:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,187.3,4.401,-283.0,4.368,-1236.0
2023-01-19 20:00:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,187.7,4.324,-95.3,4.324,-412.0
2023-01-20 04:05:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,186.7,4.414,-282.0,4.384,-1236.0
2023-01-21 05:10:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,351.2,4.692,-633.2,4.555,-2884.0
2023-01-21 10:05:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,668.0,4.934,-1301.2,4.749,-6180.0
2023-01-22 06:00:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1278.0,5.158,-2579.2,4.952,-12772.0
2023-01-22 22:25:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2424.5,5.438,-5003.7,5.187,-25956.0
2023-01-23 01:55:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4604.1,5.727,-9607.8,5.446,-52324.0
2023-01-23 05:20:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,6725.5,5.372,-2882.3,5.446,-15697.0
2023-01-23 22:30:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,2804.3,5.281,-78.0,5.281,-412.0
2023-01-24 02:35:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,152.3,5.412,-230.3,5.368,-1236.0
2023-01-24 22:05:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,152.7,5.312,-77.6,5.312,-412.0
2023-01-25 01:25:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.9,5.249,-78.5,5.249,-412.0
2023-01-25 07:00:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.1,4.988,-82.6,4.988,-412.0
2023-01-25 09:50:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.2,4.916,-83.8,4.916,-412.0
2023-01-25 15:00:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,161.2,5.111,-245.0,5.044,-1236.0
2023-01-26 00:00:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,310.6,5.306,-555.6,5.191,-2884.0
2023-01-26 09:45:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,586.8,5.617,-1142.4,5.41,-6180.0
2023-01-26 19:00:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,1065.4,5.354,-77.0,5.354,-412.0
2023-01-27 08:00:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,150.7,5.467,-227.7,5.429,-1236.0
2023-01-27 09:05:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,150.8,5.36,-76.9,5.36,-412.0
2023-01-27 10:05:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.9,5.296,-77.8,5.296,-412.0
2023-01-27 22:35:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.9,5.232,-78.7,5.232,-412.0
2023-01-28 01:25:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,153.7,5.361,-232.4,5.317,-1236.0
2023-01-28 21:50:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,154.0,5.253,-78.4,5.253,-412.0
2023-01-29 09:35:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,152.3,5.41,-230.7,5.357,-1236.0
2023-01-30 18:10:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,150.6,5.143,-80.1,5.143,-412.0
2023-01-31 03:45:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2.4,4.993,-82.5,4.993,-412.0
2023-01-31 07:45:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,161.5,5.102,-244.0,5.065,-1236.0
2023-02-01 02:55:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,308.1,5.35,-552.1,5.224,-2884.0
2023-02-01 15:15:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,472.2,5.157,-79.9,5.157,-412.0
2023-02-01 17:15:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.0,5.092,-80.9,5.092,-412.0
2023-02-01 21:55:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,158.0,5.214,-238.9,5.173,-1236.0
2023-02-02 04:30:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,298.8,5.516,-537.7,5.363,-2884.0
2023-02-06 00:05:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,459.9,5.293,-77.8,5.293,-412.0
2023-02-06 01:50:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.9,5.233,-78.7,5.233,-412.0
2023-02-06 09:05:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,153.4,5.373,-232.1,5.326,-1236.0
2023-02-06 13:45:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,153.4,5.238,-78.7,5.238,-412.0
2023-02-07 07:55:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.9,5.114,-80.6,5.114,-412.0
2023-02-07 12:50:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,157.9,5.217,-238.5,5.182,-1236.0
2023-02-07 21:10:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,305.5,5.395,-544.0,5.302,-2884.0
2023-02-09 11:40:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,464.3,5.169,-79.7,5.169,-412.0
2023-02-09 17:00:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,155.7,5.292,-235.4,5.25,-1236.0
2023-02-10 01:00:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,155.3,5.143,-80.1,5.143,-412.0
2023-02-10 04:35:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.2,4.885,-84.3,4.885,-412.0
2023-02-10 05:45:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.9,4.835,-85.2,4.835,-412.0
2023-02-10 07:10:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.3,4.761,-86.5,4.761,-412.0
2023-02-10 16:15:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,169.7,4.858,-256.2,4.825,-1236.0
2023-02-11 11:45:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,325.9,5.056,-582.1,4.954,-2884.0
2023-02-13 06:25:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,498.0,4.898,-84.1,4.898,-412.0
2023-02-13 10:50:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.9,4.848,-85.0,4.848,-412.0
2023-02-13 17:45:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.4,4.766,-86.4,4.766,-412.0
2023-02-14 22:25:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,169.5,4.863,-255.9,4.83,-1236.0
2023-02-14 23:45:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,327.4,5.034,-583.3,4.945,-2884.0
2023-02-16 04:35:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,607.3,5.427,-1190.6,5.191,-6180.0
2023-02-17 02:50:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1126.5,5.852,-2317.1,5.512,-12772.0
2023-02-17 12:00:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2063.8,6.388,-4380.9,5.925,-25956.0
2023-02-17 12:05:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4120.0,6.4,-8500.9,6.155,-52324.0
2023-02-17 18:40:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,7930.2,6.65,-16431.1,6.394,-105060.0
2023-02-18 00:15:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,14493.9,7.277,-30925.0,6.808,-210532.0
2023-02-18 01:20:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,27413.2,7.695,-58338.2,7.225,-421476.0
2023-02-19 13:50:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,50206.8,8.403,-108545.0,7.77,-843364.0
2023-02-19 14:50:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,96233.6,8.768,-204778.6,8.239,-1687140.0
2023-02-19 19:30:00,FILUSDT.BYBIT,Direction.SHORT,Offset.OPEN,183130.9,9.215,-387909.5,8.7,-3374692.0
2023-02-20 02:15:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,193954.7,8.476,-193954.8,8.7,-1687346.0
2023-02-20 02:20:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,135768.4,8.447,-58186.4,8.7,-506204.0
2023-02-20 02:25:00,FILUSDT.BYBIT,Direction.LONG,Offset.CLOSE,58137.5,8.422,-48.9,8.422,-412.0
