datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,LINKUSDT.BYBIT,Direction.LONG,Offset.OPEN,68.2,6.037,68.2,6.037,412.0
2022-12-22 01:50:00,LINKUSDT.BYBIT,Direction.LONG,Offset.OPEN,139.7,5.899,207.9,5.944,1236.0
2022-12-22 17:45:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,139.4,6.014,68.5,6.014,412.0
2022-12-23 01:55:00,LINKUSDT.BYBIT,Direction.LONG,Offset.OPEN,140.0,5.884,208.5,5.927,1236.0
2022-12-23 06:40:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,139.9,6.003,68.6,6.003,412.0
2022-12-28 02:25:00,LINKUSDT.BYBIT,Direction.LONG,Offset.OPEN,140.2,5.878,208.8,5.919,1236.0
2022-12-29 06:05:00,LINKUSDT.BYBIT,Direction.LONG,Offset.OPEN,290.9,5.665,499.7,5.771,2884.0
2023-01-08 14:15:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,429.3,5.85,70.4,5.85,412.0
2023-01-09 07:50:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.7,5.912,69.7,5.912,412.0
2023-01-09 09:10:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.0,5.996,68.7,5.996,412.0
2023-01-09 10:00:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.7,6.058,68.0,6.058,412.0
2023-01-09 13:45:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.7,6.119,67.3,6.119,412.0
2023-01-09 17:50:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.7,6.185,66.6,6.185,412.0
2023-01-10 04:45:00,LINKUSDT.BYBIT,Direction.LONG,Offset.OPEN,136.2,6.05,202.8,6.094,1236.0
2023-01-11 02:40:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,136.3,6.194,66.5,6.194,412.0
2023-01-11 22:25:00,LINKUSDT.BYBIT,Direction.LONG,Offset.OPEN,135.9,6.064,202.4,6.107,1236.0
2023-01-12 07:10:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,135.8,6.182,66.6,6.182,412.0
2023-01-12 08:45:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.3,6.306,65.3,6.306,412.0
2023-01-13 03:55:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.6,6.369,64.7,6.369,412.0
2023-01-14 06:15:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2.0,6.569,62.7,6.569,412.0
2023-01-14 09:25:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.8,6.763,60.9,6.763,412.0
2023-01-14 10:15:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.9,6.872,60.0,6.872,412.0
2023-01-14 15:10:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.9,6.971,59.1,6.971,412.0
2023-01-14 16:50:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.9,7.073,58.2,7.073,412.0
2023-01-14 17:55:00,LINKUSDT.BYBIT,Direction.LONG,Offset.OPEN,123.1,6.695,181.3,6.816,1236.0
2023-01-16 14:15:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,121.6,6.903,59.7,6.903,412.0
