datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,68.2,6.037,-68.2,6.037,-412.0
2022-12-21 02:30:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.9,5.964,-69.1,5.964,-412.0
2022-12-22 01:50:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.7,5.899,-69.8,5.899,-412.0
2022-12-23 11:25:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,136.7,6.029,-206.5,5.985,-1236.0
2022-12-24 15:10:00,LINKUSDT.BYBIT,Direction.LONG,Offset.CLOSE,136.8,5.911,-69.7,5.911,-412.0
2022-12-27 08:00:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,136.6,6.032,-206.3,5.991,-1236.0
2022-12-28 00:25:00,LINKUSDT.BYBIT,Direction.LONG,Offset.CLOSE,136.8,5.926,-69.5,5.926,-412.0
2022-12-28 09:30:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.8,5.861,-70.3,5.861,-412.0
2022-12-28 11:35:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.8,5.795,-71.1,5.795,-412.0
2022-12-28 14:10:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.8,5.73,-71.9,5.73,-412.0
2022-12-29 06:05:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.8,5.665,-72.7,5.665,-412.0
2022-12-29 10:30:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.8,5.604,-73.5,5.604,-412.0
2022-12-30 05:40:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.8,5.542,-74.3,5.542,-412.0
2022-12-30 16:00:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.2,5.46,-75.5,5.46,-412.0
2022-12-31 20:00:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,147.8,5.572,-223.3,5.534,-1236.0
2023-01-04 11:45:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,285.7,5.769,-509.0,5.666,-2884.0
2023-01-06 14:00:00,LINKUSDT.BYBIT,Direction.LONG,Offset.CLOSE,435.5,5.606,-73.5,5.606,-412.0
2023-01-07 10:20:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,142.5,5.784,-216.0,5.723,-1236.0
2023-01-09 09:10:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,274.8,5.996,-490.8,5.876,-2884.0
2023-01-12 12:50:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,518.3,6.359,-1009.1,6.124,-6180.0
2023-01-14 09:25:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,974.7,6.763,-1983.8,6.438,-12772.0
2023-01-14 15:10:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1891.3,6.971,-3875.1,6.698,-25956.0
2023-01-16 16:50:00,LINKUSDT.BYBIT,Direction.LONG,Offset.CLOSE,3812.9,6.622,-62.2,6.622,-412.0
2023-01-16 23:20:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.8,6.537,-63.0,6.537,-412.0
2023-01-17 03:40:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,121.9,6.763,-184.9,6.686,-1236.0
2023-01-18 11:20:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,236.8,6.957,-421.7,6.838,-2884.0
2023-01-18 17:30:00,LINKUSDT.BYBIT,Direction.LONG,Offset.CLOSE,360.8,6.769,-60.9,6.769,-412.0
2023-01-19 00:55:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,3.4,6.41,-64.3,6.41,-412.0
2023-01-21 01:25:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,124.7,6.607,-189.0,6.54,-1236.0
2023-01-21 05:10:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,241.0,6.837,-430.0,6.706,-2884.0
2023-01-25 08:35:00,LINKUSDT.BYBIT,Direction.LONG,Offset.CLOSE,367.9,6.637,-62.1,6.637,-412.0
2023-01-25 15:20:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,121.6,6.773,-183.7,6.727,-1236.0
2023-01-26 06:30:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,234.7,7.023,-418.4,6.893,-2884.0
2023-01-28 05:25:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,442.3,7.451,-860.7,7.18,-6180.0
2023-01-30 17:45:00,LINKUSDT.BYBIT,Direction.LONG,Offset.CLOSE,802.3,7.058,-58.4,7.058,-412.0
2023-01-31 03:50:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.5,6.881,-59.9,6.881,-412.0
2023-02-01 00:50:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,117.3,7.026,-177.2,6.977,-1236.0
2023-02-01 06:10:00,LINKUSDT.BYBIT,Direction.LONG,Offset.CLOSE,117.5,6.904,-59.7,6.904,-412.0
2023-02-01 16:40:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.6,6.832,-60.3,6.832,-412.0
2023-02-02 01:15:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.8,6.747,-61.1,6.747,-412.0
2023-02-02 05:40:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,114.8,7.173,-175.9,7.025,-1236.0
2023-02-02 09:25:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,225.6,7.307,-401.5,7.183,-2884.0
2023-02-03 10:55:00,LINKUSDT.BYBIT,Direction.LONG,Offset.CLOSE,343.1,7.055,-58.4,7.055,-412.0
2023-02-03 19:00:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,114.4,7.2,-172.8,7.151,-1236.0
2023-02-05 21:30:00,LINKUSDT.BYBIT,Direction.LONG,Offset.CLOSE,114.0,7.012,-58.8,7.012,-412.0
2023-02-06 05:20:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.7,6.929,-59.5,6.929,-412.0
2023-02-07 07:45:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.0,6.815,-60.5,6.815,-412.0
2023-02-07 14:35:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,118.4,6.958,-178.9,6.91,-1236.0
2023-02-08 07:35:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,229.2,7.191,-408.1,7.068,-2884.0
2023-02-09 11:40:00,LINKUSDT.BYBIT,Direction.LONG,Offset.CLOSE,348.8,6.951,-59.3,6.951,-412.0
2023-02-09 17:05:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,107.2,7.684,-166.5,7.423,-1236.0
2023-02-09 17:20:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,213.5,7.721,-380.0,7.59,-2884.0
2023-02-10 04:00:00,LINKUSDT.BYBIT,Direction.LONG,Offset.CLOSE,323.8,7.325,-56.2,7.325,-412.0
2023-02-10 04:35:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.6,7.249,-56.8,7.249,-412.0
2023-02-10 06:05:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.3,7.096,-58.1,7.096,-412.0
2023-02-10 07:20:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.9,6.983,-59.0,6.983,-412.0
2023-02-10 13:35:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.1,6.856,-60.1,6.856,-412.0
2023-02-11 04:05:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,117.7,7.0,-177.8,6.951,-1236.0
2023-02-11 06:35:00,LINKUSDT.BYBIT,Direction.LONG,Offset.CLOSE,117.9,6.875,-59.9,6.875,-412.0
2023-02-12 07:40:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,117.5,7.016,-177.4,6.968,-1236.0
2023-02-13 06:30:00,LINKUSDT.BYBIT,Direction.LONG,Offset.CLOSE,116.7,6.786,-60.7,6.786,-412.0
2023-02-13 10:45:00,LINKUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.0,6.676,-61.7,6.676,-412.0
