datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,LTCUSDT.BYBIT,Direction.LONG,Offset.OPEN,6.3,65.17,6.3,65.17,411.0
2022-12-21 10:45:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,66.44,6.2,66.44,412.0
2022-12-21 12:45:00,LTCUSDT.BYBIT,Direction.LONG,Offset.OPEN,12.7,65.0,18.9,65.47,1237.0
2022-12-22 16:35:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,12.7,66.33,6.2,66.33,411.0
2022-12-23 00:15:00,LTCUSDT.BYBIT,Direction.LONG,Offset.OPEN,12.7,64.7,18.9,65.23,1233.0
2022-12-23 07:30:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,12.7,65.93,6.2,65.93,409.0
2022-12-26 07:00:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.2,68.55,6.0,68.55,411.0
2022-12-26 19:15:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.2,70.46,5.8,70.46,409.0
2022-12-28 02:25:00,LTCUSDT.BYBIT,Direction.LONG,Offset.OPEN,12.0,68.88,17.8,69.39,1235.0
2022-12-29 06:50:00,LTCUSDT.BYBIT,Direction.LONG,Offset.OPEN,25.0,66.04,42.8,67.44,2886.0
2022-12-31 05:15:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,36.8,68.13,6.0,68.13,409.0
2022-12-31 22:15:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.2,70.53,5.8,70.53,409.0
2023-01-02 16:55:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.3,75.43,5.5,75.43,415.0
2023-01-04 09:40:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,76.28,5.4,76.28,412.0
2023-01-04 11:20:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,77.06,5.3,77.06,408.0
2023-01-05 03:55:00,LTCUSDT.BYBIT,Direction.LONG,Offset.OPEN,11.0,75.13,16.3,75.76,1235.0
2023-01-09 09:25:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11.2,80.88,5.1,80.88,412.0
2023-01-09 10:20:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,81.94,5.0,81.94,410.0
2023-01-10 04:55:00,LTCUSDT.BYBIT,Direction.LONG,Offset.OPEN,10.1,80.97,15.1,81.6,1232.0
2023-01-11 15:30:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,10.1,83.22,5.0,83.22,416.0
2023-01-11 21:55:00,LTCUSDT.BYBIT,Direction.LONG,Offset.OPEN,10.1,81.49,15.1,82.06,1239.0
2023-01-12 07:45:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,10.2,83.86,4.9,83.86,411.0
2023-01-12 09:25:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.1,85.05,4.8,85.05,408.0
2023-01-12 23:00:00,LTCUSDT.BYBIT,Direction.LONG,Offset.OPEN,9.9,83.26,14.7,83.84,1233.0
2023-01-13 02:20:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9.8,84.89,4.9,84.89,416.0
