datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,6.3,65.17,-6.3,65.17,-411.0
2022-12-23 02:05:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,64.47,-6.4,64.47,-413.0
2022-12-23 06:40:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,12.5,65.78,-18.9,65.34,-1235.0
2022-12-26 07:00:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,24.1,68.55,-43.0,67.14,-2887.0
2022-12-29 06:50:00,LTCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,36.8,66.04,-6.2,66.04,-409.0
2022-12-31 00:10:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,12.2,67.64,-18.4,67.1,-1235.0
2022-12-31 22:15:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,23.4,70.53,-41.8,69.02,-2885.0
2023-01-02 16:55:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,43.7,75.43,-85.5,72.3,-6181.0
2023-01-09 09:25:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,81.5,80.88,-167.0,76.49,-12773.0
2023-01-09 18:40:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,159.4,82.7,-326.4,79.52,-25955.0
2023-01-13 08:05:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,306.8,85.94,-633.2,82.63,-52322.0
2023-01-14 09:25:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,590.8,89.27,-1224.0,85.84,-105063.0
2023-01-19 00:45:00,LTCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,612.0,83.44,-612.0,85.84,-52531.0
2023-01-19 00:50:00,LTCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,428.4,83.34,-183.6,85.84,-15759.0
2023-01-19 08:05:00,LTCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,178.6,82.97,-5.0,82.97,-415.0
2023-01-20 20:40:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.7,84.65,-14.7,84.08,-1236.0
2023-01-21 02:35:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,18.8,87.5,-33.5,86.0,-2881.0
2023-01-29 09:50:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,34.5,95.52,-68.0,90.83,-6176.0
2023-01-31 04:35:00,LTCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,63.4,89.68,-4.6,89.68,-413.0
2023-01-31 08:35:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.0,91.83,-13.6,91.1,-1239.0
2023-01-31 11:50:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,17.2,95.37,-30.8,93.49,-2879.0
2023-02-02 06:50:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,32.7,101.06,-63.5,97.39,-6184.0
2023-02-06 02:10:00,LTCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,59.2,95.81,-4.3,95.81,-412.0
2023-02-07 12:00:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,8.3,99.27,-12.6,98.09,-1236.0
2023-02-09 11:50:00,LTCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,8.3,95.93,-4.3,95.93,-412.0
2023-02-10 04:30:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.2,91.34,-4.5,91.34,-411.0
2023-02-11 04:00:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,8.8,93.64,-13.3,92.86,-1235.0
2023-02-13 06:25:00,LTCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,8.8,91.88,-4.5,91.88,-413.0
2023-02-14 02:05:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,89.09,-4.6,89.09,-410.0
2023-02-14 08:00:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.1,91.04,-13.7,90.39,-1238.0
2023-02-14 23:30:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,17.4,94.69,-31.1,92.79,-2886.0
2023-02-16 05:30:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,32.4,101.74,-63.5,97.36,-6182.0
2023-02-20 21:15:00,LTCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,59.2,96.33,-4.3,96.33,-414.0
2023-02-21 17:25:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,94.06,-4.4,94.06,-414.0
2023-02-22 11:20:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,8.7,94.75,-13.1,94.12,-1233.0
2023-02-22 23:50:00,LTCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,8.6,92.23,-4.5,92.23,-415.0
2023-02-23 08:05:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,8.6,95.13,-13.1,94.13,-1233.0
2023-02-24 22:20:00,LTCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,8.7,93.03,-4.4,93.03,-409.0
2023-02-25 00:35:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,90.93,-4.5,90.93,-409.0
2023-02-26 07:30:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,8.9,93.16,-13.4,92.41,-1238.0
2023-03-01 12:45:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,17.1,96.27,-30.5,94.57,-2885.0
2023-03-03 10:55:00,LTCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,25.9,88.63,-4.6,88.63,-408.0
2023-03-04 08:10:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.2,90.49,-13.8,89.87,-1240.0
2023-03-05 04:35:00,LTCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,9.2,88.76,-4.6,88.76,-408.0
2023-03-05 10:00:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.1,91.3,-13.7,90.45,-1239.0
2023-03-06 10:35:00,LTCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,9.1,88.79,-4.6,88.79,-408.0
2023-03-06 16:30:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,87.87,-4.7,87.87,-413.0
2023-03-07 18:15:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,86.55,-4.8,86.55,-415.0
2023-03-08 14:15:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,84.82,-4.9,84.82,-416.0
2023-03-09 07:00:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,82.47,-5.0,82.47,-412.0
2023-03-09 22:25:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.8,84.43,-14.8,83.77,-1240.0
2023-03-10 03:15:00,LTCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,9.7,81.39,-5.1,81.39,-415.0
2023-03-10 05:20:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.3,76.96,-5.4,76.96,-416.0
2023-03-10 09:30:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,74.92,-5.5,74.92,-412.0
2023-03-10 15:20:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,73.4,-5.6,73.4,-411.0
2023-03-10 18:15:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.2,70.92,-5.8,70.92,-411.0
2023-03-10 19:00:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,69.67,-5.9,69.67,-411.0
2023-03-10 22:05:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,11.5,71.55,-17.4,70.91,-1234.0
2023-03-10 23:00:00,LTCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,11.5,70.13,-5.9,70.13,-414.0
2023-03-11 04:30:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,11.5,71.55,-17.4,71.07,-1237.0
2023-03-11 17:20:00,LTCUSDT.BYBIT,Direction.LONG,Offset.CLOSE,11.2,66.88,-6.2,66.88,-415.0
2023-03-12 01:25:00,LTCUSDT.BYBIT,Direction.SHORT,Offset.OPEN,12.0,68.34,-18.2,67.84,-1235.0
