datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,518.0,0.7961,518.0,0.7961,412.0
2022-12-22 23:15:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,1058.0,0.7787,1576.0,0.7844,1236.0
2022-12-23 05:05:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1056.0,0.7924,520.0,0.7924,412.0
2022-12-23 11:30:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,7.0,0.8033,513.0,0.8033,412.0
2022-12-27 07:45:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,6.0,0.8125,507.0,0.8125,412.0
2022-12-28 11:45:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,1039.0,0.7931,1546.0,0.7995,1236.0
2022-12-30 12:55:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,2154.0,0.7652,3700.0,0.7795,2884.0
2023-01-04 11:25:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,3187.0,0.8029,513.0,0.8029,412.0
2023-01-05 02:55:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,5.0,0.8114,508.0,0.8114,412.0
2023-01-05 22:05:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,1037.0,0.7945,1545.0,0.8001,1236.0
2023-01-07 10:45:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1036.0,0.8089,509.0,0.8089,412.0
2023-01-09 05:35:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,7.0,0.8206,502.0,0.8206,412.0
2023-01-09 07:50:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,10.0,0.838,492.0,0.838,412.0
2023-01-09 10:00:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,5.0,0.8465,487.0,0.8465,412.0
2023-01-09 10:45:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,6.0,0.8565,481.0,0.8565,412.0
2023-01-10 00:15:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,6.0,0.8665,475.0,0.8665,412.0
2023-01-10 04:55:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,979.0,0.8424,1454.0,0.8503,1236.0
2023-01-11 09:20:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,975.0,0.8593,479.0,0.8593,412.0
2023-01-12 08:00:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,17.0,0.8913,462.0,0.8913,412.0
2023-01-12 23:05:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,944.0,0.8734,1406.0,0.8793,1236.0
2023-01-13 02:25:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,952.0,0.9082,454.0,0.9082,412.0
2023-01-13 13:00:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,5.0,0.9173,449.0,0.9173,412.0
2023-01-13 21:20:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,917.0,0.8985,1366.0,0.9047,1236.0
2023-01-14 04:20:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,915.0,0.9141,451.0,0.9141,412.0
2023-01-14 06:20:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,10.0,0.9344,441.0,0.9344,412.0
2023-01-14 09:25:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,15.0,0.968,426.0,0.968,412.0
2023-01-14 10:15:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,5.0,0.9793,421.0,0.9793,412.0
2023-01-14 15:05:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11.0,1.0061,410.0,1.0061,413.0
2023-01-14 17:05:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,12.0,1.0352,398.0,1.0352,412.0
2023-01-14 18:20:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,843.0,0.9779,1241.0,0.9963,1236.0
2023-01-16 10:45:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,841.0,1.0312,400.0,1.0312,412.0
2023-01-16 16:45:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,832.0,0.9899,1232.0,1.0033,1236.0
2023-01-17 04:10:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,826.0,1.014,406.0,1.014,412.0
2023-01-17 08:30:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,4.0,1.0248,402.0,1.0248,412.0
2023-01-17 09:50:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,821.0,1.0039,1223.0,1.0108,1236.0
2023-01-18 04:15:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,819.0,1.0209,404.0,1.0209,412.0
2023-01-18 08:05:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,824.0,0.9999,1228.0,1.0068,1236.0
2023-01-19 00:55:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,1743.0,0.9452,2971.0,0.9707,2884.0
2023-01-21 02:15:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2551.0,0.9806,420.0,0.9806,412.0
2023-01-21 04:45:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9.0,1.0014,411.0,1.0014,412.0
2023-01-21 06:30:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,4.0,1.0132,407.0,1.0132,412.0
2023-01-21 08:10:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,5.0,1.024,402.0,1.024,412.0
2023-01-22 08:00:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,830.0,0.9928,1232.0,1.003,1236.0
2023-01-22 23:20:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,828.0,1.02,404.0,1.02,412.0
2023-01-23 05:30:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,839.0,0.9825,1243.0,0.9947,1236.0
2023-01-23 08:55:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,833.0,1.0055,410.0,1.0055,412.0
2023-01-24 16:45:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11.0,1.0313,399.0,1.0313,411.0
2023-01-24 22:05:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,821.0,1.0039,1220.0,1.0129,1236.0
2023-01-25 07:25:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,1719.0,0.9587,2939.0,0.9812,2884.0
2023-01-26 06:10:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2525.0,0.994,414.0,0.994,412.0
2023-01-26 06:40:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,4.0,1.0051,410.0,1.0051,412.0
2023-01-26 21:25:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,7.0,1.022,403.0,1.022,412.0
2023-01-26 22:40:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,20.0,1.0758,383.0,1.0758,412.0
2023-01-26 23:35:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,5.0,1.0906,378.0,1.0906,412.0
2023-01-27 07:05:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,4.0,1.103,374.0,1.103,413.0
2023-01-27 10:00:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,763.0,1.079,1137.0,1.0869,1236.0
2023-01-27 14:05:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,762.0,1.0996,375.0,1.0996,412.0
2023-01-27 19:35:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,766.0,1.0751,1141.0,1.0832,1236.0
2023-01-27 21:20:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,765.0,1.0944,376.0,1.0944,411.0
2023-01-27 23:30:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,14.0,1.1394,362.0,1.1394,412.0
2023-01-28 01:20:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9.0,1.1673,353.0,1.1673,412.0
2023-01-28 14:45:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,721.0,1.1434,1074.0,1.1513,1236.0
2023-01-28 23:00:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,1497.0,1.1008,2571.0,1.1219,2884.0
2023-01-29 00:30:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2213.0,1.1518,358.0,1.1518,412.0
2023-01-29 19:00:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,4.0,1.1634,354.0,1.1634,412.0
2023-01-29 20:05:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,4.0,1.1767,350.0,1.1767,412.0
2023-01-30 15:45:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,716.0,1.1515,1066.0,1.1598,1236.0
2023-01-30 21:05:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,1481.0,1.1127,2547.0,1.1324,2884.0
2023-02-02 05:40:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2195.0,1.1721,352.0,1.1721,413.0
2023-02-02 07:35:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,7.0,1.1955,345.0,1.1955,412.0
2023-02-02 09:05:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,12.0,1.2378,333.0,1.2378,412.0
2023-02-03 06:40:00,MATICUSDT.BYBIT,Direction.LONG,Offset.OPEN,693.0,1.1885,1026.0,1.2045,1236.0
2023-02-03 23:50:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,691.0,1.2284,335.0,1.2284,412.0
