datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.OPEN,518.0,0.7961,-518.0,0.7961,-412.0
2022-12-22 04:35:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.OPEN,5.0,0.7875,-523.0,0.7875,-412.0
2022-12-22 23:15:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.OPEN,6.0,0.7787,-529.0,0.7787,-412.0
2022-12-23 06:20:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1036.0,0.7955,-1565.0,0.7898,-1236.0
2022-12-28 14:15:00,MATICUSDT.BYBIT,Direction.LONG,Offset.CLOSE,1038.0,0.7816,-527.0,0.7816,-412.0
2022-12-30 05:00:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.OPEN,6.0,0.7734,-533.0,0.7734,-412.0
2022-12-30 12:55:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.OPEN,5.0,0.7652,-538.0,0.7652,-412.0
2022-12-30 16:05:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.0,0.7528,-547.0,0.7528,-412.0
2022-12-31 22:45:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1072.0,0.7691,-1619.0,0.7636,-1236.0
2023-01-01 09:20:00,MATICUSDT.BYBIT,Direction.LONG,Offset.CLOSE,1070.0,0.7505,-549.0,0.7505,-412.0
2023-01-02 16:45:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1059.0,0.7782,-1608.0,0.7687,-1236.0
2023-01-04 11:25:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2052.0,0.8029,-3660.0,0.7879,-2884.0
2023-01-06 14:05:00,MATICUSDT.BYBIT,Direction.LONG,Offset.CLOSE,3132.0,0.78,-528.0,0.78,-412.0
2023-01-07 04:05:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1035.0,0.7961,-1563.0,0.7907,-1236.0
2023-01-09 07:50:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1967.0,0.838,-3530.0,0.817,-2884.0
2023-01-12 08:00:00,MATICUSDT.BYBIT,Direction.SHORT,Offset.OPEN,3698.0,0.8913,-7228.0,0.855,-6180.0
