datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,NEARUSDT.BYBIT,Direction.LONG,Offset.OPEN,310.5,1.327,310.5,1.327,412.0
2022-12-21 04:00:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,3.3,1.341,307.2,1.341,412.0
2022-12-21 13:10:00,NEARUSDT.BYBIT,Direction.LONG,Offset.OPEN,632.9,1.302,940.1,1.315,1236.0
2022-12-23 10:40:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,631.9,1.337,308.2,1.337,412.0
2022-12-23 19:15:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,3.7,1.353,304.5,1.353,412.0
2022-12-25 14:05:00,NEARUSDT.BYBIT,Direction.LONG,Offset.OPEN,622.4,1.324,926.9,1.334,1236.0
2022-12-26 10:35:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,621.9,1.351,305.0,1.351,412.0
2022-12-27 08:20:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,3.4,1.366,301.6,1.366,412.0
2022-12-28 03:30:00,NEARUSDT.BYBIT,Direction.LONG,Offset.OPEN,617.7,1.334,919.3,1.344,1236.0
2022-12-28 07:40:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,615.9,1.358,303.4,1.358,412.0
2022-12-28 14:10:00,NEARUSDT.BYBIT,Direction.LONG,Offset.OPEN,627.1,1.314,930.5,1.328,1236.0
2022-12-30 05:50:00,NEARUSDT.BYBIT,Direction.LONG,Offset.OPEN,1296.6,1.271,2227.1,1.295,2884.0
2023-01-02 16:45:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1912.6,1.31,314.5,1.31,412.0
2023-01-03 15:25:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,3.6,1.325,310.9,1.325,412.0
2023-01-03 18:05:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,4.8,1.346,306.1,1.346,412.0
2023-01-04 02:40:00,NEARUSDT.BYBIT,Direction.LONG,Offset.OPEN,630.0,1.308,936.1,1.32,1236.0
2023-01-04 09:50:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,632.5,1.357,303.6,1.357,412.0
2023-01-04 11:25:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,12.6,1.416,291.0,1.416,412.0
2023-01-04 15:00:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9.4,1.463,281.6,1.463,412.0
2023-01-04 18:30:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,8.9,1.511,272.7,1.511,412.0
2023-01-04 21:35:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,3.6,1.531,269.1,1.531,412.0
2023-01-05 00:20:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,8.2,1.579,260.9,1.579,412.0
2023-01-05 02:15:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2.6,1.595,258.3,1.595,412.0
2023-01-05 03:40:00,NEARUSDT.BYBIT,Direction.LONG,Offset.OPEN,527.2,1.563,785.5,1.574,1236.0
2023-01-05 12:40:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,528.5,1.603,257.0,1.603,412.0
2023-01-05 16:05:00,NEARUSDT.BYBIT,Direction.LONG,Offset.OPEN,524.9,1.57,781.9,1.581,1236.0
2023-01-06 12:50:00,NEARUSDT.BYBIT,Direction.LONG,Offset.OPEN,1086.3,1.517,1868.2,1.544,2884.0
2023-01-07 07:30:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1608.9,1.589,259.3,1.589,412.0
2023-01-07 17:20:00,NEARUSDT.BYBIT,Direction.LONG,Offset.OPEN,530.9,1.552,790.2,1.564,1236.0
