datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.OPEN,310.5,1.327,-310.5,1.327,-412.0
2022-12-21 13:10:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.OPEN,5.9,1.302,-316.4,1.302,-412.0
2022-12-22 02:50:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.OPEN,3.5,1.288,-319.9,1.288,-412.0
2022-12-22 09:20:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.OPEN,626.6,1.315,-946.5,1.306,-1236.0
2022-12-22 23:15:00,NEARUSDT.BYBIT,Direction.LONG,Offset.CLOSE,626.9,1.289,-319.6,1.289,-412.0
2022-12-23 02:40:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.OPEN,3.3,1.276,-322.9,1.276,-412.0
2022-12-23 05:05:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.OPEN,631.9,1.304,-954.8,1.295,-1236.0
2022-12-23 11:50:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1220.7,1.35,-2175.5,1.326,-2884.0
2022-12-25 22:50:00,NEARUSDT.BYBIT,Direction.LONG,Offset.CLOSE,1861.0,1.31,-314.5,1.31,-412.0
2022-12-26 10:35:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.OPEN,609.9,1.351,-924.4,1.337,-1236.0
2022-12-28 14:10:00,NEARUSDT.BYBIT,Direction.LONG,Offset.CLOSE,610.9,1.314,-313.5,1.314,-412.0
2022-12-30 05:10:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.OPEN,9.4,1.276,-322.9,1.276,-412.0
2022-12-30 16:50:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.OPEN,3.8,1.261,-326.7,1.261,-412.0
2023-01-01 09:40:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.5,1.244,-331.2,1.244,-412.0
2023-01-02 02:45:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.OPEN,646.3,1.275,-977.5,1.264,-1236.0
2023-01-02 21:35:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1252.2,1.316,-2229.7,1.293,-2884.0
2023-01-04 11:25:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2327.7,1.416,-4557.4,1.356,-6180.0
2023-01-04 15:05:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4499.7,1.465,-9057.1,1.41,-12772.0
2023-01-04 21:35:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.OPEN,8611.3,1.531,-17668.4,1.469,-25956.0
2023-01-05 01:20:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.OPEN,16604.6,1.588,-34273.0,1.527,-52324.0
2023-01-06 14:05:00,NEARUSDT.BYBIT,Direction.LONG,Offset.CLOSE,23991.1,1.51,-10281.9,1.527,-15697.0
2023-01-09 08:50:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.OPEN,53192.1,1.68,-63474.0,1.655,-105060.0
2023-01-10 07:30:00,NEARUSDT.BYBIT,Direction.LONG,Offset.CLOSE,31737.0,1.637,-31737.0,1.655,-52530.0
2023-01-10 11:15:00,NEARUSDT.BYBIT,Direction.LONG,Offset.CLOSE,22215.9,1.61,-9521.1,1.655,-15759.0
2023-01-11 13:10:00,NEARUSDT.BYBIT,Direction.LONG,Offset.CLOSE,9263.1,1.597,-258.0,1.597,-412.0
2023-01-11 22:25:00,NEARUSDT.BYBIT,Direction.SHORT,Offset.OPEN,3.8,1.574,-261.8,1.574,-412.0
