datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,SANDUSDT.BYBIT,Direction.LONG,Offset.OPEN,924.0,0.446,924.0,0.446,412.0
2022-12-21 07:35:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11.0,0.4512,913.0,0.4512,412.0
2022-12-21 13:20:00,SANDUSDT.BYBIT,Direction.LONG,Offset.OPEN,1884.0,0.4375,2797.0,0.442,1236.0
2022-12-22 10:05:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1874.0,0.4466,923.0,0.4466,412.0
2022-12-23 00:05:00,SANDUSDT.BYBIT,Direction.LONG,Offset.OPEN,1921.0,0.4289,2844.0,0.4346,1236.0
2022-12-23 06:30:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1914.0,0.443,930.0,0.443,412.0
2022-12-23 12:00:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,13.0,0.4493,917.0,0.4493,412.0
2022-12-24 02:30:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,12.0,0.455,905.0,0.455,412.0
2022-12-25 14:05:00,SANDUSDT.BYBIT,Direction.LONG,Offset.OPEN,1863.0,0.4425,2768.0,0.4466,1236.0
2022-12-28 11:30:00,SANDUSDT.BYBIT,Direction.LONG,Offset.OPEN,3863.0,0.4266,6631.0,0.4349,2884.0
2022-12-30 05:10:00,SANDUSDT.BYBIT,Direction.LONG,Offset.OPEN,8352.0,0.3946,14983.0,0.4125,6180.0
2023-01-01 12:40:00,SANDUSDT.BYBIT,Direction.LONG,Offset.OPEN,17398.0,0.3789,32381.0,0.3944,12772.0
2023-01-02 16:45:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,31360.0,0.4036,1021.0,0.4036,412.0
2023-01-03 00:05:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,15.0,0.4096,1006.0,0.4096,412.0
2023-01-04 08:00:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,14.0,0.4154,992.0,0.4154,412.0
2023-01-04 10:30:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,28.0,0.4274,964.0,0.4274,412.0
2023-01-04 13:05:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,18.0,0.4355,946.0,0.4355,412.0
2023-01-05 11:00:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11.0,0.4406,935.0,0.4406,412.0
2023-01-05 17:15:00,SANDUSDT.BYBIT,Direction.LONG,Offset.OPEN,1911.0,0.4313,2846.0,0.4344,1236.0
2023-01-06 13:00:00,SANDUSDT.BYBIT,Direction.LONG,Offset.OPEN,3957.0,0.4164,6803.0,0.4239,2884.0
2023-01-07 07:25:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,5848.0,0.4312,955.0,0.4312,412.0
2023-01-07 09:35:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,55.0,0.4576,900.0,0.4576,412.0
2023-01-07 10:40:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11.0,0.4633,889.0,0.4633,412.0
2023-01-07 13:25:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11.0,0.4693,878.0,0.4693,412.0
2023-01-07 22:55:00,SANDUSDT.BYBIT,Direction.LONG,Offset.OPEN,1812.0,0.4548,2690.0,0.4595,1236.0
2023-01-08 23:20:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1803.0,0.4643,887.0,0.4643,412.0
2023-01-09 00:00:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,10.0,0.47,877.0,0.47,412.0
2023-01-09 04:55:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,48.0,0.4968,829.0,0.4968,412.0
