datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.OPEN,924.0,0.446,-924.0,0.446,-412.0
2022-12-21 13:20:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.OPEN,18.0,0.4375,-942.0,0.4375,-412.0
2022-12-22 04:25:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.OPEN,11.0,0.4325,-953.0,0.4325,-412.0
2022-12-22 09:30:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1852.0,0.4448,-2805.0,0.4406,-1236.0
2022-12-23 00:05:00,SANDUSDT.BYBIT,Direction.LONG,Offset.CLOSE,1844.0,0.4289,-961.0,0.4289,-412.0
2022-12-23 02:05:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.OPEN,10.0,0.4241,-971.0,0.4241,-412.0
2022-12-23 05:10:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1882.0,0.4379,-2853.0,0.4332,-1236.0
2022-12-24 01:45:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.OPEN,3640.0,0.4528,-6493.0,0.4442,-2884.0
2022-12-25 22:50:00,SANDUSDT.BYBIT,Direction.LONG,Offset.CLOSE,5553.0,0.4382,-940.0,0.4382,-412.0
2022-12-27 18:40:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1843.0,0.4471,-2783.0,0.4441,-1236.0
2022-12-28 02:25:00,SANDUSDT.BYBIT,Direction.LONG,Offset.CLOSE,1837.0,0.4356,-946.0,0.4356,-412.0
2022-12-28 11:30:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.OPEN,20.0,0.4266,-966.0,0.4266,-412.0
2022-12-28 14:10:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.OPEN,24.0,0.416,-990.0,0.416,-412.0
2022-12-29 06:30:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.OPEN,18.0,0.4088,-1008.0,0.4088,-412.0
2022-12-29 10:35:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.OPEN,11.0,0.4043,-1019.0,0.4043,-412.0
2022-12-30 05:10:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.OPEN,25.0,0.3946,-1044.0,0.3946,-412.0
2022-12-30 14:35:00,SANDUSDT.BYBIT,Direction.SHORT,Offset.OPEN,20.0,0.3873,-1064.0,0.3873,-412.0
