datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-02-01 00:45:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.2,97.84,-4.2,97.84,-411.0
2022-02-01 06:40:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.OPEN,8.3,99.805,-12.5,99.145,-1239.0
2022-02-01 12:15:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.OPEN,15.4,106.477,-27.9,103.192,-2879.0
2022-02-02 01:10:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.OPEN,29.5,111.751,-57.4,107.591,-6176.0
2022-02-02 23:20:00,SOLUSDT.BYBIT,Direction.LONG,Offset.CLOSE,53.5,106.104,-3.9,106.104,-414.0
2022-02-03 03:50:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.OPEN,7.5,110.665,-11.4,108.727,-1239.0
2022-02-03 06:00:00,SOLUSDT.BYBIT,Direction.LONG,Offset.CLOSE,7.3,100.412,-4.1,100.412,-412.0
2022-02-03 06:25:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,99.221,-4.2,99.221,-417.0
2022-02-03 07:10:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.OPEN,8.1,101.653,-12.3,100.823,-1240.0
2022-02-03 10:30:00,SOLUSDT.BYBIT,Direction.LONG,Offset.CLOSE,8.1,99.095,-4.2,99.095,-416.0
2022-02-03 18:35:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.1,95.159,-4.3,95.159,-409.0
2022-02-03 23:45:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.OPEN,8.5,97.635,-12.8,96.803,-1239.0
2022-02-04 08:15:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.OPEN,16.3,100.936,-29.1,99.118,-2884.0
2022-02-04 23:45:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.OPEN,30.8,107.117,-59.9,103.231,-6184.0
2022-02-05 08:20:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.OPEN,59.0,111.65,-118.9,107.409,-12771.0
2022-02-05 13:55:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.OPEN,113.4,116.312,-232.3,111.755,-25961.0
2022-02-08 00:15:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.OPEN,218.1,120.856,-450.4,116.162,-52319.0
2022-02-08 16:50:00,SOLUSDT.BYBIT,Direction.LONG,Offset.CLOSE,315.3,114.848,-135.1,116.162,-15693.0
2022-02-08 20:55:00,SOLUSDT.BYBIT,Direction.LONG,Offset.CLOSE,131.4,112.563,-3.7,112.563,-416.0
2022-02-09 07:45:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.OPEN,7.2,113.786,-10.9,112.944,-1231.0
2022-02-09 10:50:00,SOLUSDT.BYBIT,Direction.LONG,Offset.CLOSE,7.2,111.307,-3.7,111.307,-412.0
2022-02-09 21:30:00,SOLUSDT.BYBIT,Direction.SHORT,Offset.OPEN,7.1,115.309,-10.8,113.938,-1231.0
