datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-22 00:50:00,SUSHIUSDT.BYBIT,Direction.LONG,Offset.OPEN,432.8,0.952,432.8,0.952,412.0
2022-12-22 06:35:00,SUSHIUSDT.BYBIT,Direction.LONG,Offset.OPEN,890.8,0.925,1323.6,0.934,1236.0
2022-12-22 09:45:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,887.6,0.945,436.0,0.945,412.0
2022-12-22 13:35:00,SUSHIUSDT.BYBIT,Direction.LONG,Offset.OPEN,892.7,0.923,1328.7,0.93,1236.0
2022-12-22 20:20:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,890.9,0.941,437.8,0.941,412.0
2022-12-23 00:25:00,SUSHIUSDT.BYBIT,Direction.LONG,Offset.OPEN,901.6,0.914,1339.4,0.923,1236.0
2022-12-23 06:40:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,902.5,0.943,436.9,0.943,412.0
2022-12-23 11:25:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,5.5,0.955,431.4,0.955,412.0
2022-12-25 19:10:00,SUSHIUSDT.BYBIT,Direction.LONG,Offset.OPEN,887.0,0.929,1318.4,0.938,1236.0
2022-12-26 18:00:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,883.8,0.948,434.6,0.948,412.0
2022-12-26 22:00:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,4.5,0.958,430.1,0.958,412.0
2022-12-27 01:00:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,4.5,0.968,425.6,0.968,412.0
2022-12-27 02:45:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,4.8,0.979,420.8,0.979,412.0
2022-12-27 16:00:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,4.6,0.99,416.2,0.99,412.0
2022-12-27 21:35:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,4.6,1.001,411.6,1.001,412.0
2022-12-27 23:30:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,5.3,1.014,406.3,1.014,412.0
