datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-22 00:50:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,432.8,0.952,-432.8,0.952,-412.0
2022-12-22 03:45:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.6,0.942,-437.4,0.942,-412.0
2022-12-22 06:35:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,8.0,0.925,-445.4,0.925,-412.0
2022-12-22 09:45:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,872.0,0.945,-1317.4,0.938,-1236.0
2022-12-22 13:35:00,SUSHIUSDT.BYBIT,Direction.LONG,Offset.CLOSE,871.0,0.923,-446.4,0.923,-412.0
2022-12-23 02:30:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,6.8,0.909,-453.2,0.909,-412.0
2022-12-23 05:05:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,885.1,0.931,-1338.3,0.924,-1236.0
2022-12-26 22:50:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1714.9,0.961,-3053.2,0.945,-2884.0
2022-12-30 04:45:00,SUSHIUSDT.BYBIT,Direction.LONG,Offset.CLOSE,2610.2,0.93,-443.0,0.93,-412.0
2022-12-30 06:05:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4.8,0.92,-447.8,0.92,-412.0
2022-12-30 07:50:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,876.6,0.94,-1324.4,0.933,-1236.0
2022-12-30 22:05:00,SUSHIUSDT.BYBIT,Direction.LONG,Offset.CLOSE,878.0,0.923,-446.4,0.923,-412.0
2022-12-31 10:00:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,5.9,0.911,-452.3,0.911,-412.0
2022-12-31 18:30:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,885.0,0.931,-1337.3,0.924,-1236.0
2023-01-02 17:25:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1713.1,0.962,-3050.4,0.945,-2884.0
2023-01-07 08:00:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,3178.4,1.037,-6228.8,0.992,-6180.0
2023-01-08 17:15:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,6103.7,1.08,-12332.5,1.036,-12772.0
2023-01-09 15:55:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,11782.0,1.119,-24114.5,1.076,-25956.0
2023-01-12 00:15:00,SUSHIUSDT.BYBIT,Direction.LONG,Offset.CLOSE,23726.2,1.061,-388.3,1.061,-412.0
2023-01-12 07:35:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,756.0,1.09,-1144.3,1.08,-1236.0
2023-01-12 11:40:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1463.6,1.126,-2607.9,1.106,-2884.0
2023-01-12 18:30:00,SUSHIUSDT.BYBIT,Direction.LONG,Offset.CLOSE,2231.0,1.093,-376.9,1.093,-412.0
2023-01-13 01:30:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,736.4,1.119,-1113.3,1.11,-1236.0
2023-01-14 02:30:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1405.0,1.173,-2518.3,1.145,-2884.0
2023-01-14 10:35:00,SUSHIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2660.2,1.239,-5178.5,1.193,-6180.0
