datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-22 00:50:00,UNIUSDT.BYBIT,Direction.LONG,Offset.OPEN,77.8,5.296,77.8,5.296,412.0
2022-12-22 09:30:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.1,5.372,76.7,5.372,412.0
2022-12-22 22:20:00,UNIUSDT.BYBIT,Direction.LONG,Offset.OPEN,156.9,5.25,233.6,5.29,1236.0
2022-12-23 08:25:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,156.5,5.344,77.1,5.344,412.0
2022-12-24 15:05:00,UNIUSDT.BYBIT,Direction.LONG,Offset.OPEN,157.7,5.224,234.8,5.263,1236.0
2022-12-28 14:20:00,UNIUSDT.BYBIT,Direction.LONG,Offset.OPEN,326.9,5.041,561.7,5.134,2884.0
2023-01-01 05:00:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,482.3,5.192,79.4,5.192,412.0
2023-01-02 06:40:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.0,5.258,78.4,5.258,412.0
2023-01-02 17:15:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.0,5.321,77.4,5.321,412.0
2023-01-03 00:05:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.8,5.377,76.6,5.377,412.0
2023-01-03 04:30:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.7,5.431,75.9,5.431,412.0
2023-01-03 23:45:00,UNIUSDT.BYBIT,Direction.LONG,Offset.OPEN,155.0,5.316,230.9,5.354,1236.0
2023-01-04 10:10:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,155.6,5.475,75.3,5.475,412.0
2023-01-04 13:10:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.4,5.573,73.9,5.573,412.0
2023-01-05 17:15:00,UNIUSDT.BYBIT,Direction.LONG,Offset.OPEN,151.4,5.442,225.3,5.485,1236.0
2023-01-09 07:40:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,151.0,5.544,74.3,5.544,412.0
2023-01-09 09:10:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.0,5.619,73.3,5.619,412.0
2023-01-09 10:45:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.1,5.71,72.2,5.71,412.0
2023-01-09 18:50:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.6,5.832,70.6,5.832,412.0
2023-01-09 23:10:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.8,5.899,69.8,5.899,412.0
2023-01-10 07:20:00,UNIUSDT.BYBIT,Direction.LONG,Offset.OPEN,142.8,5.771,212.6,5.813,1236.0
2023-01-12 07:35:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,142.6,5.886,70.0,5.886,412.0
2023-01-12 09:40:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.8,5.951,69.2,5.951,412.0
2023-01-12 11:40:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.7,6.012,68.5,6.012,412.0
2023-01-12 22:20:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.8,6.085,67.7,6.085,412.0
2023-01-13 07:25:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.7,6.153,67.0,6.153,412.0
2023-01-14 06:10:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.7,6.308,65.3,6.308,412.0
