datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-22 00:50:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,77.8,5.296,-77.8,5.296,-412.0
2022-12-22 04:15:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.0,5.23,-78.8,5.23,-412.0
2022-12-22 09:30:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,153.4,5.372,-232.2,5.324,-1236.0
2022-12-22 22:20:00,UNIUSDT.BYBIT,Direction.LONG,Offset.CLOSE,153.7,5.25,-78.5,5.25,-412.0
2022-12-22 23:15:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.1,5.179,-79.6,5.179,-412.0
2022-12-23 07:15:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,154.8,5.322,-234.4,5.273,-1236.0
2022-12-24 17:40:00,UNIUSDT.BYBIT,Direction.LONG,Offset.CLOSE,155.1,5.196,-79.3,5.196,-412.0
2022-12-25 19:45:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.9,5.134,-80.2,5.134,-412.0
2022-12-26 02:20:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.0,5.076,-81.2,5.076,-412.0
2022-12-26 10:30:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,159.1,5.179,-240.3,5.144,-1236.0
2022-12-28 14:20:00,UNIUSDT.BYBIT,Direction.LONG,Offset.CLOSE,158.6,5.041,-81.7,5.041,-412.0
2022-12-29 06:30:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.1,4.974,-82.8,4.974,-412.0
2022-12-29 13:30:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,161.9,5.091,-244.7,5.051,-1236.0
2022-12-30 06:10:00,UNIUSDT.BYBIT,Direction.LONG,Offset.CLOSE,162.1,4.986,-82.6,4.986,-412.0
2022-12-30 23:55:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,161.9,5.089,-244.5,5.054,-1236.0
2023-01-02 06:40:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,313.5,5.258,-558.0,5.169,-2884.0
2023-01-09 09:10:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,586.6,5.619,-1144.6,5.399,-6180.0
2023-01-09 18:50:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1130.3,5.832,-2274.9,5.614,-12772.0
2023-01-12 22:20:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,2166.6,6.085,-4441.5,5.844,-25956.0
2023-01-14 06:25:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,4174.1,6.317,-8615.6,6.073,-52324.0
2023-01-14 10:20:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,7871.1,6.7,-16486.7,6.372,-105060.0
2023-01-19 00:55:00,UNIUSDT.BYBIT,Direction.LONG,Offset.CLOSE,8243.4,6.116,-8243.3,6.372,-52530.0
2023-01-19 01:25:00,UNIUSDT.BYBIT,Direction.LONG,Offset.CLOSE,5770.3,6.197,-2473.0,6.372,-15759.0
2023-01-19 05:10:00,UNIUSDT.BYBIT,Direction.LONG,Offset.CLOSE,2405.6,6.113,-67.4,6.113,-412.0
2023-01-19 21:25:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,1.0,6.026,-68.4,6.026,-412.0
2023-01-20 04:40:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,133.5,6.171,-201.9,6.122,-1236.0
2023-01-21 05:10:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,252.7,6.521,-454.6,6.344,-2884.0
2023-01-22 21:10:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,479.4,6.875,-934.0,6.616,-6180.0
2023-01-25 07:25:00,UNIUSDT.BYBIT,Direction.LONG,Offset.CLOSE,868.9,6.326,-65.1,6.326,-412.0
2023-01-25 08:35:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.8,6.253,-65.9,6.253,-412.0
2023-01-25 09:35:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,0.7,6.189,-66.6,6.189,-412.0
2023-01-25 15:20:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,129.6,6.356,-196.2,6.299,-1236.0
2023-01-26 06:10:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,249.7,6.601,-445.9,6.468,-2884.0
2023-01-31 06:40:00,UNIUSDT.BYBIT,Direction.LONG,Offset.CLOSE,381.5,6.402,-64.4,6.402,-412.0
2023-01-31 09:30:00,UNIUSDT.BYBIT,Direction.SHORT,Offset.OPEN,126.1,6.533,-190.5,6.489,-1236.0
