datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-02-01 00:45:00,XRPUSDT.BYBIT,Direction.LONG,Offset.OPEN,684.0,0.6019,684.0,0.6019,412.0
2022-02-01 05:35:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,8.0,0.6096,676.0,0.6096,412.0
2022-02-01 08:00:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,7.0,0.6163,669.0,0.6163,412.0
2022-02-01 12:20:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9.0,0.6238,660.0,0.6238,412.0
2022-02-03 00:45:00,XRPUSDT.BYBIT,Direction.LONG,Offset.OPEN,1363.0,0.6047,2023.0,0.6109,1236.0
2022-02-04 14:50:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1356.0,0.6177,667.0,0.6177,412.0
2022-02-04 23:50:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,7.0,0.624,660.0,0.624,412.0
2022-02-05 01:00:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,10.0,0.6343,650.0,0.6343,412.0
2022-02-05 08:50:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,35.0,0.6704,615.0,0.6704,412.0
2022-02-07 08:00:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11.0,0.6822,604.0,0.6822,412.0
2022-02-07 11:00:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,26.0,0.7131,578.0,0.7131,412.0
2022-02-07 12:00:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,8.0,0.7223,570.0,0.7223,412.0
2022-02-07 14:25:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,15.0,0.7429,555.0,0.7429,412.0
2022-02-07 17:10:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,17.0,0.7658,538.0,0.7658,412.0
2022-02-08 00:40:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,11.0,0.7818,527.0,0.7818,412.0
2022-02-08 03:50:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,6.0,0.7905,521.0,0.7905,412.0
2022-02-08 06:55:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,24.0,0.8289,497.0,0.8289,412.0
2022-02-08 10:10:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,18.0,0.8596,479.0,0.8596,412.0
2022-02-08 12:30:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9.0,0.8771,470.0,0.8771,412.0
2022-02-08 14:30:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,14.0,0.9029,456.0,0.9029,412.0
2022-02-08 17:25:00,XRPUSDT.BYBIT,Direction.LONG,Offset.OPEN,967.0,0.8526,1423.0,0.8687,1236.0
2022-02-08 23:30:00,XRPUSDT.BYBIT,Direction.LONG,Offset.OPEN,1981.0,0.8318,3404.0,0.8472,2884.0
2022-02-09 07:35:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2933.0,0.8749,471.0,0.8749,412.0
2022-02-09 11:05:00,XRPUSDT.BYBIT,Direction.LONG,Offset.OPEN,961.0,0.8573,1432.0,0.8631,1236.0
2022-02-09 21:20:00,XRPUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,969.0,0.8894,463.0,0.8894,412.0
