datetime,symbol,direction,offset,volume,price
2022-12-21 00:50:00,AAVEUSDT.BYBIT,多,开,7.43,55.45
2022-12-21 00:50:00,AAVEUSDT.BYBIT,空,开,7.43,55.45
2022-12-21 11:40:00,AAVEUSDT.BYBIT,空,开,0.08,54.83
2022-12-21 19:05:00,AAVEUSDT.BYBIT,空,平,0.11,56.26
2022-12-21 19:05:00,AAVEUSDT.BYBIT,空,开,14.65,56.26
2022-12-22 15:10:00,AAVEUSDT.BYBIT,多,平,14.69,55.14
2022-12-22 15:15:00,AAVEUSDT.BYBIT,多,开,14.95,55.12
2022-12-22 23:10:00,AAVEUSDT.BYBIT,空,开,0.12,54.29
2022-12-23 06:40:00,AAVEUSDT.BYBIT,空,开,14.85,55.48
2022-12-24 05:35:00,AAVEUSDT.BYBIT,多,平,14.86,54.37
2022-12-26 13:40:00,AAVEUSDT.BYBIT,空,开,14.84,55.52
2022-12-27 19:00:00,AAVEUSDT.BYBIT,空,平,15.05,57.03
2022-12-27 20:40:00,AAVEUSDT.BYBIT,空,平,0.07,57.66
2022-12-27 20:40:00,AAVEUSDT.BYBIT,空,开,28.58,57.66
2022-12-28 11:20:00,AAVEUSDT.BYBIT,多,开,14.6,56.41
2022-12-28 15:00:00,AAVEUSDT.BYBIT,多,平,43.63,55.93
2022-12-28 18:20:00,AAVEUSDT.BYBIT,空,开,0.1,55.17
2022-12-29 00:10:00,AAVEUSDT.BYBIT,多,开,30.22,54.54
2022-12-29 00:10:00,AAVEUSDT.BYBIT,空,开,0.08,54.54
2022-12-29 06:30:00,AAVEUSDT.BYBIT,空,开,0.16,53.46
2022-12-29 19:15:00,AAVEUSDT.BYBIT,空,开,15.1,54.56
2022-12-30 15:50:00,AAVEUSDT.BYBIT,多,平,15.13,53.62
2022-12-30 21:05:00,AAVEUSDT.BYBIT,空,开,0.13,52.76
2022-12-30 22:05:00,AAVEUSDT.BYBIT,空,开,0.11,52.02
2022-12-31 22:00:00,AAVEUSDT.BYBIT,空,开,15.51,53.14
2023-01-01 02:45:00,AAVEUSDT.BYBIT,多,平,15.54,52.21
2023-01-01 13:15:00,AAVEUSDT.BYBIT,空,开,0.15,51.27
2023-01-02 05:00:00,AAVEUSDT.BYBIT,空,开,15.74,52.34
2023-01-04 11:40:00,AAVEUSDT.BYBIT,空,开,30.08,54.78
2023-01-04 22:20:00,AAVEUSDT.BYBIT,空,平,44.72,56.81
2023-01-05 19:05:00,AAVEUSDT.BYBIT,多,开,14.83,55.57
