datetime,symbol,direction,offset,volume,price
2022-12-21 00:50:00,APEUSDT.BYBIT,多,开,117.0,3.522
2022-12-21 00:50:00,APEUSDT.BYBIT,空,开,117.0,3.522
2022-12-21 12:35:00,APEUSDT.BYBIT,空,开,1.2,3.485
2022-12-21 18:50:00,APEUSDT.BYBIT,空,平,1.2,3.559
2022-12-21 18:50:00,APEUSDT.BYBIT,空,开,231.5,3.559
2022-12-22 12:45:00,APEUSDT.BYBIT,空,平,2.1,3.623
2022-12-23 02:15:00,APEUSDT.BYBIT,多,开,235.0,3.507
2022-12-23 08:00:00,APEUSDT.BYBIT,空,平,234.0,3.593
2022-12-23 11:30:00,APEUSDT.BYBIT,空,平,2.0,3.655
2022-12-24 02:35:00,APEUSDT.BYBIT,多,开,230.5,3.575
2022-12-28 08:25:00,APEUSDT.BYBIT,空,平,230.1,3.644
2022-12-28 14:05:00,APEUSDT.BYBIT,多,开,231.3,3.562
2022-12-28 22:50:00,APEUSDT.BYBIT,空,平,230.8,3.628
2023-01-02 01:20:00,APEUSDT.BYBIT,空,平,2.8,3.717
2023-01-02 01:20:00,APEUSDT.BYBIT,空,开,443.4,3.717
2023-01-02 04:55:00,APEUSDT.BYBIT,空,平,3.9,3.854
2023-01-03 00:45:00,APEUSDT.BYBIT,空,平,1.9,3.923
2023-01-03 01:30:00,APEUSDT.BYBIT,空,开,838.3,3.932
2023-01-03 06:25:00,APEUSDT.BYBIT,空,平,1.1,3.964
2023-01-03 10:00:00,APEUSDT.BYBIT,多,开,212.2,3.884
2023-01-03 14:45:00,APEUSDT.BYBIT,空,平,212.5,3.978
2023-01-04 10:10:00,APEUSDT.BYBIT,空,平,2.7,4.084
2023-01-04 10:45:00,APEUSDT.BYBIT,空,平,1.1,4.13
2023-01-04 10:45:00,APEUSDT.BYBIT,空,开,1596.1,4.13
2023-01-05 04:10:00,APEUSDT.BYBIT,多,开,203.7,4.045
2023-01-06 19:40:00,APEUSDT.BYBIT,多,开,421.6,3.909
2023-01-06 19:40:00,APEUSDT.BYBIT,多,平,3122.1,3.909
2023-01-07 02:55:00,APEUSDT.BYBIT,空,开,205.4,4.012
2023-01-07 04:00:00,APEUSDT.BYBIT,空,平,622.6,4.02
2023-01-07 10:10:00,APEUSDT.BYBIT,空,平,1.3,4.073
2023-01-07 23:40:00,APEUSDT.BYBIT,空,平,3.1,4.198
2023-01-07 23:40:00,APEUSDT.BYBIT,空,开,392.6,4.198
2023-01-08 09:45:00,APEUSDT.BYBIT,多,开,200.9,4.103
2023-01-08 19:40:00,APEUSDT.BYBIT,空,平,200.4,4.178
2023-01-09 04:50:00,APEUSDT.BYBIT,空,平,3.8,4.347
2023-01-09 07:35:00,APEUSDT.BYBIT,空,平,1.2,4.401
2023-01-09 10:45:00,APEUSDT.BYBIT,空,平,6.6,4.734
2023-01-09 10:45:00,APEUSDT.BYBIT,空,开,696.2,4.734
2023-01-09 16:35:00,APEUSDT.BYBIT,多,开,177.7,4.638
2023-01-09 21:45:00,APEUSDT.BYBIT,空,平,177.6,4.729
2023-01-09 23:15:00,APEUSDT.BYBIT,空,平,1.3,4.801
2023-01-09 23:15:00,APEUSDT.BYBIT,空,开,1373.0,4.801
2023-01-10 01:00:00,APEUSDT.BYBIT,空,平,1.5,4.89
2023-01-10 03:10:00,APEUSDT.BYBIT,多,开,175.1,4.704
2023-01-10 04:55:00,APEUSDT.BYBIT,多,开,363.2,4.538
2023-01-10 04:55:00,APEUSDT.BYBIT,多,平,2681.8,4.538
2023-01-10 08:45:00,APEUSDT.BYBIT,空,开,177.3,4.648
2023-01-10 11:10:00,APEUSDT.BYBIT,多,平,177.4,4.542
2023-01-10 12:30:00,APEUSDT.BYBIT,空,开,177.1,4.654
2023-01-10 14:00:00,APEUSDT.BYBIT,空,平,538.0,4.869
2023-01-10 14:00:00,APEUSDT.BYBIT,空,开,338.4,4.869
2023-01-10 19:15:00,APEUSDT.BYBIT,空,平,0.9,4.922
2023-01-10 21:05:00,APEUSDT.BYBIT,多,开,171.1,4.815
2023-01-10 22:15:00,APEUSDT.BYBIT,空,平,171.1,4.924
2023-01-11 00:55:00,APEUSDT.BYBIT,多,开,171.4,4.806
2023-01-11 04:00:00,APEUSDT.BYBIT,空,平,171.1,4.907
2023-01-11 10:45:00,APEUSDT.BYBIT,多,开,171.4,4.805
2023-01-11 23:20:00,APEUSDT.BYBIT,空,平,171.1,4.89
2023-01-12 04:15:00,APEUSDT.BYBIT,空,平,2.1,5.012
2023-01-12 06:35:00,APEUSDT.BYBIT,多,开,168.3,4.895
2023-01-12 08:15:00,APEUSDT.BYBIT,空,平,167.9,4.986
2023-01-12 14:15:00,APEUSDT.BYBIT,多,开,170.6,4.832
2023-01-12 17:25:00,APEUSDT.BYBIT,多,平,518.7,4.709
2023-01-12 18:25:00,APEUSDT.BYBIT,多,开,353.5,4.661
2023-01-12 18:25:00,APEUSDT.BYBIT,空,开,0.9,4.661
2023-01-12 23:00:00,APEUSDT.BYBIT,空,开,1.0,4.611
2023-01-13 02:10:00,APEUSDT.BYBIT,空,开,173.5,4.748
2023-01-13 03:45:00,APEUSDT.BYBIT,空,平,520.9,4.802
2023-01-13 07:20:00,APEUSDT.BYBIT,空,平,0.9,4.852
2023-01-13 10:15:00,APEUSDT.BYBIT,多,开,174.0,4.735
2023-01-13 17:05:00,APEUSDT.BYBIT,空,平,173.7,4.838
2023-01-13 21:20:00,APEUSDT.BYBIT,多,开,174.1,4.732
2023-01-14 01:10:00,APEUSDT.BYBIT,空,平,174.0,4.828
2023-01-14 06:15:00,APEUSDT.BYBIT,空,平,2.3,4.962
2023-01-14 06:15:00,APEUSDT.BYBIT,空,开,332.1,4.962
2023-01-14 09:25:00,APEUSDT.BYBIT,空,平,2.7,5.128
2023-01-14 10:20:00,APEUSDT.BYBIT,空,平,0.8,5.185
2023-01-14 15:25:00,APEUSDT.BYBIT,空,平,2.4,5.345
2023-01-14 15:25:00,APEUSDT.BYBIT,空,开,616.7,5.345
2023-01-14 17:05:00,APEUSDT.BYBIT,空,平,1.3,5.436
2023-01-14 17:50:00,APEUSDT.BYBIT,多,开,160.7,5.128
2023-01-15 11:15:00,APEUSDT.BYBIT,多,平,1130.0,5.04
2023-01-15 15:35:00,APEUSDT.BYBIT,多,开,328.5,5.017
2023-01-15 17:20:00,APEUSDT.BYBIT,空,开,1.5,4.95
2023-01-15 21:40:00,APEUSDT.BYBIT,空,开,163.1,5.052
2023-01-16 00:15:00,APEUSDT.BYBIT,空,平,485.8,5.203
2023-01-16 01:05:00,APEUSDT.BYBIT,空,开,315.3,5.228
2023-01-16 10:30:00,APEUSDT.BYBIT,空,平,1.1,5.276
2023-01-16 15:55:00,APEUSDT.BYBIT,多,开,159.9,5.152
2023-01-16 16:45:00,APEUSDT.BYBIT,多,平,479.4,5.013
2023-01-16 21:15:00,APEUSDT.BYBIT,多,开,331.2,4.976
2023-01-16 22:20:00,APEUSDT.BYBIT,空,开,1.5,4.925
2023-01-17 20:00:00,APEUSDT.BYBIT,空,开,163.9,5.026
2023-01-18 01:40:00,APEUSDT.BYBIT,多,平,164.0,4.928
2023-01-18 09:35:00,APEUSDT.BYBIT,空,开,1.5,4.844
2023-01-18 17:45:00,APEUSDT.BYBIT,空,开,0.9,4.791
2023-01-18 22:20:00,APEUSDT.BYBIT,空,开,168.4,4.892
2023-01-19 00:55:00,APEUSDT.BYBIT,多,开,723.8,4.554
2023-01-19 00:55:00,APEUSDT.BYBIT,多,平,163.9,4.554
2023-01-19 01:45:00,APEUSDT.BYBIT,空,开,177.2,4.65
2023-01-19 05:05:00,APEUSDT.BYBIT,多,平,177.5,4.569
2023-01-19 08:25:00,APEUSDT.BYBIT,空,开,0.9,4.522
2023-01-19 18:20:00,APEUSDT.BYBIT,空,开,178.5,4.617
2023-01-19 21:25:00,APEUSDT.BYBIT,多,平,178.8,4.538
2023-01-20 01:40:00,APEUSDT.BYBIT,空,开,175.6,4.691
2023-01-20 09:00:00,APEUSDT.BYBIT,空,平,1208.5,4.877
2023-01-20 09:00:00,APEUSDT.BYBIT,空,开,338.0,4.877
2023-01-20 10:20:00,APEUSDT.BYBIT,空,平,1.9,4.99
2023-01-20 14:20:00,APEUSDT.BYBIT,多,开,168.6,4.886
2023-01-21 00:05:00,APEUSDT.BYBIT,空,平,168.4,4.975
2023-01-21 01:10:00,APEUSDT.BYBIT,空,平,1.1,5.044
2023-01-21 05:10:00,APEUSDT.BYBIT,空,平,1.5,5.134
2023-01-21 05:40:00,APEUSDT.BYBIT,空,开,639.0,5.158
2023-01-21 08:50:00,APEUSDT.BYBIT,空,平,0.8,5.192
2023-01-21 14:05:00,APEUSDT.BYBIT,空,平,0.8,5.244
2023-01-21 15:25:00,APEUSDT.BYBIT,空,平,1.3,5.329
2023-01-21 19:00:00,APEUSDT.BYBIT,多,开,158.9,5.187
2023-01-22 01:50:00,APEUSDT.BYBIT,空,平,165.7,5.844
2023-01-22 01:50:00,APEUSDT.BYBIT,空,开,1128.0,5.844
2023-01-22 02:00:00,APEUSDT.BYBIT,空,开,2245.2,5.872
2023-01-22 08:05:00,APEUSDT.BYBIT,多,开,148.8,5.537
2023-01-22 08:05:00,APEUSDT.BYBIT,多,平,4542.2,5.537
2023-01-22 11:00:00,APEUSDT.BYBIT,空,开,1.4,5.435
2023-01-22 13:25:00,APEUSDT.BYBIT,空,开,147.4,5.59
2023-01-23 01:40:00,APEUSDT.BYBIT,空,平,147.3,5.72
2023-01-23 05:20:00,APEUSDT.BYBIT,多,开,151.8,5.428
2023-01-23 05:20:00,APEUSDT.BYBIT,多,平,147.3,5.428
2023-01-23 08:15:00,APEUSDT.BYBIT,空,开,148.7,5.542
2023-01-23 09:50:00,APEUSDT.BYBIT,空,平,151.5,5.698
