datetime,symbol,direction,offset,volume,price
2022-12-21 00:50:00,ATOMUSDT.BYBIT,多,开,46.2,8.915
2022-12-21 00:50:00,ATOMUSDT.BYBIT,空,开,46.2,8.915
2022-12-21 10:05:00,ATOMUSDT.BYBIT,空,平,0.5,9.018
2022-12-22 07:10:00,ATOMUSDT.BYBIT,多,开,93.8,8.785
2022-12-22 07:10:00,ATOMUSDT.BYBIT,空,开,0.7,8.785
2022-12-22 18:20:00,ATOMUSDT.BYBIT,空,平,93.5,8.954
2022-12-23 00:00:00,ATOMUSDT.BYBIT,多,开,94.2,8.749
2022-12-23 05:00:00,ATOMUSDT.BYBIT,空,平,94.1,8.935
2022-12-23 06:30:00,ATOMUSDT.BYBIT,空,开,91.8,8.973
2022-12-23 11:20:00,ATOMUSDT.BYBIT,空,平,0.4,9.024
2022-12-27 05:30:00,ATOMUSDT.BYBIT,空,平,0.5,9.116
2022-12-27 18:30:00,ATOMUSDT.BYBIT,空,平,1.2,9.357
2022-12-27 18:30:00,ATOMUSDT.BYBIT,空,开,176.2,9.357
2022-12-28 08:50:00,ATOMUSDT.BYBIT,多,开,89.9,9.169
2022-12-28 11:50:00,ATOMUSDT.BYBIT,多,平,269.3,9.037
2022-12-29 15:30:00,ATOMUSDT.BYBIT,空,开,89.4,9.22
2022-12-29 20:35:00,ATOMUSDT.BYBIT,空,平,89.8,9.347
2023-01-02 03:45:00,ATOMUSDT.BYBIT,空,平,0.5,9.451
2023-01-02 12:20:00,ATOMUSDT.BYBIT,空,平,0.6,9.582
2023-01-02 12:20:00,ATOMUSDT.BYBIT,空,开,172.0,9.582
2023-01-02 15:55:00,ATOMUSDT.BYBIT,空,平,1.3,9.879
2023-01-03 18:20:00,ATOMUSDT.BYBIT,空,平,1.3,10.191
2023-01-03 18:20:00,ATOMUSDT.BYBIT,空,开,323.4,10.191
2023-01-04 11:20:00,ATOMUSDT.BYBIT,空,平,0.6,10.344
2023-01-05 05:00:00,ATOMUSDT.BYBIT,多,开,81.7,10.092
2023-01-07 09:15:00,ATOMUSDT.BYBIT,空,平,81.5,10.294
2023-01-08 09:10:00,ATOMUSDT.BYBIT,多,开,81.7,10.086
2023-01-09 00:15:00,ATOMUSDT.BYBIT,空,平,81.9,10.339
2023-01-09 04:55:00,ATOMUSDT.BYBIT,空,平,0.4,10.468
2023-01-09 09:10:00,ATOMUSDT.BYBIT,空,平,1.7,10.926
