datetime,symbol,direction,offset,volume,price
2022-12-21 00:50:00,BCHUSDT.BYBIT,多,开,4.09,100.7
2022-12-21 00:50:00,BCHUSDT.BYBIT,空,开,4.09,100.7
2022-12-21 07:35:00,BCHUSDT.BYBIT,空,平,0.05,102.1
2022-12-22 05:55:00,BCHUSDT.BYBIT,多,开,8.23,100.05
2022-12-23 02:15:00,BCHUSDT.BYBIT,空,开,0.05,99.5
2022-12-23 11:30:00,BCHUSDT.BYBIT,空,平,8.22,101.75
2022-12-23 11:30:00,BCHUSDT.BYBIT,空,开,8.1,101.75
2022-12-26 02:25:00,BCHUSDT.BYBIT,多,平,8.12,99.95
2022-12-26 20:45:00,BCHUSDT.BYBIT,空,开,8.06,102.3
2022-12-27 02:45:00,BCHUSDT.BYBIT,空,平,0.05,103.0
2022-12-28 14:15:00,BCHUSDT.BYBIT,多,开,8.24,100.0
2022-12-28 14:15:00,BCHUSDT.BYBIT,多,平,8.06,100.0
2022-12-29 06:50:00,BCHUSDT.BYBIT,空,开,0.05,98.85
2022-12-30 05:10:00,BCHUSDT.BYBIT,空,开,0.04,97.85
2022-12-30 14:40:00,BCHUSDT.BYBIT,多,开,17.0,96.95
2022-12-30 15:55:00,BCHUSDT.BYBIT,空,开,0.09,95.9
2022-12-31 18:35:00,BCHUSDT.BYBIT,空,开,8.42,97.85
2023-01-01 13:10:00,BCHUSDT.BYBIT,多,平,8.44,96.2
2023-01-02 17:10:00,BCHUSDT.BYBIT,空,开,8.35,98.75
2023-01-03 00:25:00,BCHUSDT.BYBIT,空,平,25.12,100.1
2023-01-04 12:10:00,BCHUSDT.BYBIT,空,平,0.08,102.0
2023-01-04 12:10:00,BCHUSDT.BYBIT,空,开,16.15,102.0
2023-01-05 13:00:00,BCHUSDT.BYBIT,空,平,0.04,103.1
2023-01-06 07:45:00,BCHUSDT.BYBIT,多,开,8.15,101.0
2023-01-06 20:10:00,BCHUSDT.BYBIT,多,平,24.59,98.4
2023-01-07 02:50:00,BCHUSDT.BYBIT,空,开,8.12,101.4
2023-01-09 07:35:00,BCHUSDT.BYBIT,空,平,8.15,103.05
2023-01-09 09:05:00,BCHUSDT.BYBIT,空,平,0.08,105.05
2023-01-09 09:05:00,BCHUSDT.BYBIT,空,开,15.69,105.05
2023-01-09 13:40:00,BCHUSDT.BYBIT,空,平,0.04,106.1
2023-01-10 01:35:00,BCHUSDT.BYBIT,空,平,0.04,107.25
2023-01-10 19:20:00,BCHUSDT.BYBIT,空,平,0.04,108.4
2023-01-12 00:20:00,BCHUSDT.BYBIT,多,开,7.77,106.0
2023-01-12 03:55:00,BCHUSDT.BYBIT,空,平,7.75,107.9
2023-01-12 08:20:00,BCHUSDT.BYBIT,空,平,0.07,109.8
