datetime,symbol,direction,offset,volume,price
2022-12-21 00:50:00,CHZUSDT.BYBIT,多,开,3659.0,0.1126
2022-12-21 00:50:00,CHZUSDT.BYBIT,空,开,3659.0,0.1126
2022-12-21 10:15:00,CHZUSDT.BYBIT,空,开,51.0,0.11105
2022-12-21 11:25:00,CHZUSDT.BYBIT,多,开,7471.0,0.1103
2022-12-21 16:40:00,CHZUSDT.BYBIT,空,开,39.0,0.1099
2022-12-23 00:25:00,CHZUSDT.BYBIT,空,开,41.0,0.1087
2022-12-23 06:25:00,CHZUSDT.BYBIT,空,开,7417.0,0.1111
2022-12-24 12:45:00,CHZUSDT.BYBIT,空,平,7458.0,0.1122
2022-12-25 22:50:00,CHZUSDT.BYBIT,多,开,7494.0,0.10995
2022-12-26 16:45:00,CHZUSDT.BYBIT,多,平,7425.0,0.10895
2022-12-27 23:15:00,CHZUSDT.BYBIT,空,开,61.0,0.1072
2022-12-28 02:10:00,CHZUSDT.BYBIT,多,开,15533.0,0.1061
2022-12-28 02:10:00,CHZUSDT.BYBIT,空,开,40.0,0.1061
2022-12-28 14:20:00,CHZUSDT.BYBIT,空,开,82.0,0.1039
2022-12-29 07:00:00,CHZUSDT.BYBIT,空,开,51.0,0.1026
2022-12-30 05:05:00,CHZUSDT.BYBIT,空,开,69.0,0.10085
2022-12-30 17:05:00,CHZUSDT.BYBIT,多,开,33209.0,0.09925
2022-12-30 17:05:00,CHZUSDT.BYBIT,空,开,66.0,0.09925
2022-12-30 23:15:00,CHZUSDT.BYBIT,空,开,47.0,0.09815
2022-12-31 05:55:00,CHZUSDT.BYBIT,空,开,8215.0,0.1003
2023-01-04 11:15:00,CHZUSDT.BYBIT,空,开,15877.0,0.1038
2023-01-04 12:30:00,CHZUSDT.BYBIT,空,平,55954.0,0.1042
2023-01-05 00:05:00,CHZUSDT.BYBIT,空,平,49.0,0.1055
2023-01-05 10:05:00,CHZUSDT.BYBIT,空,平,88.0,0.10795
2023-01-05 11:40:00,CHZUSDT.BYBIT,空,平,267.0,0.11605
2023-01-05 11:40:00,CHZUSDT.BYBIT,空,开,28401.0,0.11605
2023-01-05 14:00:00,CHZUSDT.BYBIT,多,开,7247.0,0.1137
2023-01-06 10:55:00,CHZUSDT.BYBIT,多,开,15134.0,0.1089
