datetime,symbol,direction,offset,volume,price
2022-12-21 00:50:00,CRVUSDT.BYBIT,多,开,786.3,0.524
2022-12-21 00:50:00,CRVUSDT.BYBIT,空,开,786.3,0.524
2022-12-21 13:10:00,CRVUSDT.BYBIT,空,开,9.1,0.518
2022-12-21 17:25:00,CRVUSDT.BYBIT,空,开,1557.6,0.529
2022-12-21 18:50:00,CRVUSDT.BYBIT,空,平,8.9,0.53
2022-12-22 05:25:00,CRVUSDT.BYBIT,多,开,1596.9,0.516
2022-12-22 05:25:00,CRVUSDT.BYBIT,多,平,1554.6,0.516
2022-12-22 07:05:00,CRVUSDT.BYBIT,空,开,9.4,0.51
2022-12-23 06:20:00,CRVUSDT.BYBIT,空,开,1572.6,0.524
2022-12-23 11:30:00,CRVUSDT.BYBIT,空,平,1591.0,0.526
2022-12-27 01:05:00,CRVUSDT.BYBIT,空,平,8.9,0.532
2022-12-28 00:20:00,CRVUSDT.BYBIT,多,开,1581.6,0.521
2022-12-29 06:35:00,CRVUSDT.BYBIT,多,平,1571.0,0.509
2022-12-29 18:00:00,CRVUSDT.BYBIT,空,开,1587.7,0.519
2022-12-30 04:55:00,CRVUSDT.BYBIT,多,平,1589.3,0.51
2022-12-30 10:35:00,CRVUSDT.BYBIT,空,开,8.0,0.505
2022-12-30 14:30:00,CRVUSDT.BYBIT,多,开,3296.0,0.5
2022-12-30 16:00:00,CRVUSDT.BYBIT,空,开,21.6,0.492
2022-12-30 20:05:00,CRVUSDT.BYBIT,空,开,1641.4,0.502
2022-12-31 03:15:00,CRVUSDT.BYBIT,空,平,4853.6,0.516
2022-12-31 05:35:00,CRVUSDT.BYBIT,空,平,16.6,0.527
2022-12-31 05:35:00,CRVUSDT.BYBIT,空,开,3127.2,0.527
2023-01-02 17:15:00,CRVUSDT.BYBIT,空,平,14.6,0.537
2023-01-02 23:50:00,CRVUSDT.BYBIT,空,平,12.6,0.546
2023-01-03 07:05:00,CRVUSDT.BYBIT,多,开,1540.2,0.535
2023-01-04 12:05:00,CRVUSDT.BYBIT,空,平,1553.8,0.556
2023-01-04 12:05:00,CRVUSDT.BYBIT,空,开,5928.0,0.556
2023-01-05 21:45:00,CRVUSDT.BYBIT,多,开,1514.7,0.544
2023-01-06 16:00:00,CRVUSDT.BYBIT,多,平,10756.6,0.53
2023-01-06 20:50:00,CRVUSDT.BYBIT,多,开,3139.1,0.525
2023-01-06 21:30:00,CRVUSDT.BYBIT,空,开,8.9,0.524
2023-01-07 00:10:00,CRVUSDT.BYBIT,空,开,1540.1,0.535
2023-01-07 02:50:00,CRVUSDT.BYBIT,空,平,4631.8,0.54
2023-01-07 08:25:00,CRVUSDT.BYBIT,空,平,8.4,0.546
2023-01-07 18:20:00,CRVUSDT.BYBIT,空,平,8.2,0.552
2023-01-08 16:35:00,CRVUSDT.BYBIT,空,开,2980.2,0.553
2023-01-09 05:20:00,CRVUSDT.BYBIT,空,平,12.0,0.561
2023-01-09 07:35:00,CRVUSDT.BYBIT,空,平,10.3,0.569
2023-01-09 08:35:00,CRVUSDT.BYBIT,空,平,7.6,0.575
2023-01-09 10:50:00,CRVUSDT.BYBIT,空,平,67.7,0.635
2023-01-09 10:50:00,CRVUSDT.BYBIT,空,开,5190.5,0.635
2023-01-09 11:15:00,CRVUSDT.BYBIT,空,开,10348.5,0.637
2023-01-09 16:50:00,CRVUSDT.BYBIT,多,开,1324.8,0.622
2023-01-09 18:05:00,CRVUSDT.BYBIT,空,平,1325.8,0.636
2023-01-09 23:50:00,CRVUSDT.BYBIT,空,平,26.4,0.663
2023-01-09 23:50:00,CRVUSDT.BYBIT,空,开,19885.4,0.663
2023-01-10 01:00:00,CRVUSDT.BYBIT,空,平,11.0,0.675
2023-01-10 03:10:00,CRVUSDT.BYBIT,多,开,1250.3,0.659
2023-01-11 18:20:00,CRVUSDT.BYBIT,空,平,1247.6,0.672
2023-01-12 00:15:00,CRVUSDT.BYBIT,多,开,1263.8,0.652
2023-01-12 04:00:00,CRVUSDT.BYBIT,空,平,1258.3,0.666
2023-01-12 09:25:00,CRVUSDT.BYBIT,空,平,7.3,0.674
