datetime,symbol,direction,offset,volume,price
2022-12-21 00:50:00,DOTUSDT.BYBIT,多,开,89.7,4.595
2022-12-21 00:50:00,DOTUSDT.BYBIT,空,开,89.7,4.595
2022-12-21 11:40:00,DOTUSDT.BYBIT,空,开,1.3,4.529
2022-12-21 13:35:00,DOTUSDT.BYBIT,多,开,183.0,4.502
2022-12-21 22:30:00,DOTUSDT.BYBIT,空,开,1.0,4.479
2022-12-22 15:45:00,DOTUSDT.BYBIT,空,开,1.0,4.429
2022-12-23 08:20:00,DOTUSDT.BYBIT,空,开,182.2,4.522
2022-12-24 17:45:00,DOTUSDT.BYBIT,多,平,182.4,4.438
2022-12-27 04:00:00,DOTUSDT.BYBIT,空,开,182.0,4.528
2022-12-28 11:35:00,DOTUSDT.BYBIT,多,平,182.0,4.438
2022-12-28 14:35:00,DOTUSDT.BYBIT,多,开,380.9,4.326
2022-12-28 14:35:00,DOTUSDT.BYBIT,空,开,2.4,4.326
2022-12-29 06:05:00,DOTUSDT.BYBIT,空,开,1.2,4.272
2022-12-31 22:40:00,DOTUSDT.BYBIT,空,开,188.9,4.363
2023-01-01 09:20:00,DOTUSDT.BYBIT,多,平,189.1,4.284
2023-01-02 06:05:00,DOTUSDT.BYBIT,空,开,188.3,4.376
2023-01-02 15:55:00,DOTUSDT.BYBIT,空,平,561.5,4.474
2023-01-03 14:35:00,DOTUSDT.BYBIT,空,平,1.0,4.523
2023-01-03 14:35:00,DOTUSDT.BYBIT,空,开,364.3,4.523
2023-01-04 10:10:00,DOTUSDT.BYBIT,空,平,1.8,4.616
2023-01-04 12:05:00,DOTUSDT.BYBIT,空,平,1.0,4.665
2023-01-05 16:50:00,DOTUSDT.BYBIT,多,开,180.2,4.572
2023-01-06 09:05:00,DOTUSDT.BYBIT,空,平,179.9,4.652
2023-01-07 10:40:00,DOTUSDT.BYBIT,空,平,0.9,4.699
2023-01-09 04:50:00,DOTUSDT.BYBIT,空,平,1.0,4.752
2023-01-09 08:20:00,DOTUSDT.BYBIT,空,平,0.9,4.801
2023-01-09 08:20:00,DOTUSDT.BYBIT,空,开,686.6,4.801
2023-01-09 09:35:00,DOTUSDT.BYBIT,空,平,1.1,4.866
2023-01-09 12:50:00,DOTUSDT.BYBIT,空,平,1.2,4.936
2023-01-09 19:05:00,DOTUSDT.BYBIT,空,平,0.9,4.989
2023-01-09 19:15:00,DOTUSDT.BYBIT,空,开,1318.1,5.001
2023-01-10 07:35:00,DOTUSDT.BYBIT,多,开,168.6,4.888
2023-01-12 04:25:00,DOTUSDT.BYBIT,空,平,168.8,5.003
2023-01-12 08:15:00,DOTUSDT.BYBIT,空,平,1.9,5.12
2023-01-13 02:20:00,DOTUSDT.BYBIT,空,平,1.2,5.193
2023-01-13 04:35:00,DOTUSDT.BYBIT,空,开,2534.4,5.202
2023-01-13 12:55:00,DOTUSDT.BYBIT,空,平,0.8,5.25
2023-01-14 05:30:00,DOTUSDT.BYBIT,空,平,0.9,5.311
2023-01-14 06:20:00,DOTUSDT.BYBIT,空,平,1.1,5.389
2023-01-14 08:50:00,DOTUSDT.BYBIT,空,平,1.1,5.466
2023-01-14 08:50:00,DOTUSDT.BYBIT,空,开,4824.0,5.466
2023-01-14 09:25:00,DOTUSDT.BYBIT,空,平,1.0,5.541
2023-01-14 10:15:00,DOTUSDT.BYBIT,空,平,1.4,5.643
2023-01-14 10:20:00,DOTUSDT.BYBIT,空,开,9327.2,5.654
2023-01-14 16:50:00,DOTUSDT.BYBIT,空,平,7.8,6.317
2023-01-14 16:50:00,DOTUSDT.BYBIT,空,开,16696.5,6.317
2023-01-14 16:55:00,DOTUSDT.BYBIT,空,开,33361.4,6.323
2023-01-14 17:50:00,DOTUSDT.BYBIT,多,开,136.5,6.039
2023-01-14 18:00:00,DOTUSDT.BYBIT,多,平,34698.5,6.004
2023-01-15 08:55:00,DOTUSDT.BYBIT,多,平,24288.9,5.936
2023-01-15 09:15:00,DOTUSDT.BYBIT,多,平,10339.6,5.886
2023-01-15 11:35:00,DOTUSDT.BYBIT,多,开,281.4,5.856
2023-01-15 17:00:00,DOTUSDT.BYBIT,空,开,0.8,5.818
2023-01-15 19:40:00,DOTUSDT.BYBIT,空,开,138.8,5.937
2023-01-16 10:45:00,DOTUSDT.BYBIT,空,平,414.9,6.037
2023-01-16 16:50:00,DOTUSDT.BYBIT,多,开,142.8,5.774
2023-01-16 16:50:00,DOTUSDT.BYBIT,多,平,138.2,5.774
2023-01-17 15:45:00,DOTUSDT.BYBIT,空,平,142.3,5.999
2023-01-17 15:45:00,DOTUSDT.BYBIT,空,开,137.3,5.999
2023-01-17 23:35:00,DOTUSDT.BYBIT,空,平,0.9,6.074
2023-01-18 17:10:00,DOTUSDT.BYBIT,多,开,138.5,5.949
2023-01-18 22:25:00,DOTUSDT.BYBIT,空,平,138.9,6.117
2023-01-19 00:55:00,DOTUSDT.BYBIT,多,开,144.3,5.71
2023-01-19 00:55:00,DOTUSDT.BYBIT,多,平,136.5,5.71
2023-01-20 10:15:00,DOTUSDT.BYBIT,空,开,141.0,5.843
2023-01-21 01:45:00,DOTUSDT.BYBIT,空,平,141.9,5.901
2023-01-21 05:10:00,DOTUSDT.BYBIT,空,平,2.9,6.159
2023-01-21 05:10:00,DOTUSDT.BYBIT,空,开,267.6,6.159
2023-01-21 07:30:00,DOTUSDT.BYBIT,空,平,0.7,6.228
2023-01-21 18:25:00,DOTUSDT.BYBIT,空,平,0.8,6.298
2023-01-21 19:20:00,DOTUSDT.BYBIT,多,开,133.6,6.167
2023-01-22 01:00:00,DOTUSDT.BYBIT,空,平,133.6,6.297
2023-01-22 05:20:00,DOTUSDT.BYBIT,空,平,1.2,6.419
2023-01-22 08:00:00,DOTUSDT.BYBIT,多,开,131.6,6.259
2023-01-23 02:00:00,DOTUSDT.BYBIT,空,平,131.7,6.432
2023-01-23 05:15:00,DOTUSDT.BYBIT,多,开,134.0,6.146
2023-01-23 09:45:00,DOTUSDT.BYBIT,空,平,133.1,6.337
2023-01-23 21:10:00,DOTUSDT.BYBIT,空,平,0.9,6.423
2023-01-23 23:55:00,DOTUSDT.BYBIT,空,平,1.1,6.536
2023-01-23 23:55:00,DOTUSDT.BYBIT,空,开,504.2,6.536
2023-01-24 02:40:00,DOTUSDT.BYBIT,空,平,1.9,6.738
2023-01-24 08:00:00,DOTUSDT.BYBIT,多,开,125.2,6.583
2023-01-25 07:25:00,DOTUSDT.BYBIT,多,开,266.0,6.197
2023-01-25 07:25:00,DOTUSDT.BYBIT,多,平,918.5,6.197
2023-01-25 08:55:00,DOTUSDT.BYBIT,空,开,0.7,6.132
2023-01-25 16:15:00,DOTUSDT.BYBIT,空,开,131.5,6.267
2023-01-26 06:10:00,DOTUSDT.BYBIT,空,平,388.5,6.456
2023-01-26 06:20:00,DOTUSDT.BYBIT,空,开,254.5,6.474
2023-01-28 04:40:00,DOTUSDT.BYBIT,空,平,1.2,6.577
2023-01-28 21:40:00,DOTUSDT.BYBIT,多,开,128.9,6.393
2023-01-29 18:10:00,DOTUSDT.BYBIT,空,平,128.7,6.563
2023-01-30 04:00:00,DOTUSDT.BYBIT,空,平,1.1,6.674
2023-01-30 10:45:00,DOTUSDT.BYBIT,多,开,126.0,6.54
2023-01-30 18:05:00,DOTUSDT.BYBIT,多,开,262.5,6.279
2023-01-30 18:05:00,DOTUSDT.BYBIT,多,平,387.6,6.279
2023-01-31 04:00:00,DOTUSDT.BYBIT,空,开,1.6,6.134
2023-01-31 22:35:00,DOTUSDT.BYBIT,空,开,131.7,6.257
2023-02-01 18:15:00,DOTUSDT.BYBIT,多,平,131.7,6.131
2023-02-02 02:20:00,DOTUSDT.BYBIT,空,开,0.8,6.059
2023-02-02 04:50:00,DOTUSDT.BYBIT,空,开,129.5,6.361
2023-02-02 09:05:00,DOTUSDT.BYBIT,空,平,387.1,6.528
2023-02-02 09:05:00,DOTUSDT.BYBIT,空,开,252.5,6.528
2023-02-02 21:00:00,DOTUSDT.BYBIT,空,平,0.9,6.623
2023-02-03 00:45:00,DOTUSDT.BYBIT,空,平,1.1,6.743
2023-02-03 06:35:00,DOTUSDT.BYBIT,多,开,126.1,6.536
2023-02-03 13:50:00,DOTUSDT.BYBIT,空,平,125.7,6.701
2023-02-03 17:55:00,DOTUSDT.BYBIT,空,平,0.8,6.793
2023-02-03 23:15:00,DOTUSDT.BYBIT,空,平,1.3,6.936
2023-02-03 23:15:00,DOTUSDT.BYBIT,空,开,475.2,6.936
2023-02-04 01:55:00,DOTUSDT.BYBIT,空,平,1.1,7.065
2023-02-04 10:35:00,DOTUSDT.BYBIT,多,开,119.3,6.905
2023-02-06 00:05:00,DOTUSDT.BYBIT,多,开,248.1,6.643
2023-02-06 02:00:00,DOTUSDT.BYBIT,多,平,862.7,6.593
2023-02-06 09:20:00,DOTUSDT.BYBIT,空,开,122.1,6.749
2023-02-06 13:45:00,DOTUSDT.BYBIT,多,平,122.4,6.624
2023-02-07 07:45:00,DOTUSDT.BYBIT,空,开,1.4,6.483
2023-02-07 14:35:00,DOTUSDT.BYBIT,空,开,124.1,6.638
2023-02-08 05:35:00,DOTUSDT.BYBIT,空,平,365.5,6.846
2023-02-08 06:55:00,DOTUSDT.BYBIT,空,开,239.3,6.887
