datetime,symbol,direction,offset,volume,price
2022-12-21 00:50:00,EOSUSDT.BYBIT,多,开,465.5,0.885
2022-12-21 00:50:00,EOSUSDT.BYBIT,空,开,465.5,0.885
2022-12-23 02:05:00,EOSUSDT.BYBIT,多,开,957.1,0.861
2022-12-23 02:05:00,EOSUSDT.BYBIT,空,开,13.0,0.861
2022-12-23 05:05:00,EOSUSDT.BYBIT,空,平,953.4,0.878
2022-12-23 05:20:00,EOSUSDT.BYBIT,空,开,937.4,0.879
2022-12-23 10:40:00,EOSUSDT.BYBIT,空,平,5.2,0.888
2022-12-25 22:55:00,EOSUSDT.BYBIT,多,开,952.6,0.865
2022-12-27 08:15:00,EOSUSDT.BYBIT,空,平,951.6,0.886
2022-12-27 18:55:00,EOSUSDT.BYBIT,空,平,7.2,0.9
2022-12-28 11:45:00,EOSUSDT.BYBIT,多,开,934.2,0.882
2022-12-29 10:40:00,EOSUSDT.BYBIT,多,平,937.9,0.862
2022-12-30 05:55:00,EOSUSDT.BYBIT,空,开,5.0,0.853
2023-01-02 03:55:00,EOSUSDT.BYBIT,空,开,936.4,0.88
2023-01-04 12:10:00,EOSUSDT.BYBIT,空,平,934.7,0.901
2023-01-05 02:00:00,EOSUSDT.BYBIT,空,开,1819.0,0.906
2023-01-05 02:55:00,EOSUSDT.BYBIT,空,平,6.0,0.913
2023-01-05 22:15:00,EOSUSDT.BYBIT,多,开,921.7,0.894
2023-01-06 17:55:00,EOSUSDT.BYBIT,多,平,2767.5,0.875
2023-01-07 04:20:00,EOSUSDT.BYBIT,空,开,921.7,0.894
2023-01-09 08:15:00,EOSUSDT.BYBIT,空,平,920.3,0.91
2023-01-09 09:55:00,EOSUSDT.BYBIT,空,平,11.1,0.933
2023-01-09 09:55:00,EOSUSDT.BYBIT,空,开,1766.3,0.933
2023-01-09 21:45:00,EOSUSDT.BYBIT,空,平,4.7,0.943
2023-01-12 03:50:00,EOSUSDT.BYBIT,空,平,12.2,0.97
2023-01-12 23:25:00,EOSUSDT.BYBIT,多,开,867.4,0.95
2023-01-13 01:30:00,EOSUSDT.BYBIT,空,平,871.3,0.979
2023-01-13 04:45:00,EOSUSDT.BYBIT,空,平,4.6,0.99
2023-01-13 04:45:00,EOSUSDT.BYBIT,空,开,3329.3,0.99
2023-01-14 06:45:00,EOSUSDT.BYBIT,空,平,10.3,1.015
2023-01-14 09:20:00,EOSUSDT.BYBIT,空,平,13.9,1.051
2023-01-14 09:20:00,EOSUSDT.BYBIT,空,开,6272.1,1.051
2023-01-14 10:25:00,EOSUSDT.BYBIT,空,平,4.1,1.062
2023-01-14 16:55:00,EOSUSDT.BYBIT,空,平,6.8,1.081
2023-01-14 17:00:00,EOSUSDT.BYBIT,空,开,12196.1,1.081
2023-01-14 18:00:00,EOSUSDT.BYBIT,多,开,796.9,1.034
2023-01-15 10:40:00,EOSUSDT.BYBIT,空,平,795.1,1.076
2023-01-15 17:05:00,EOSUSDT.BYBIT,多,开,782.5,1.053
2023-01-16 10:20:00,EOSUSDT.BYBIT,空,平,782.1,1.075
2023-01-16 16:45:00,EOSUSDT.BYBIT,多,开,797.6,1.033
2023-01-16 16:50:00,EOSUSDT.BYBIT,多,平,24556.0,1.029
2023-01-18 19:05:00,EOSUSDT.BYBIT,空,开,4.7,1.017
2023-01-19 00:55:00,EOSUSDT.BYBIT,多,开,1709.6,0.964
2023-01-19 00:55:00,EOSUSDT.BYBIT,空,开,22.3,0.964
2023-01-21 01:25:00,EOSUSDT.BYBIT,空,开,831.5,0.991
2023-01-21 05:15:00,EOSUSDT.BYBIT,空,平,2492.0,1.034
2023-01-21 05:15:00,EOSUSDT.BYBIT,空,开,1593.8,1.034
2023-01-21 07:50:00,EOSUSDT.BYBIT,空,平,4.2,1.045
2023-01-22 00:55:00,EOSUSDT.BYBIT,空,平,4.1,1.056
2023-01-22 08:00:00,EOSUSDT.BYBIT,多,开,799.2,1.031
2023-01-22 19:10:00,EOSUSDT.BYBIT,空,平,809.3,1.084
2023-01-23 00:35:00,EOSUSDT.BYBIT,空,平,5.6,1.1
2023-01-23 00:35:00,EOSUSDT.BYBIT,空,开,2996.3,1.1
2023-01-23 05:25:00,EOSUSDT.BYBIT,多,开,770.9,1.069
2023-01-23 13:25:00,EOSUSDT.BYBIT,空,平,767.4,1.09
2023-01-24 02:50:00,EOSUSDT.BYBIT,空,平,4.8,1.104
2023-01-25 01:30:00,EOSUSDT.BYBIT,多,开,766.5,1.075
2023-01-25 07:10:00,EOSUSDT.BYBIT,多,开,1584.6,1.04
2023-01-25 07:10:00,EOSUSDT.BYBIT,多,平,5452.8,1.04
2023-01-25 09:35:00,EOSUSDT.BYBIT,空,开,6.1,1.024
2023-01-25 13:40:00,EOSUSDT.BYBIT,空,开,788.6,1.045
2023-01-25 22:25:00,EOSUSDT.BYBIT,空,平,2342.1,1.078
2023-01-26 04:15:00,EOSUSDT.BYBIT,空,平,4.6,1.091
2023-01-26 04:15:00,EOSUSDT.BYBIT,空,开,1510.5,1.091
2023-01-26 06:10:00,EOSUSDT.BYBIT,空,平,4.1,1.103
2023-01-27 00:25:00,EOSUSDT.BYBIT,多,开,765.1,1.077
2023-01-27 09:35:00,EOSUSDT.BYBIT,空,平,765.1,1.103
2023-01-28 00:50:00,EOSUSDT.BYBIT,空,平,4.0,1.115
2023-01-28 19:25:00,EOSUSDT.BYBIT,多,开,754.6,1.092
2023-01-30 03:55:00,EOSUSDT.BYBIT,空,平,754.3,1.114
2023-01-30 18:05:00,EOSUSDT.BYBIT,多,开,772.3,1.067
2023-01-31 03:50:00,EOSUSDT.BYBIT,多,平,2307.1,1.045
2023-01-31 22:55:00,EOSUSDT.BYBIT,空,开,772.2,1.067
2023-02-01 17:10:00,EOSUSDT.BYBIT,多,平,770.3,1.04
2023-02-01 18:40:00,EOSUSDT.BYBIT,多,开,1612.5,1.022
2023-02-01 18:40:00,EOSUSDT.BYBIT,空,开,6.9,1.022
2023-02-02 04:50:00,EOSUSDT.BYBIT,空,开,779.6,1.057
2023-02-02 05:50:00,EOSUSDT.BYBIT,空,平,2369.6,1.07
2023-02-02 09:15:00,EOSUSDT.BYBIT,空,平,7.0,1.09
2023-02-02 09:15:00,EOSUSDT.BYBIT,空,开,1511.9,1.09
2023-02-03 00:55:00,EOSUSDT.BYBIT,空,平,3.8,1.101
2023-02-03 02:50:00,EOSUSDT.BYBIT,空,平,4.7,1.115
2023-02-03 06:35:00,EOSUSDT.BYBIT,多,开,769.4,1.071
2023-02-03 19:10:00,EOSUSDT.BYBIT,空,平,763.0,1.096
2023-02-04 21:15:00,EOSUSDT.BYBIT,空,平,9.4,1.124
2023-02-05 09:10:00,EOSUSDT.BYBIT,多,开,748.5,1.101
