datetime,symbol,direction,offset,volume,price
2022-12-21 00:50:00,ETCUSDT.BYBIT,多,开,26.1,15.79
2022-12-21 00:50:00,ETCUSDT.BYBIT,空,开,26.1,15.79
2022-12-21 07:35:00,ETCUSDT.BYBIT,空,平,0.3,15.955
2022-12-21 12:50:00,ETCUSDT.BYBIT,多,开,52.8,15.625
2022-12-21 12:50:00,ETCUSDT.BYBIT,空,开,0.3,15.625
2022-12-21 17:20:00,ETCUSDT.BYBIT,空,平,53.6,16.485
2022-12-21 17:20:00,ETCUSDT.BYBIT,空,开,50.0,16.485
2022-12-22 23:25:00,ETCUSDT.BYBIT,多,开,51.2,16.085
2022-12-23 02:05:00,ETCUSDT.BYBIT,多,平,50.5,15.895
2022-12-23 06:25:00,ETCUSDT.BYBIT,空,开,50.7,16.26
2022-12-23 08:00:00,ETCUSDT.BYBIT,空,平,51.1,16.43
2022-12-25 22:55:00,ETCUSDT.BYBIT,多,开,51.2,16.085
2022-12-26 02:20:00,ETCUSDT.BYBIT,多,平,50.7,15.925
2022-12-26 11:10:00,ETCUSDT.BYBIT,空,开,50.6,16.265
2022-12-27 23:10:00,ETCUSDT.BYBIT,多,平,50.6,15.89
2022-12-28 02:20:00,ETCUSDT.BYBIT,空,开,0.3,15.705
2022-12-28 14:15:00,ETCUSDT.BYBIT,多,开,107.7,15.3
2022-12-28 14:15:00,ETCUSDT.BYBIT,空,开,0.7,15.3
2022-12-29 06:35:00,ETCUSDT.BYBIT,空,开,0.5,15.015
2022-12-29 13:20:00,ETCUSDT.BYBIT,空,开,53.5,15.42
2022-12-29 23:45:00,ETCUSDT.BYBIT,空,平,158.2,15.96
2022-12-29 23:45:00,ETCUSDT.BYBIT,空,开,103.2,15.96
2022-12-30 05:50:00,ETCUSDT.BYBIT,多,开,52.9,15.59
2022-12-30 15:45:00,ETCUSDT.BYBIT,多,平,157.4,15.425
2022-12-31 18:00:00,ETCUSDT.BYBIT,空,开,52.4,15.735
2022-12-31 23:05:00,ETCUSDT.BYBIT,空,平,52.7,15.87
2023-01-02 10:00:00,ETCUSDT.BYBIT,多,开,53.0,15.545
2023-01-02 16:20:00,ETCUSDT.BYBIT,空,平,53.4,16.07
2023-01-04 02:25:00,ETCUSDT.BYBIT,多,开,52.5,15.7
2023-01-04 10:05:00,ETCUSDT.BYBIT,空,平,53.1,16.51
2023-01-04 10:05:00,ETCUSDT.BYBIT,空,开,99.8,16.51
2023-01-04 12:10:00,ETCUSDT.BYBIT,空,平,1.5,17.52
2023-01-04 12:10:00,ETCUSDT.BYBIT,空,开,188.1,17.52
2023-01-04 15:55:00,ETCUSDT.BYBIT,空,平,0.3,17.735
2023-01-04 17:30:00,ETCUSDT.BYBIT,空,平,0.3,17.975
2023-01-04 21:50:00,ETCUSDT.BYBIT,空,平,0.2,18.165
2023-01-05 00:20:00,ETCUSDT.BYBIT,空,平,0.5,18.585
2023-01-05 00:20:00,ETCUSDT.BYBIT,空,开,354.7,18.585
2023-01-05 02:55:00,ETCUSDT.BYBIT,空,平,1.1,19.48
2023-01-05 02:55:00,ETCUSDT.BYBIT,空,开,676.8,19.48
2023-01-05 03:50:00,ETCUSDT.BYBIT,多,开,43.3,19.07
2023-01-05 21:30:00,ETCUSDT.BYBIT,多,开,89.4,18.43
2023-01-06 07:25:00,ETCUSDT.BYBIT,多,平,1375.9,18.215
2023-01-07 01:15:00,ETCUSDT.BYBIT,空,开,44.4,18.585
2023-01-07 02:55:00,ETCUSDT.BYBIT,空,平,132.9,19.68
2023-01-07 02:55:00,ETCUSDT.BYBIT,空,开,83.7,19.68
2023-01-07 07:30:00,ETCUSDT.BYBIT,空,平,0.7,20.435
2023-01-08 05:00:00,ETCUSDT.BYBIT,多,开,41.3,19.95
2023-01-09 09:35:00,ETCUSDT.BYBIT,空,平,42.0,21.105
2023-01-09 09:35:00,ETCUSDT.BYBIT,空,开,156.2,21.105
2023-01-09 10:45:00,ETCUSDT.BYBIT,空,平,0.3,21.41
2023-01-09 22:20:00,ETCUSDT.BYBIT,多,开,39.5,20.88
2023-01-10 04:40:00,ETCUSDT.BYBIT,多,开,81.6,20.2
2023-01-10 11:05:00,ETCUSDT.BYBIT,多,平,286.2,19.935
2023-01-11 12:05:00,ETCUSDT.BYBIT,空,开,0.2,19.72
2023-01-12 07:20:00,ETCUSDT.BYBIT,空,开,40.9,20.125
2023-01-12 09:15:00,ETCUSDT.BYBIT,空,平,120.6,20.89
2023-01-12 09:15:00,ETCUSDT.BYBIT,空,开,78.9,20.89
